DateTime,AddedIPs,RemovedIPs
1593598038,1,1
1593601630,2,1
1593605222,1,1
1593608838,1,2
1593612541,1,1
1593616092,2,2
1593619660,1,1
1593623238,2,1
1593626943,0,1
1593630495,1,2
1593641015,1,1
1593644632,2,0
1593648309,0,3
1593651904,2,9
1593655514,4,3
1593659116,3,11
1593662727,8,5
1593666323,5,5
1593669924,2,1
1593673530,4,2
1593677131,4,8
1593680724,9,6
1593684323,4,5
1593687926,7,5
1593691535,4,3
1593695133,5,3
1593698748,2,3
1593702337,4,2
1593705953,2,5
1593709548,3,5
1593713139,4,1
1593716743,4,5
1593720337,2,4
1593723953,4,4
1593727554,4,1
1593731154,3,6
1593734750,7,2
1593738411,2,0
1593741958,3,2
1593745553,3,1
1593749178,1,2
1593752771,1,3
1593756369,2,4
1593759968,2,4
1593763565,3,0
1593767158,2,2
1593770771,4,3
1593774368,4,1
1593777975,0,1
1593781640,1,1
1593785190,2,0
1593788784,1,1
1593792457,1,2
1593796005,1,0
1593799589,1,2
1593803259,3,2
1593806797,1,0
1593810475,1,1
1593814042,3,3
1593817632,2,1
1593821249,1,2
1593824867,0,5
1593828419,2,3
1593832066,1,1
1593839203,1,0
1593842842,2,1
1593846432,2,1
1593850019,0,1
1593853640,2,2
1593857239,2,1
1593860827,1,2
1593864442,0,2
1593868014,1,0
1593871614,2,2
1593875236,1,1
1593878873,1,0
1593882437,1,1
1593886099,1,1
1593889626,2,1
1593893277,1,2
1593896828,1,1
1593900465,0,2
1593904060,2,2
1593907812,2,1
1593914891,1,0
1593929266,2,2
1593936544,2,2
1593943733,1,1
1593950849,2,1
1593958050,2,2
1593965284,2,2
1593972466,1,2
1593979699,2,2
1593986980,1,2
1593994114,1,1
1594000992,0,2
1594004725,1,2
1594008333,1,1
1594011937,0,12
1594015545,7,3
1594019147,4,4
1594022744,6,4
1594026353,5,2
1594029964,1,2
1594033546,5,1
1594037165,1,1
1594040757,0,2
1594044365,2,4
1594047972,3,2
1594051571,3,3
1594055160,1,0
1594058771,2,1
1594062373,1,0
1594065979,1,1
1594069571,2,1
1594073187,1,1
1594076782,1,0
1594083974,1,1
1594087597,1,2
1594091184,1,1
1594094794,1,1
1594098400,1,1
1594101986,2,2
1594105599,1,1
1594109180,2,2
1594112776,2,1
1594116383,1,1
1594119999,1,1
1594123592,1,1
1594127190,0,1
1594130788,0,1
1594134403,1,0
1594145267,1,0
1594148811,0,1
1594152405,1,1
1594156009,1,0
1594159631,0,1
1594163232,0,1
1594166820,2,0
1594170452,1,1
1594174118,0,3
1594177662,1,0
1594181313,1,1
1594184867,0,1
1594188413,3,0
1594192029,1,0
1594195627,1,1
1594202851,1,2
1594210045,1,1
1594220861,1,2
1594224474,1,2
1594238941,1,1
1594249526,0,1
1594253131,2,2
1594256740,0,8
1594260333,2,2
1594263926,5,2
1594267550,4,7
1594271136,5,1
1594274735,3,4
1594278341,3,6
1594281934,6,2
1594285530,0,4
1594289133,1,2
1594292730,3,0
1594296332,5,4
1594299932,3,4
1594303529,2,1
1594307128,2,4
1594310734,3,4
1594314326,2,2
1594317927,8,2
1594321529,4,2
1594325131,2,2
1594328732,2,2
1594332331,3,6
1594335927,5,2
1594339531,2,2
1594343128,0,3
1594346735,3,3
1594350330,1,3
1594353934,3,2
1594357532,5,1
1594361132,1,1
1594364742,3,4
1594368332,2,4
1594371939,6,4
1594375536,4,8
1594379136,3,5
1594382729,2,3
1594386334,9,6
1594389926,8,6
1594393534,2,6
1594397142,7,4
1594400738,4,8
1594404334,6,1
1594407932,4,7
1594411536,6,1
1594415133,2,6
1594418739,5,4
1594422335,3,4
1594425939,5,1
1594429525,0,2
1594433137,6,4
1594436744,2,3
1594440334,3,4
1594443936,3,1
1594447540,5,2
1594451142,1,4
1594454732,4,3
1594458363,2,4
1594461966,4,1
1594465536,2,3
1594469121,2,7
1594472743,3,4
1594476346,5,4
