DateTime,AddedIPs,RemovedIPs
1593606449,1,2
1593610218,1,0
1593613850,2,2
1593617418,1,1
1593621050,1,2
1593624626,1,1
1593628356,0,2
1593631812,1,1
1593635684,0,1
1593641564,2,0
1593645189,1,0
1593648983,0,1
1593652688,0,1
1593656212,2,1
1593659852,2,0
1593663461,0,1
1593667066,1,2
1593670739,1,1
1593674313,2,1
1593677911,2,1
1593681486,1,1
1593685102,1,2
1593688767,2,1
1593692339,0,1
1593695949,1,2
1593699604,2,1
1593703190,0,1
1593706862,2,1
1593710483,2,2
1593714078,1,0
1593717626,2,2
1593721278,2,1
1593725039,1,1
1593728486,1,2
1593732205,0,2
1593735781,1,1
1593739496,3,1
1593742939,2,1
1593746582,1,1
1593750282,2,1
1593753837,1,2
1593757428,1,1
1593760929,1,1
1593764695,1,1
1593768160,2,2
1593771933,2,2
1593775447,2,1
1593779150,2,2
1593782728,2,2
1593786333,1,1
1593790090,1,2
1593793597,2,2
1593797197,2,2
1593800746,2,2
1593804374,1,1
1593807929,1,1
1593811678,0,2
1593815331,2,2
1593818844,2,2
1593822414,2,0
1593826196,0,1
1593829643,1,1
1593833392,1,1
1593840553,2,2
1593844264,2,2
1593847680,2,2
1593851461,2,1
1593855045,2,2
1593858540,1,1
1593862285,1,2
1593865858,2,2
1593869450,2,3
1593873048,2,1
1593876620,2,2
1593880221,2,2
1593883837,1,2
1593887595,1,2
1593891090,2,0
1593894772,0,1
1593898257,1,2
1593901957,2,2
1593909319,2,1
1593916415,2,1
1593923816,1,0
1593930971,1,2
1593938195,2,1
1593945369,1,2
1593952599,2,1
1593959780,2,2
1593966972,1,2
1593974204,0,2
1593981461,2,0
1593988830,0,1
1593996051,2,1
1594001559,1,1
1594005383,1,1
1594009076,1,2
1594012644,1,3
1594016313,2,1
1594019941,2,2
1594023567,2,0
1594027221,2,2
1594030746,2,3
1594038051,1,1
1594041612,2,2
1594045265,1,1
1594048800,2,1
1594052472,2,2
1594056046,1,2
1594059839,2,2
1594063243,1,1
1594067017,1,1
1594070457,0,2
1594074321,2,1
1594077726,2,2
1594085049,1,1
1594088735,2,1
1594092158,2,1
1594095922,2,2
1594099459,1,2
1594103121,1,2
1594106722,1,1
1594110333,1,2
1594113909,2,1
1594117533,2,1
1594121100,2,1
1594124736,1,1
1594128335,1,2
1594131928,2,1
1594135543,2,2
1594139181,1,1
1594142773,0,2
1594146481,2,1
1594149989,0,1
1594153611,1,2
1594157178,0,2
1594160871,2,0
1594164516,2,1
1594168196,2,0
1594171859,1,2
1594175431,1,2
1594179079,1,1
1594182696,2,1
1594186233,2,1
1594189876,1,2
1594193431,2,1
1594197072,2,2
1594200671,2,2
1594204479,3,2
1594211723,1,2
1594218763,1,1
1594222284,1,1
1594226002,1,3
1594233250,1,1
1594240693,2,1
1594246414,2,1
1594250252,2,2
1594253920,2,2
1594257519,2,3
1594261107,1,2
1594264676,2,2
1594268356,2,2
1594271872,2,2
1594275510,1,1
1594279090,1,1
1594282728,2,2
1594286345,0,2
1594289883,2,0
1594293517,1,1
1594297107,2,2
1594300649,1,2
1594307833,2,1
1594311523,1,1
1594315009,1,1
1594318711,1,2
1594322208,1,1
1594325945,2,1
1594329453,2,1
1594333127,1,1
1594336615,1,2
1594340449,1,1
1594343860,1,1
1594347557,2,2
1594351086,1,2
1594354751,0,2
1594358329,2,1
1594361892,1,2
1594365518,1,0
1594369110,2,1
1594372737,1,1
1594376269,1,1
1594379958,1,1
1594383463,2,1
1594387113,1,1
1594390676,1,1
1594394305,1,1
1594397920,1,2
1594401505,2,1
1594405124,0,1
1594408683,0,1
1594412324,1,0
1594415859,1,2
1594419593,0,1
1594423064,2,1
1594426725,1,2
1594430495,1,1
1594433904,2,0
1594437560,2,0
1594441103,1,2
1594444758,1,2
1594448327,1,2
1594451935,1,1
1594455525,2,1
1594459181,2,1
1594462827,1,2
1594466321,2,0
1594469884,1,1
1594473563,0,2
1594477138,1,2
1594480670,1,1
1594484338,1,1
1594487898,2,1
1594495088,2,2
1594498752,1,1
1594502267,1,1
1594506046,2,2
1594509481,1,2
1594513167,1,0
1594516758,1,1
1594520385,2,1
1594523877,2,2
1594527574,0,2
1594531113,1,1
1594534779,1,1
1594538323,2,1
1594541899,0,1
1594545543,1,2
1594549081,1,0
1594552705,1,1
1594556266,1,1
1594559898,2,0
1594563499,2,2
1594567123,2,1
1594570669,2,2
1594574312,2,2
1594577845,2,2
1594581527,2,2
1594585018,2,2
1594588711,1,2
1594592214,1,1
1594595925,1,2
1594599431,2,1
1594603136,1,2
1594606670,2,2
1594610304,1,1
1594613946,2,2
1594617452,2,1
1594621139,1,1
1594624660,1,1
1594628322,1,2
1594631853,1,1
1594635548,2,2
1594639139,2,2
1594642654,1,0
1594646325,1,2
1594649863,1,2
1594653530,1,2
