DateTime,AddedIPs,RemovedIPs
1592645118,1,5
1592648646,5,1
1592652321,1,1
1592655814,1,1
1592659529,1,1
1592663092,1,1
1592666741,1,1
1592670348,5,1
1592673928,5,1
1592677578,1,5
1592681170,1,1
1592684776,1,5
1592688389,5,1
1592691981,5,5
1592695614,1,1
1592699212,1,5
1592702850,1,1
1592706398,5,1
1592710233,24,1
1592713626,1,6
1592717276,2,1
1592720867,1,24
1592724535,5,5
1592728085,2,1
1592731710,1,6
1592735459,2,1
1592738910,1,2
1592742714,6,1
1592746315,6,6
1592749842,2,1
1592753487,1,5
1592757135,5,2
1592760809,1,2
1592764353,5,1
1592768010,1,5
1592775197,2,1
1592778750,6,1
1592782352,2,6
1592786107,1,2
1592793227,2,6
1592800517,15,6
1592807727,2,1
1592814922,2,2
1592822086,2,23
1592829388,2,2
1592836492,2,2
1592843783,2,2
1592851027,1,2
1592858232,2,1
1592865365,1,2
1592872574,1,1
1592879847,2,1
1592887134,14,2
1592894285,2,2
1592901561,2,2
1592908806,2,14
1592916041,2,2
1592923240,1,2
1592930418,2,1
1592937608,2,2
1592944716,2,2
1592951905,1,8
1592959231,2,2
1592966379,2,1
1592973632,2,2
1592980827,19,1
1592988029,3,2
1592995223,1,3
1593002437,2,9
1593009659,2,1
1593016862,2,2
1593024157,2,2
1593031282,2,2
1593038575,2,2
1593045849,2,2
1593052907,2,2
1593060148,1,1
1593067717,24,2
1593074685,1,2
1593081868,1,2
1593089130,0,15
1593096280,1,1
1593103524,0,1
1593110740,2,0
1593117938,1,1
1593125183,0,1
1593132492,1,1
1593139618,0,1
1593147024,1,0
1593154190,19,0
1593161179,3,1
1593168383,1,1
1593175566,1,19
1593182756,2,2
1593189942,1,2
1593197169,0,1
1593204358,2,1
1593211564,1,4
1593218837,1,0
1593226181,1,1
1593233447,1,0
1593240390,3,1
1593247760,20,1
1593254910,1,1
1593262250,0,1
1593269469,0,19
1593305593,1,1
1593312647,0,2
1593320003,3,0
1593334574,13,0
1593356157,0,16
1593363376,0,1
1593377792,0,1
1593384986,1,0
1593407642,16,0
1593418589,0,11
1593422190,0,1
1593425830,0,2
1593432987,2,0
1593480085,11,0
1593490856,0,21
1593509047,0,2
1593548795,2,0
1593570496,15,0
1593573985,1,0
1593581325,1,25
1593595634,0,1
1593641585,1,4
1593649003,2,0
1593652705,13,0
1593656234,1,1
1593659873,1,2
1593663490,1,17
1593667088,1,2
1593670765,1,1
1593674338,1,1
1593681515,1,1
1593692364,1,1
1593699626,1,1
1593703217,0,1
1593706888,1,0
1593710512,1,1
1593717644,1,1
1593721306,1,1
1593725071,1,0
1593728522,1,1
1593732233,0,1
1593739521,20,2
1593742981,1,0
1593746621,1,0
1593750314,1,19
1593753875,1,1
1593757473,1,1
1593760968,0,1
1593764729,1,0
1593768207,0,1
1593771958,1,1
1593775487,1,0
1593779181,1,1
1593782758,1,1
1593786359,1,1
1593790133,1,1
1593793642,1,1
1593797243,1,1
1593800776,0,1
1593804417,1,0
1593807956,1,1
1593811720,1,1
1593815383,0,1
1593826229,1,0
1593829696,1,1
1593833427,20,1
1593840602,1,0
1593844312,1,1
1593847728,0,10
1593851510,1,1
1593855092,1,1
1593862338,1,2
1593869485,1,1
1593873084,1,1
1593876654,1,0
1593883862,1,1
1593887660,1,1
1593891176,0,1
1593894836,0,1
1593902025,1,0
1593905637,1,0
1593916482,0,1
1593923888,16,1
1593931040,1,1
1593945436,1,11
1593952672,1,1
1593959858,0,1
1593974281,1,0
1593981532,1,1
1593988865,1,1
1593996099,1,1
1594001581,19,1
1594005404,1,1
1594009101,1,1
1594012667,0,9
1594016336,1,0
1594019971,1,1
1594023598,1,1
1594027244,1,2
1594030776,1,1
1594034403,1,1
1594038078,1,1
1594045297,1,1
1594048824,0,1
1594052513,1,1
1594056071,1,1
1594067050,1,1
1594074345,0,1
1594077760,1,1
1594085084,1,0
1594088760,20,0
1594092196,0,1
1594095945,1,0
1594099497,0,18
1594103149,1,1
1594106752,1,1
1594110361,1,0
1594113935,1,1
1594117562,3,2
1594121128,5,1
1594124764,1,1
1594128363,1,3
1594131954,1,5
1594135578,1,1
1594139226,1,1
1594142822,1,1
1594146530,1,1
1594150035,1,1
1594153663,0,1
1594157229,0,1
1594160921,0,1
1594168230,1,0
1594171902,1,0
1594175466,1,0
1594179132,6,1
1594182777,0,1
1594186267,0,1
1594189930,0,8
1594211757,0,1
1594246435,1,0
1594257545,18,0
1594268387,0,13
1594271904,0,1
1594336646,1,0
1594343886,25,0
1594354779,0,26
1594430522,12,0
1594437586,1,0
1594441138,1,16
1594444790,1,0
1594448362,1,1
1594451969,1,1
1594455556,1,1
1594459208,1,1
1594462854,1,1
1594466350,1,1
1594469915,0,1
1594473596,1,0
1594477166,1,1
1594480701,0,1
1594484373,1,0
1594487929,1,1
1594491562,1,1
1594495119,1,1
1594498780,1,1
1594502296,1,1
1594506071,1,1
1594509507,1,1
1594513193,1,1
1594516788,30,1
1594520410,1,1
1594523908,1,0
1594527607,1,17
1594531139,1,1
1594534808,1,1
1594538354,0,1
1594541926,1,0
1594545573,1,1
1594549108,1,1
1594552732,1,1
1594556295,1,1
1594559928,0,1
1594563524,1,0
1594567149,1,1
1594570694,1,1
1594574339,0,1
1594577875,1,1
1594581553,1,0
1594585043,1,1
1594588737,1,1
1594592240,1,1
1594595954,1,1
1594599454,0,1
1594603163,26,1
1594606698,1,0
1594610332,0,1
1594613975,0,27
1594617479,1,0
1594621172,1,1
1594628349,1,1
1594631879,1,1
1594635572,1,0
1594639166,0,1
1594642684,1,0
1594646349,1,1
1594649887,1,1
1594653557,1,1
1594657059,0,1
1594660725,1,1
1594664239,1,0
1594667923,1,1
1594671482,1,1
1594675105,1,1
1594678663,1,1
1594682329,1,1
1594685832,1,1
1594689535,18,1
1594693152,1,1
1594696695,1,1
1594700373,1,14
1594703850,1,1
1594707538,1,1
1594711055,1,1
1594714740,1,0
1594718238,1,1
1594721948,1,1
1594729109,1,2
1594732685,1,1
1594736274,2,0
1594739893,1,2
1594747107,2,2
1594750638,2,1
1594754323,0,1
1594757861,1,1
1594765040,1,1
1594768743,2,1
1594772235,1,1
1594775929,25,1
1594779456,1,2
1594783102,1,1
1594786748,2,20
1594790295,1,1
1594793897,1,1
1594797493,2,1
1594801181,1,1
1594804645,1,2
1594808311,1,3
1594811833,1,1
1594815478,2,1
1594819069,0,1
1594822642,1,1
1594826346,3,2
1594829805,1,0
1594833507,1,1
1594837025,1,1
1594840737,0,1
1594844260,1,0
1594847902,1,2
1594851420,2,1
1594855121,1,1
1594858613,1,1
1594862408,18,2
1594865852,2,1
1594869506,1,1
1594873112,1,31
1594876661,1,1
1594880321,2,2
1594883858,1,1
1594887547,2,0
1594891033,0,2
1594898288,1,3
1594901866,1,1
1594905538,2,0
1594909041,1,2
1594916239,2,1
1594919952,0,1
1594923441,1,1
1594927116,1,1
1594930638,1,1
1594934317,2,1
1594937833,1,1
1594941500,1,1
1594945051,1,1
1594948760,20,1
1594952270,0,3
1594955919,0,1
1594959563,1,12
1594966776,1,0
1594970290,0,1
1594973942,1,0
1595006331,0,1
1595009811,1,1
1595013560,1,0
1595020711,0,1
1595027951,1,0
1595031417,0,1
1595035184,23,0
1595042331,1,0
1595045904,1,29
1595049569,2,1
1595053088,1,1
1595056766,1,1
1595060288,1,2
1595063921,1,1
1595067454,1,1
1595071114,0,1
1595074633,1,1
1595078358,2,1
1595081805,1,0
1595085533,1,1
1595089020,1,1
1595096234,1,2
1595099967,1,1
1595103427,1,1
1595107113,1,1
1595114347,0,1
1595121572,27,0
1595125073,1,1
1595128751,1,0
1595132310,1,28
1595135948,0,1
1595139565,1,2
1595143120,0,1
1595146772,1,0
1595150311,1,0
1595153966,0,1
1595161131,2,0
1595164720,1,1
1595168315,1,1
1595171892,1,1
1595175475,1,1
1595182645,1,1
1595186343,0,1
1595193569,0,1
1595197061,2,1
1595200734,1,0
1595204258,0,1
1595207980,12,2
1595211492,1,1
1595215177,1,0
1595218809,1,14
1595222308,1,1
1595225985,1,1
1595229502,0,1
1595236684,1,0
1595240368,1,1
1595243931,1,1
1595247577,1,1
1595251114,0,1
1595254769,1,1
1595258317,1,1
1595262008,1,0
1595265490,1,1
1595269176,1,1
1595272669,1,1
1595276380,1,1
1595279909,4,1
1595283557,1,1
1595287106,1,2
1595290773,1,1
1595294396,25,1
1595297890,2,1
1595301563,1,1
1595305212,0,15
1595312424,1,0
1595315961,0,1
1595319496,1,1
1595323164,0,1
1595326741,1,0
1595330326,1,0
1595333966,1,1
1595341145,0,1
1595344709,1,1
1595355506,1,0
1595359109,2,1
1595362707,1,1
1595366367,1,1
1595369879,1,4
1595373540,1,1
1595377095,1,1
1595380737,22,1
1595384315,0,1
1595387950,0,1
1595391595,0,18
1595467068,14,0
1595470730,1,0
1595474298,1,0
1595477999,0,17
1595481457,1,1
1595485177,1,0
1595488726,0,1
1595492389,1,0
1595495904,1,1
1595499539,1,1
