DateTime,AddedIPs,RemovedIPs
1594232487,1,1
1594234332,1,2
1594236248,0,3
1594238169,3,1
1594242077,3,1
1594243961,1,2
1594245874,3,1
1594247774,1,0
1594249720,2,1
1594251611,0,1
1594253580,0,2
1594255485,2,1
1594257376,0,2
1594259567,1,6
1594261455,1,4
1594263375,0,1
1594270088,0,1
1594273946,0,1
1594275859,0,2
1594277853,1,0
1594279692,0,1
1594281783,0,4
1594283769,2,1
1594285720,2,2
1594289530,0,1
1594291487,1,1
1594297208,2,1
1594299131,1,0
1594302969,1,0
1594304886,2,0
1594307805,2,2
1594309693,0,1
1594311619,0,1
1594313863,2,2
1594315716,0,1
1594317692,1,2
1594319639,0,1
1594321512,0,1
1594325305,0,3
1594329159,1,2
1594331052,2,2
1594332979,0,1
1594334920,2,5
1594336811,4,1
1594338756,6,0
1594340670,1,0
1594342579,1,3
1594347454,4,2
1594349321,0,1
1594356977,2,0
1594368982,0,1
1594370930,0,3
1594372810,0,1
1594380527,1,0
1594383609,1,0
1594385577,1,1
1594387450,1,0
1594389403,2,1
1594391287,0,2
1594393273,1,2
1594395172,0,1
1594397333,1,0
1594399219,1,0
1594401135,2,1
1594403080,3,1
1594404970,1,0
1594410737,1,0
1594412653,1,0
1594414639,0,1
1594416488,0,1
1594418442,0,1
1594420329,2,1
1594422299,2,3
1594424170,1,6
1594426130,2,1
1594428013,5,2
1594429929,1,0
1594431877,0,1
1594433775,0,3
1594437610,1,0
1594441481,1,0
1594443368,0,1
1594445290,2,1
1594447324,2,0
1594449133,1,0
1594453005,1,0
1594460652,1,1
1594462574,1,0
1594466414,0,1
1594470290,0,1
1594472176,0,1
1594474092,0,2
1594476184,1,1
1594478219,1,1
1594484179,0,1
1594486117,1,1
1594488047,1,3
1594489940,0,1
1594491883,1,1
1594493773,1,0
1594495692,0,1
1594497685,4,0
1594499535,1,4
1594501493,2,0
1594503401,1,0
1594507215,2,2
1594509162,0,3
1594511060,2,1
1594512986,5,2
1594514932,4,1
1594518732,1,0
1594520703,1,0
1594524489,0,1
1594526630,0,1
1594528608,1,0
1594530505,3,1
1594532441,0,6
1594534339,0,2
1594538466,1,0
1594540333,3,0
1594542258,2,2
1594544213,2,0
1594546093,3,1
1594548973,2,1
1594553058,1,1
1594555069,1,0
1594556893,1,0
1594559770,2,0
1594561692,1,0
1594563658,1,0
1594565546,1,1
1594567487,0,1
1594569376,1,0
1594571329,1,0
1594573468,0,1
1594575404,1,0
1594577293,1,0
1594583049,1,1
1594584970,1,2
1594586918,2,1
1594588808,2,0
1594590736,2,1
1594592676,2,0
1594594566,1,2
1594596843,2,2
1594598679,3,4
1594600570,2,2
1594602602,0,2
1594604412,1,1
1594608299,0,1
1594615932,0,3
1594617869,0,1
1594619812,1,0
1594625529,2,0
1594627506,1,2
1594629397,1,1
1594631323,1,3
1594633231,1,2
1594635161,1,0
1594637050,0,1
1594638976,0,1
1594640919,0,1
1594642812,0,1
1594644732,2,2
1594646680,1,2
1594648571,2,1
1594652484,3,0
1594654371,1,2
1594656297,0,1
1594658169,0,1
1594660126,1,0
1594662013,1,3
1594663932,0,2
1594665881,1,0
1594667771,2,0
1594669689,0,2
1594671649,1,2
1594673558,0,1
1594675461,2,1
1594677371,1,3
1594679359,0,1
1594681246,0,1
1594683125,2,2
1594685086,4,0
1594686969,1,1
1594688924,3,0
1594690835,0,2
1594692773,1,0
1594694653,1,0
1594698763,1,0
1594704491,1,1
1594706515,0,1
1594708498,0,1
1594710523,0,1
1594712579,0,3
1594714575,1,1
1594716519,2,0
1594718411,1,1
1594720331,1,2
1594722433,1,0
1594724352,2,0
1594726340,1,0
1594728557,3,0
1594732457,0,2
1594734588,0,1
1594736411,2,2
1594738349,0,2
1594740282,0,2
1594744088,1,0
1594746063,0,2
1594747930,0,1
1594750097,2,0
1594752012,1,1
1594753965,2,1
1594757773,1,2
1594759719,1,1
1594761698,0,1
1594763561,0,2
1594765451,2,0
1594767367,2,0
1594769390,5,1
1594771750,2,7
1594773631,0,3
1594775560,1,2
1594777451,2,1
1594779373,2,0
1594781326,1,0
1594785131,0,1
1594787084,1,0
1594790887,0,2
1594793441,1,0
1594797137,2,0
1594799284,1,0
1594801223,2,2
1594803172,0,2
1594805127,0,2
1594806982,0,1
1594808890,0,2
1594812013,1,1
1594813925,1,1
1594815939,1,2
1594819928,1,0
1594821862,1,0
1594823861,0,3
1594827607,1,0
1594829569,1,0
1594831463,1,1
1594835352,3,0
1594837209,1,1
1594841080,3,1
1594844888,0,2
1594848042,1,0
1594849931,2,1
1594851892,2,2
1594853820,1,1
1594855697,2,2
1594857734,1,0
1594859538,0,1
1594861484,2,0
1594863379,0,3
1594865325,1,2
1594869136,0,1
1594874915,0,1
1594882599,2,2
1594887371,0,2
1594889357,1,1
1594896968,0,1
1594898889,1,1
1594900888,0,1
1594902731,0,2
1594904921,1,1
1594906856,1,0
1594909081,1,0
1594911494,1,1
1594915539,2,0
1594917374,0,1
1594919328,0,1
1594921216,1,2
1594923145,0,1
1594925085,1,1
1594927015,0,3
1594930000,3,1
1594931836,3,1
1594933795,1,1
1594935614,1,0
1594937562,0,5
1594939451,1,0
1594941374,3,5
1594943538,1,1
1594945454,1,1
1594947395,3,2
1594952440,3,1
1594954336,1,0
1594960097,1,0
1594962968,1,0
1594968727,0,1
1594970648,36,1
1594976443,1,1
1594980260,1,0
1594982205,1,0
1594984102,1,1
1594986014,1,1
1594987967,1,0
1594989868,1,0
1594991799,0,1
1594993722,0,2
1594995612,0,1
1594997532,1,0
1594999498,1,1
1595001371,0,1
1595007613,1,0
1595011455,1,0
1595013405,1,0
1595015293,0,3
1595017215,1,1
1595019180,1,0
1595022523,2,2
1595024413,3,0
1595026331,1,0
1595028332,0,2
1595030173,0,1
1595032346,1,2
1595034347,1,0
1595036201,1,1
1595038133,1,1
1595040020,1,2
1595043884,2,0
1595045771,1,0
1595047690,0,1
1595057292,0,38
1595067157,0,1
1595069049,2,1
1595073131,1,0
1595075086,0,2
1595076972,2,1
1595078891,0,1
1595083721,0,2
1595085616,2,1
1595087530,1,0
1595089485,1,0
1595091374,0,1
1595093298,2,1
1595096211,1,0
1595098173,0,1
1595100013,2,0
1595101961,1,2
1595103855,2,1
1595105768,1,1
1595110599,0,4
1595112494,1,2
1595114440,0,1
1595116360,2,1
1595118258,2,0
1595120169,1,3
1595122117,2,2
1595125001,0,2
1595128850,0,1
1595130747,2,1
1595132656,0,1
1595134621,1,0
1595136491,0,1
1595138530,1,1
1595146110,1,0
1595149959,2,0
1595157610,0,1
1595159529,0,1
1595165290,2,0
1595167416,2,0
1595169354,0,1
1595171275,0,1
1595173237,1,1
1595175131,1,0
1595177081,0,1
1595179212,1,1
1595181159,2,1
1595183086,0,1
1595184971,2,0
1595186887,2,2
1595190025,0,2
1595191925,2,0
1595193884,1,0
1595195768,2,0
1595197931,1,1
1595203705,1,4
1595205620,0,1
1595207563,1,3
1595209453,0,1
1595211400,1,0
1595213366,2,0
1595215212,1,0
1595217131,2,2
1595219091,2,0
1595220974,1,1
1595224941,0,2
1595228686,1,0
1595230571,1,0
1595232497,0,1
1595234446,2,0
1595236343,2,2
1595242121,1,0
1595249777,2,2
1595251716,3,3
1595253741,4,2
1595257542,0,1
1595259373,0,1
1595261296,1,1
1595265144,1,1
1595267056,0,2
1595269034,0,1
1595270896,0,2
1595272816,1,2
1595278600,0,2
1595280490,4,0
1595283612,0,1
1595285531,2,0
1595287482,0,1
1595289367,2,0
1595291287,1,1
1595293345,2,0
1595299223,0,2
1595301159,1,2
1595303056,0,2
1595304977,1,1
1595306919,0,1
1595308813,0,1
1595312700,0,1
1595314574,0,2
1595316488,0,1
1595318476,1,0
1595320330,1,2
1595322254,0,2
1595324218,0,1
1595326099,1,0
1595328011,0,1
1595329964,1,1
1595331849,1,1
1595333773,1,0
1595335714,0,2
1595337611,2,1
1595339529,0,3
1595341482,0,2
1595343368,0,1
1595347466,0,1
1595349412,5,0
1595351296,0,1
1595353215,1,0
1595360919,2,0
1595366655,3,2
1595368600,3,1
1595370486,1,1
1595373368,5,2
1595375292,2,0
1595377234,1,1
1595379130,1,1
1595381055,0,1
1595382993,1,0
1595385024,1,0
1595387788,1,0
1595389705,2,0
1595394089,0,1
1595398096,1,0
1595405776,0,2
1595407718,2,0
1595409614,1,0
1595411531,1,0
1595413480,1,1
1595420411,3,0
1595424301,0,2
1595426170,1,0
1595430054,1,0
1595431935,2,0
1595433919,2,0
1595435772,0,3
1595439880,1,1
1595441777,4,1
1595445633,0,2
1595447527,1,1
1595449478,3,0
1595453535,0,1
1595455492,0,2
1595457404,1,2
1595459299,2,3
1595461214,1,1
1595463168,1,1
1595465055,0,1
1595466973,1,0
1595468954,2,0
1595470813,0,2
1595472737,2,3
1595474683,1,0
1595476571,4,4
1595478486,1,0
1595481623,1,1
1595483530,0,1
1595485504,2,0
1595487370,1,0
1595489291,1,0
1595492407,0,2
1595496279,0,2
1595498168,1,1
