DateTime,AddedIPs,RemovedIPs
1583351555,0,1
1583384898,2,0
1583407019,0,3
1583429055,1,30
1583451136,1,0
1583473210,2,2
1583495068,1,84
1583517135,7,0
1583539250,1,1
1583561292,1,0
1583583137,17,34
1583627318,59,0
1583649163,1,2
1583671211,2,22
1583693075,0,2
1583715131,2,0
1583736994,0,30
1583759066,1,1
1583780931,11,21
1583802972,2,3
1583824833,19,24
1583846677,58,4
1583868744,17,5
1583890823,2,8
1583912892,1,58
1583934789,3,16
1583967870,4,19
1583989935,3,102
1584011779,6,1
1584033644,1,1
1584055694,1,1
1584077803,20,1
1584099647,19,2
1584121723,5,1
1584143784,5,0
1584176901,1,1
1584198973,2,3
1584221054,0,11
1584243131,1,4
1584264973,3,1
1584286814,2,0
1584308914,20,54
1584330968,0,6
1584364146,4,23
1584386180,1,25
1584408034,2,77
1584430117,0,20
1584452177,1,54
1584474041,62,20
1584496107,2,2
1584518173,2,3
1584540149,5,3
1584562107,2,0
1584584172,14,4
1584606027,7,6
1584628089,2,14
1584649946,33,1
1584672013,3,1
1584693855,1,16
1584715701,5,24
1584737567,2,5
1584770686,4,7
1584792736,38,1
1584814825,29,2
1584836900,2,0
1584858982,0,1
1584880824,1,5
1584902895,1,37
1584924969,2,1
1584957894,0,3
1584979944,0,1
1585002013,3,7
1585023895,0,93
1585045971,3,2
1585068075,4,1
1585090088,19,1
1585112185,0,3
1585134149,1,0
1585156100,1,6
1585177953,1,20
1585200029,1,18
1585221869,2,3
1585243931,1,40
1585265789,22,2
1585287852,0,2
1585331788,7,5
1585353712,0,1
1585375710,2,1
1585397801,7,41
1585419865,2,50
1585441931,14,9
1585463806,4,0
1585485875,1,1
1585507947,109,62
1585541322,11,21
1585563388,3,11
1585585463,21,0
1585607552,22,3
1585629394,1,0
1585651454,23,8
1585673531,3,22
1585695386,0,30
1585717310,8,0
1585739299,48,3
1585761145,42,0
1585783211,119,0
1585805089,20,0
1585827136,6,11
1585848980,22,0
1585871052,1,39
1585893128,5,0
1585914985,0,5
1585937064,5,1
1585958937,3,1
1585980973,7,0
1586002825,1,7
1586024920,2,2
1586046760,0,1
1586068602,1,0
1586090662,28,0
1586112730,28,1
1586146095,56,28
1586167946,5,3
1586190009,2,3
1586211856,3,3
1586233939,6,1
1586256021,4,0
1586277866,2,1
1586299708,7,0
1586321784,12,6
1586343721,3,13
1586365704,98,2
1586387771,4,1
1586431692,1,2
1586453548,0,33
1586475620,0,1
1586519306,1,0
1586541368,0,2
1586563235,0,1
1586585312,0,4
1586607384,1,1
1586629465,24,1
1586651542,3,1
1586673411,1,3
1586695476,1,36
1586717541,22,20
1586739416,6,48
1586761496,0,6
1586783541,0,2
1586805643,0,5
1586827533,1,3
1586849544,1,6
1586871612,1,1
1586893695,1,15
1586915768,0,2
1586949082,2,14
1586970971,2,109
1586992846,31,3
1587014890,8,7
1587036752,0,21
1587058818,0,6
1587080906,0,9
1587103018,1,59
1587125094,1,6
1587147140,0,9
1587234982,1,5
1587256830,1,10
1587278901,2,3
1587300770,5,21
1587322852,1,73
1587344924,36,86
1587367057,0,11
1587389723,17,64
1587411931,1,9
1587433989,5,0
1587467129,0,2
1587489161,6,2
1587533294,1,0
1587555162,9,4
1587577008,28,1
1587599054,0,73
1587621128,1,9
1587642985,2,0
1587686908,8,0
1587708974,32,1
1587731069,51,3
1587753151,10,0
1587775214,13,3
1587797067,23,1
1587819135,21,1
1587852337,11,3
1587874340,52,2
1587896415,59,0
1587918263,36,6
1587940337,1,17
1587962183,15,1
1587984274,2,0
1588028175,6,4
1588050162,3,0
1588072103,1,0
1588094166,1,3
1588116021,2,0
1588137867,1,1
1588159945,0,9
1588182045,2,26
1588204124,12,0
1588226233,25,2
1588248512,0,1
1588270589,2,0
1588292658,1,1
1588314504,17,6
1588336348,12,30
1588358414,9,4
1588380257,8,5
1588402345,26,1
1588424550,9,2
1588446495,7,2
1588468589,5,46
1588490667,5,58
1588512748,18,8
1588534606,2,1
1588556662,2,2
1588578727,5,1
1588600578,19,0
1588633478,1,21
1588655566,0,2
1588677610,6,19
1588699456,1,0
1588721532,2,2
1588743612,59,1
1588765460,15,0
1588787303,1,1
1588809372,0,3
1588842260,1,0
1588864109,131,0
1588908025,1,3
1588930088,1,9
1588951949,3,3
1588974016,1,1
1588996100,9,0
1589018167,6,0
1589040203,3,2
1589062101,2,13
1589084169,5,7
1589106019,3,0
1589127879,1,11
1589149934,58,1
1589171783,4,2
1589193868,0,8
1589215945,1,51
1589249324,2,3
1589271383,3,5
1589293227,2,1
1589315290,0,1
1589337145,41,58
1589359221,1,37
1589381303,1,22
1589403393,0,1
1589425715,1,4
1589447772,0,14
1589469643,3,163
1589491687,5,0
1589513582,1,2
1589535611,0,1
1589557464,0,3
1589601388,2,1
1589645548,1,3
1589667391,1,4
1589689454,1,1
1589711544,0,2
1589733644,1,0
1589755688,3,3
1589777533,5,2
1589799742,37,0
1589821949,0,1
1589865875,0,1
1589887937,9,1
1589910012,13,2
1589931853,16,6
1589953946,2,39
1589976390,0,8
1589998818,0,20
1590020889,16,2
1590042734,6,1
1590064579,1,0
1590086454,0,3
1590108505,6,0
1590196822,0,1
1590218669,1,0
1590240739,8,0
1590262812,0,1
1590284652,0,1
1590306499,0,1
1590328571,2,16
1590361720,19,2
1590383781,2,4
1590405622,0,5
1590427703,1,1
1590449772,2,0
1590493493,9,11
1590515529,0,10
1590537399,12,11
1590570276,2,12
1590592120,1,5
1590614224,1,2
1590647291,2,28
1590669149,0,9
1590691213,0,12
1590713310,0,10
1590735370,0,75
1590757347,1,4
1590779296,54,0
1590801143,4,0
1590823227,11,0
1590845099,1,1
1590867136,1,7
1590888989,3,1
1590910994,4,0
1590932890,2,34
1590954967,0,1
1590976960,4,1
1590998892,27,1
1591020971,10,1
1591042821,7,0
1591064892,2,1
1591086744,6,0
1591108587,3,1
1591130650,4,15
1591152503,49,2
1591185669,7,1
1591229571,0,1
1591317411,27,0
1591361535,0,1
1591383378,1,39
1591405253,19,21
1591449169,4,11
1591471209,0,1
1591493064,1,4
1591515130,7,0
1591536989,0,2
1591559060,0,29
1591580919,1,3
1591602987,1,21
1591635871,2,15
1591657941,32,5
1591679819,2,2
1591701854,0,19
1591723936,7,16
1591746016,4,58
1591767880,1,8
1591789955,1,1
1591823055,1,0
1591844908,1,1
1591866975,83,0
1591889065,1,1
1591910908,51,35
1591932798,28,0
1591976650,3,0
1591998732,3,1
1592042905,0,3
1592064761,27,2
1592108667,0,4
1592174651,0,2
1592218587,7,0
1592251721,5,2
1592273774,2,0
1592295618,0,2
1592317468,4,0
1592339550,1,0
1592361395,1,2
1592405314,0,1
1592460326,0,28
1592482354,0,16
1592504411,1,0
1592526505,0,91
1592548350,4,1
1592570419,0,1
1592592280,0,3
1592614332,1,0
1592658500,0,1
1592680590,1,0
1592702454,29,1
1592724488,0,1
1592746332,24,1
1592768193,1,0
1592790248,2,5
1592812091,3,1
1592834192,58,0
1592856267,34,2
1592878120,2,0
1592900176,0,1
1592922282,1,6
1592944331,0,3
1592966174,0,1
1592988303,0,1
1593010330,0,33
1593032192,0,3
1593065372,2,4
1593087372,11,0
1593109212,4,1
1593131072,0,48
1593153149,51,3
1593197067,6,0
1593240974,0,1
1593273949,4,2
1593295793,0,1
1593317872,0,29
1593339851,0,6
1593361696,1,0
1593383788,37,1
1593405856,1,0
1593427713,0,30
1593449767,0,72
1593471682,1,2
1593493704,1,1
1593515557,1,14
1593537639,0,2
1593559690,2,0
1593581625,6,0
1593603647,28,1
1593625810,82,0
1593647788,4,0
1593669924,1,1
1593691934,0,7
1593713782,1,1
1593735895,2,3
1593757953,4,1
1593780015,1,1
1593802123,1,3
1593824172,1,0
1593846215,3,0
1593868091,0,3
1593889962,3,1
1593912009,20,0
1593933884,6,0
1593955955,2,1
1593978010,4,30
1593999852,1,1
1594021715,1,0
1594043771,2,2
1594065690,3,0
1594087720,2,0
1594110076,4,1
1594153988,1,0
1594176057,8,2
1594198090,72,8
1594219933,26,62
1594242095,4,12
1594264129,5,27
1594286180,2,2
1594308256,27,5
1594330340,0,5
1594352195,0,3
1594374047,0,1
1594396338,0,3
1594418457,1,9
1594440497,0,4
1594462363,0,6
1594484415,2,1
1594506283,1,4
1594528338,0,15
1594550180,1,8
1594572253,2,6
1594594118,3,3
1594616196,0,5
1594649301,1,3
1594671379,9,4
1594693512,1,2
1594715528,4,3
1594737402,2,1
1594759510,0,43
1594781534,1,20
1594803818,0,77
1594825734,25,27
1594847784,54,4
1594869648,1,5
1594891687,3,2
1594914221,1,0
1594958204,5,0
1594980267,2,0
1595002360,19,1
1595024415,2,1
1595068334,1,0
1595090234,0,2
1595112083,1,0
1595134360,2,1
1595167433,65,1
1595189299,1,3
1595211161,1,0
1595233001,1,0
1595255095,0,1
1595277158,2,2
1595299224,2,1
1595321320,0,3
1595343369,1,1
1595398358,1,1
1595420413,15,3
1595442277,0,29
1595464326,0,1
1595486199,1,0
