DateTime,Entries,UniqueIPs
1594507215,1815,1815
1594509163,1829,1829
1594511060,1823,1823
1594512988,1816,1816
1594514932,1809,1809
1594516814,1805,1805
1594518732,1804,1804
1594520707,1797,1797
1594522576,1803,1803
1594524490,1806,1806
1594526640,1803,1803
1594528609,1801,1801
1594530505,1798,1798
1594532441,1799,1799
1594534340,1802,1802
1594536270,2868,2868
1594538467,2870,2870
1594540334,2871,2871
1594542259,2873,2873
1594544214,2865,2865
1594546094,2868,2868
1594548084,2910,2910
1594549963,2909,2909
1594551858,2910,2910
1594553772,2900,2900
1594555729,2916,2916
1594557612,2925,2925
1594559534,2913,2913
1594561493,2914,2914
1594563398,2913,2913
1594565547,2912,2912
1594567488,2900,2900
1594569377,2894,2894
1594571330,2883,2883
1594573488,2902,2902
1594575405,2888,2888
1594577293,2896,2896
1594579215,2908,2908
1594581158,2918,2918
1594583050,2925,2925
1594584971,2930,2930
1594586918,2923,2923
1594588809,2929,2929
1594590738,2997,2997
1594592689,2983,2983
1594594567,2972,2972
1594596844,2976,2976
1594598682,2967,2967
1594600571,2984,2984
1594602603,3008,3008
1594604413,3006,3006
1594606333,3008,3008
1594608300,3009,3009
1594610174,3005,3005
1594612090,3016,3016
1594614040,3021,3021
1594615932,3029,3029
1594617871,3032,3032
1594619813,3045,3045
1594621695,2845,2845
1594623755,1970,1970
1594625797,1987,1987
1594627709,1991,1991
1594629611,1997,1997
1594631560,1991,1991
1594633451,2006,2006
1594635371,2019,2019
1594637315,2029,2029
1594639208,2033,2033
1594641132,2025,2025
1594643079,2009,2009
1594644969,2026,2026
1594646887,2033,2033
1594649770,1980,1980
1594651721,1981,1981
1594653612,2224,2224
1594655555,2256,2256
1594657452,2278,2278
1594659370,2271,2271
1594661285,2284,2284
1594664179,2314,2314
1594666092,2297,2297
1594668039,2290,2290
1594669929,2291,2291
1594671850,2296,2296
1594674998,2318,2318
1594676899,2309,2309
1594678814,2286,2286
1594680763,2296,2296
1594682678,2310,2310
1594684574,2320,2320
1594686514,2321,2321
1594689372,2309,2309
1594691291,2297,2297
1594693215,2310,2310
1594695165,2309,2309
1594697362,2328,2328
1594699368,3398,3398
1594701243,3397,3397
1594703090,3399,3399
1594704980,3400,3400
1594706928,3390,3390
1594708853,3383,3383
1594710741,3382,3382
1594712579,3388,3388
1594714577,3529,3529
1594716519,3561,3561
1594718413,3566,3566
1594720332,3560,3560
1594722485,3547,3547
1594724368,3555,3555
1594726340,3570,3570
1594728560,3567,3567
1594730411,3563,3563
1594732490,3574,3574
1594734617,3597,3597
1594736682,3600,3600
1594738567,3604,3604
1594740512,3383,3383
1594743620,3464,3464
1594745533,3494,3494
1594747484,3515,3515
1594749370,3531,3531
1594751317,3552,3552
1594753384,3578,3578
1594755400,3602,3602
1594757290,5129,5129
1594759214,7073,7073
1594761168,7151,7151
1594763050,7168,7168
1594765000,7228,7228
1594766911,7268,7268
1594768908,7307,7307
1594771052,7333,7333
1594772894,7437,7437
1594774948,7486,7486
1594776998,7526,7526
1594778895,7549,7549
1594780813,7577,7577
1594782757,7608,7608
1594784674,7612,7612
1594786574,7632,7632
1594788523,7640,7640
1594790410,7642,7642
1594792333,7669,7669
1594794145,7664,7664
1594795969,7666,7666
1594797905,7670,7670
1594799808,7561,7561
1594801699,7625,7625
1594803832,7635,7635
1594805802,7640,7640
1594807691,7662,7662
1594809608,7674,7674
1594811565,7681,7681
1594813450,7690,7690
1594815376,7687,7687
1594817382,7694,7694
1594819260,7699,7699
1594821129,7696,7696
1594823082,7708,7708
1594826181,10961,10961
1594828094,12135,12135
1594830019,13345,13345
1594831966,18444,18444
1594833886,18557,18557
1594835876,18521,18521
1594837693,18500,18500
1594839784,18495,18495
1594841806,18469,18469
1594843727,17430,17430
1594845616,16285,16285
1594847567,16215,16215
1594849452,16185,16185
1594851373,16162,16162
1594853322,16111,16111
1594855212,16093,16093
1594857141,16073,16073
1594859060,15965,15965
1594860970,15936,15936
1594862918,15909,15909
1594865779,15836,15836
1594867695,15808,15808
1594869649,15787,15787
1594871536,15763,15763
1594873456,15753,15753
1594875439,15754,15754
1594877291,15725,15725
1594879358,15706,15706
1594881224,15650,15650
1594883361,15456,15456
1594885214,15445,15445
1594887161,15415,15415
1594889053,15313,15313
1594890971,15294,15294
1594892916,15269,15269
1594894832,15261,15261
1594896732,15258,15258
1594898679,15448,15448
1594900573,15438,15438
1594902515,15439,15439
1594905371,15449,15449
1594907384,15447,15447
1594909566,15445,15445
1594911523,15200,15200
1594913473,14737,14737
1594915576,14725,14725
1594917377,14721,14721
1594919329,10799,10799
1594921218,10806,10806
1594923146,10815,10815
1594925086,10813,10813
1594927022,10808,10808
1594930023,9209,9209
1594931841,8103,8103
1594933821,7299,7299
1594935850,6124,6124
1594937769,5240,5240
1594939716,4101,4101
1594941737,3128,3128
1594943539,2591,2591
1594945455,2626,2626
1594947396,2637,2637
1594949335,2626,2626
1594951319,2630,2630
1594953165,2640,2640
1594955327,2620,2620
1594957212,2610,2610
1594959400,2595,2595
1594961290,2586,2586
1594963240,2584,2584
1594965132,2590,2590
1594967090,2594,2594
1594969022,2534,2534
1594970890,2510,2510
1594972945,2499,2499
1594974887,2728,2728
1594976921,2727,2727
1594978814,2732,2732
1594980737,2740,2740
1594982664,2736,2736
1594984572,2722,2722
1594986520,2632,2632
1594988413,2639,2639
1594990336,2612,2612
1594992285,2597,2597
1594994185,2682,2682
1594996090,2726,2726
1594998165,2756,2756
1595000199,2774,2774
1595002093,2791,2791
1595004012,2800,2800
1595005958,2820,2820
1595007851,2848,2848
1595009771,3005,3005
1595011962,3011,3011
1595013878,3022,3022
1595015769,3033,3033
1595017719,3055,3055
1595022524,3099,3099
1595024415,3122,3122
1595026331,3148,3148
1595028333,3168,3168
1595030175,3193,3193
1595032348,3168,3168
1595034349,3164,3164
1595036202,3181,3181
1595038134,3185,3185
1595040022,3184,3184
1595041943,3188,3188
1595043885,3198,3198
1595045772,3194,3194
1595047691,3200,3200
1595049644,3203,3203
1595051533,3225,3225
1595053489,3229,3229
1595055391,2142,2142
1595057321,2157,2157
1595059386,2181,2181
1595061396,2192,2192
1595063291,2196,2196
1595065213,2067,2067
1595067158,2061,2061
1595069050,2065,2065
1595071215,2071,2071
1595073132,1938,1938
1595075087,1930,1930
1595076973,1938,1938
1595078893,1915,1915
1595081771,1829,1829
1595083723,1797,1797
1595085617,1776,1776
1595087532,1747,1747
1595089487,1912,1912
1595091377,1883,1883
1595093300,1859,1859
1595095306,1834,1834
1595097189,1840,1840
1595099091,1826,1826
1595100970,1816,1816
1595102891,1823,1823
1595104875,1800,1800
1595106740,1766,1766
1595108654,1800,1800
1595110600,1795,1795
1595112494,1774,1774
1595114441,1750,1750
1595116361,1711,1711
1595118259,1691,1691
1595120173,1683,1683
1595122118,1656,1656
1595125002,1648,1648
1595126894,1649,1649
1595128850,1651,1651
1595130747,1638,1638
1595132656,1631,1631
1595134622,2223,2223
1595136491,6385,6385
1595138543,10639,10639
1595140397,14234,14234
1595142273,18085,18085
1595144202,18077,18077
1595146111,18063,18063
1595148013,18053,18053
1595149960,18054,18054
1595151851,18045,18045
1595153770,18052,18052
1595155722,18048,18048
1595157611,18049,18049
1595159530,18050,18050
1595161483,18047,18047
1595163400,18035,18035
1595165292,18032,18032
1595167450,18385,18385
1595169380,18517,18517
1595171352,18624,18624
1595173238,18757,18757
1595175133,18676,18676
1595177083,18722,18722
1595179215,18754,18754
1595181160,18821,18821
1595183088,18830,18830
1595184972,18825,18825
1595186889,18668,18668
1595188912,18696,18696
1595190730,18719,18719
1595192633,18749,18749
1595194601,18739,18739
1595196492,18739,18739
1595198417,18755,18755
1595200363,18773,18773
1595202251,18813,18813
1595204173,18834,18834
1595206125,18849,18849
1595208013,18878,18878
1595209929,18942,18942
1595211883,18997,18997
1595213780,19012,19012
1595215689,19015,19015
1595217755,19031,19031
1595219799,19035,19035
1595221695,17265,17265
1595223609,12876,12876
1595225569,9185,9185
1595227457,5667,5667
1595229398,4226,4226
1595231290,4231,4231
1595233208,4242,4242
1595235163,4252,4252
1595237052,4242,4242
1595238999,4345,4345
1595240889,4333,4333
1595243770,4431,4431
1595245725,4623,4623
1595247626,4719,4719
1595249533,4725,4725
1595251483,4732,4732
1595253371,4474,4474
1595255289,4347,4347
1595257257,4237,4237
1595259131,4112,4112
1595261083,4126,4126
1595262969,4133,4133
1595265144,4148,4148
1595267056,4107,4107
1595269036,4102,4102
1595270898,4115,4115
1595272816,4120,4120
1595274761,4108,4108
1595276658,4106,4106
1595278602,4109,4109
1595280491,4105,4105
1595283613,4123,4123
1595285532,4110,4110
1595287483,4091,4091
