DateTime,AddedIPs,RemovedIPs
1591830731,1,0
1591834672,0,1
1591858984,0,2
1591860972,3,0
1591876590,1,0
1591882587,0,1
1591886430,1,0
1591890251,2,0
1591896012,0,1
1591898011,0,2
1591905665,0,1
1591911374,0,1
1591917403,1,0
1591926970,1,0
1591934899,3,0
1591944529,1,0
1591948349,0,2
1591973772,0,1
1591977685,0,2
1591979598,1,0
1591987219,2,0
1592000656,1,0
1592004492,0,1
1592006526,0,1
1592012409,1,1
1592016255,0,1
1592022012,0,3
1592027785,1,0
1592031780,0,2
1592041462,1,0
1592051316,1,0
1592068573,3,0
1592072409,0,2
1592088015,0,1
1592099558,0,1
1592103374,1,0
1592109408,0,1
1592113231,0,1
1592126674,3,0
1592128574,0,1
1592138659,3,1
1592147063,0,1
1592148982,1,0
1592150897,3,0
1592154747,0,3
1592173236,1,0
1592182963,1,0
1592188827,3,0
1592192650,1,1
1592196487,1,0
1592211881,1,3
1592225289,0,3
1592235629,1,3
1592251300,3,0
1592256970,1,0
1592258949,0,1
1592260811,1,0
1592268494,1,1
1592274498,3,0
1592277631,2,1
1592283410,0,1
1592285290,2,0
1592302812,0,1
1592304735,1,0
1592306673,3,0
1592308575,1,0
1592314820,2,0
1592318695,1,0
1592320592,1,0
1592322529,2,1
1592338110,1,0
1592345792,0,7
1592351559,1,0
1592355375,0,1
1592359419,0,1
1592361399,0,3
1592365214,0,2
1592369065,1,0
1592371008,1,3
1592390439,1,0
1592394284,0,4
1592401956,0,2
1592403881,0,1
1592407693,0,1
1592409735,0,2
1592421403,2,0
1592423314,0,1
1592437693,0,1
1592443454,0,1
1592454029,1,0
1592455938,0,1
1592457856,0,2
1592461693,3,0
1592473217,1,0
1592477052,0,1
1592482814,1,0
1592492904,1,0
1592494813,3,0
1592496750,1,0
1592508273,1,2
1592512094,1,0
1592520016,1,0
1592539455,0,1
1592548859,0,1
1592552683,1,0
1592560340,0,1
1592568285,0,1
1592574044,0,1
1592579771,1,0
1592581938,0,1
1592583854,1,1
1592593476,0,1
1592595371,0,1
1592599214,0,1
1592601133,0,2
1592606894,0,1
1592616490,1,0
1592637850,2,1
1592639772,1,0
1592666727,1,0
1592670510,0,1
1592685873,1,0
1592689691,1,0
1592697406,1,0
1592703148,2,0
1592705094,1,0
1592708943,1,0
1592718522,0,1
1592720418,1,1
1592722328,1,0
1592726166,0,2
1592738914,1,0
1592740908,0,1
1592742737,4,0
1592744673,3,0
1592752332,3,0
1592765775,0,1
1592771791,0,1
1592775687,0,1
1592779474,1,0
1592783315,0,1
1592789096,0,2
1592792896,0,1
1592808752,0,1
1592810656,1,0
1592812572,1,0
1592817635,0,1
1592819549,3,0
1592827231,2,1
1592829179,0,3
1592831065,0,2
1592836812,1,0
1592838974,0,2
1592840917,3,0
1592842832,1,0
1592846652,0,1
1592861054,1,0
1592864895,0,1
1592881629,1,0
1592885583,0,3
1592897314,0,1
1592900180,3,1
1592905940,2,3
1592907860,1,0
1592914831,0,2
1592926335,1,3
1592928497,0,1
1592934250,3,0
1592938095,1,0
1592945808,0,1
1592967148,1,0
1592974338,1,0
1592976256,3,1
1592983234,2,0
1592987054,0,3
1592992915,0,2
1592994751,0,1
1592996954,0,1
1593000733,1,0
1593010332,2,0
1593012299,0,1
1593019932,0,3
1593024016,0,1
1593029772,1,0
1593035549,2,0
1593045156,1,0
1593052815,1,0
1593054757,0,1
1593058575,2,0
1593062411,0,1
1593064360,0,2
1593068170,1,0
1593070114,3,2
1593082593,1,0
1593087373,0,1
1593095054,1,2
1593096997,10,0
1593116409,0,1
1593122172,0,2
1593128024,2,0
1593130814,1,0
1593132734,0,1
1593136577,0,1
1593138494,1,1
1593140550,1,0
1593142589,1,0
1593144580,0,2
1593157930,0,3
1593161792,1,0
1593163700,1,0
1593168739,1,1
1593177475,0,1
1593181577,0,1
1593183422,0,10
1593189802,1,0
1593208092,1,0
1593213870,0,2
1593219697,0,1
1593225389,0,1
1593229215,0,1
1593238809,1,0
1593246491,0,1
1593255372,1,1
1593264044,1,0
1593276497,0,1
1593278428,1,0
1593282254,0,1
1593286130,1,0
1593294730,0,1
1593319695,1,0
1593321629,0,1
1593330254,1,0
1593336011,1,0
1593341783,0,1
1593350459,0,1
1593354257,1,0
1593368003,1,0
1593369869,0,1
1593373714,0,1
1593390272,3,0
1593396096,0,1
1593402015,1,0
1593405856,0,1
1593417374,0,1
1593422174,3,0
1593429874,1,0
1593446597,2,0
1593450510,1,0
1593454358,1,1
1593469690,1,0
1593476677,0,3
1593488418,0,1
1593494178,0,1
1593507756,0,3
1593515559,0,1
1593525158,2,0
1593527077,1,1
1593529060,3,0
1593532979,0,2
1593536919,0,1
1593538809,1,0
1593540736,0,1
1593544821,1,0
1593554496,3,0
1593558523,1,0
1593573854,1,1
1593581829,1,0
1593585764,1,0
1593607234,3,0
1593613207,0,2
1593617109,0,1
1593620890,1,0
1593622911,1,0
1593625042,0,1
1593628809,1,0
1593630749,0,1
1593640333,3,1
1593644169,0,1
1593649948,3,0
1593652118,1,0
1593660274,0,1
1593668173,0,1
1593672268,0,1
1593679941,2,0
1593692443,1,0
1593694340,1,7
1593696258,1,0
1593698194,1,0
1593708738,0,2
1593712579,1,0
1593716568,0,1
1593726262,0,3
1593735918,0,3
1593739693,0,1
1593751483,2,0
1593759143,0,1
1593761059,1,0
1593768035,1,2
1593773805,1,0
1593779571,0,1
1593781401,1,1
1593783205,0,1
1593785327,0,1
1593795174,1,0
1593799001,0,1
1593814364,3,0
1593833767,2,0
1593837640,0,1
1593839552,0,1
1593847240,0,1
1593852972,0,1
1593856976,2,0
1593860932,0,1
1593899536,0,3
1593901484,1,0
1593905292,1,0
1593907324,1,0
1593909130,2,0
1593914900,2,0
1593920653,0,2
1593926413,0,1
1593933885,1,0
1593942757,0,2
1593965775,1,0
1593971568,1,0
1593987883,0,1
1593991934,0,2
1593994104,0,2
1593999853,1,0
1594001786,2,2
1594003723,1,0
1594007532,1,0
1594017893,1,0
