DateTime,AddedIPs,RemovedIPs
1593895726,1,0
1593897616,1,1
1593901485,1,0
1593903396,0,1
1593905293,2,0
1593907359,1,0
1593909396,0,1
1593924749,1,0
1593926686,1,0
1593928580,1,0
1593936489,1,1
1593940384,0,1
1593942251,0,1
1593946144,0,1
1593948048,0,1
1593951858,0,1
1593955689,1,1
1593958588,1,0
1593960495,2,1
1593962443,0,2
1593964353,0,1
1593966254,0,1
1593968200,2,2
1593970090,0,2
1593973235,0,1
1593975129,0,1
1593977052,0,1
1593979003,0,1
1593980891,0,2
1593983780,1,1
1593985694,0,1
1593987622,1,1
1593991500,1,2
1593993378,0,1
1593999156,1,0
1594009010,1,0
1594010894,0,1
1594012812,0,1
1594016654,1,1
1594018606,1,0
1594023649,8,1
1594025557,5,0
1594029374,1,0
1594031296,3,0
1594033371,2,0
1594035398,0,1
1594037293,3,0
1594041163,1,0
1594043056,1,1
1594044973,1,0
1594046920,0,1
1594052713,1,0
1594054570,3,2
1594068970,0,1
1594070900,1,0
1594074728,0,1
1594076605,0,1
1594078599,2,1
1594084594,0,1
1594094192,1,0
1594096104,0,1
1594101911,1,0
1594103771,0,1
1594105735,0,1
1594107633,1,1
1594109547,0,7
1594111481,0,4
1594113384,0,1
1594115289,1,0
1594117238,1,3
1594119147,0,3
1594122992,0,3
1594127065,0,1
1594128968,0,1
1594130928,1,2
1594132839,0,1
1594136898,1,0
1594138816,0,1
1594140790,0,3
1594142675,1,0
1594144604,2,0
1594151715,2,0
1594156666,2,0
1594158595,1,1
1594162404,1,0
1594166210,0,1
1594168139,1,0
1594181670,0,1
1594189215,0,1
1594193242,0,1
1594198360,0,1
1594202199,1,2
1594204089,1,1
1594206128,3,0
1594208207,1,0
1594210097,1,0
1594213990,1,0
1594215850,1,0
1594223550,1,1
1594227370,3,0
1594229537,1,3
1594237247,0,1
1594239141,3,1
1594241059,2,0
1594242998,2,1
1594244890,2,0
1594248735,0,1
1594252640,1,0
1594254514,0,1
1594262197,1,0
1594271813,2,0
1594274000,1,0
1594283771,1,0
1594287623,2,1
1594289533,1,1
1594291490,3,2
1594293458,1,1
1594295408,1,1
1594297210,0,1
1594299133,0,1
1594301079,1,0
1594302971,1,3
1594304888,2,0
1594308969,1,1
1594313053,1,3
1594315015,0,1
1594320729,3,0
1594324568,0,1
1594326486,0,3
1594329377,1,3
1594331318,0,2
1594333209,1,0
1594338977,0,1
1594340915,1,0
1594343775,1,0
1594347885,0,1
1594349778,1,0
1594351691,0,1
1594357706,1,0
1594359617,0,3
1594365617,1,0
1594371376,1,1
1594373318,0,1
1594375288,0,2
1594377382,0,3
1594379542,4,1
1594381477,0,1
1594383406,2,0
1594389144,0,2
1594391053,1,2
1594393061,3,0
1594394912,2,1
1594396888,4,0
1594398763,3,1
1594400700,4,0
1594402577,4,1
1594404535,4,0
1594406417,0,2
1594408341,0,1
1594414108,1,0
1594416040,2,0
1594417933,2,0
1594419860,0,1
1594421775,1,0
1594423720,1,0
1594425799,0,1
1594427771,2,0
1594429736,2,0
1594431612,0,1
1594433569,1,0
1594435455,1,0
1594437383,0,1
1594441209,1,0
1594443153,0,1
1594451071,1,0
1594453007,0,1
1594454894,2,0
1594456817,1,0
1594458767,0,1
1594462575,2,0
1594464526,0,2
1594466415,0,2
1594470291,1,2
1594476232,1,0
1594478220,1,2
1594480139,1,2
1594482312,0,3
1594484181,1,5
1594486119,0,2
1594488050,0,6
1594489943,0,4
1594491886,0,1
1594493776,1,0
1594495694,1,0
1594501695,1,3
1594503612,4,1
1594505561,2,2
1594507473,2,1
1594509369,1,0
1594511328,0,1
1594515141,1,2
1594518971,1,0
1594520937,0,2
1594526914,2,1
1594531007,1,0
1594536787,0,1
1594540597,1,2
1594545371,0,1
1594549238,0,2
1594551137,1,0
1594553061,1,0
1594555074,1,0
1594556897,1,1
1594559773,2,0
1594563661,0,1
1594565550,1,0
1594567491,0,1
1594573502,1,0
1594575409,2,0
1594581162,3,1
1594588829,0,3
1594590767,3,1
1594598684,2,0
1594600573,0,1
1594604415,1,0
1594606335,0,1
1594608312,1,0
1594614043,0,2
1594617876,0,1
1594619815,1,0
1594627712,1,1
1594631562,1,0
1594635375,1,0
1594637318,1,1
1594639210,1,0
1594641135,1,1
1594643082,0,1
1594644998,1,1
1594646889,0,1
1594648991,1,0
1594651043,0,1
1594652907,1,1
1594656736,4,0
1594658655,1,2
1594660580,1,0
1594662491,2,0
1594664436,6,0
1594666331,0,1
1594668254,2,1
1594676901,0,4
1594678816,1,0
1594691531,0,1
1594693514,0,1
1594695393,0,1
1594699423,1,0
1594704981,2,0
1594706930,2,1
1594710742,1,0
1594714581,1,0
1594716527,0,1
1594718416,2,0
1594720335,0,1
1594725512,0,2
1594727585,0,1
1594731481,1,1
1594736178,1,1
1594738149,1,0
1594740011,0,1
1594741931,0,1
1594743881,1,3
1594745771,2,2
1594747689,0,2
1594750819,1,6
1594752734,1,0
1594754686,0,2
1594758494,13,0
1594762443,1,0
1594764361,0,2
1594783690,1,0
1594785740,0,1
1594787808,2,0
1594791611,0,2
1594793444,0,2
1594797139,0,1
1594801225,0,1
1594805130,1,2
1594812015,1,0
1594815941,1,0
1594817781,0,1
1594821866,1,0
1594823864,0,2
1594825735,3,0
1594829571,1,1
1594831466,1,1
1594833377,1,1
1594837213,0,1
1594839160,0,1
1594841083,1,0
1594844892,3,13
1594849008,0,1
1594852827,0,3
1594858613,0,1
1594868206,1,0
1594870106,0,1
1594873236,0,1
1594875131,1,1
1594877054,1,0
1594878994,1,0
1594880915,1,0
1594890766,0,1
1594892654,1,0
1594896514,0,1
1594898417,1,1
1594900330,3,0
1594902267,1,1
1594908686,1,1
1594910748,0,2
1594912948,2,1
1594914852,0,1
1594916897,2,1
1594919789,0,1
1594921695,2,2
1594923653,3,0
1594927489,0,1
1594929456,2,0
1594931367,0,3
1594935398,2,0
1594937298,1,0
1594941045,0,2
1594943081,0,1
1594944972,1,0
1594946907,0,1
1594948839,1,1
1594956489,1,1
1594961294,1,1
1594963243,0,1
1594965135,1,1
1594967092,3,1
1594970893,2,0
1594974891,3,0
1594978817,3,1
1594984575,1,1
1594986524,0,1
1594988418,1,1
1594990339,1,0
1594992288,2,0
1594994187,1,0
1594996093,2,1
1594998239,1,0
1595000204,1,2
1595004016,1,2
1595007857,1,2
1595009776,0,2
1595011966,2,1
1595015772,2,2
1595017722,1,0
1595019781,1,1
1595022729,1,2
1595024684,0,1
1595030650,0,1
1595032598,0,1
1595034769,0,1
1595048197,0,1
1595050097,0,1
1595052107,0,1
1595053932,0,2
1595055864,1,0
1595057800,0,2
1595061612,0,3
1595063563,1,0
1595065453,0,3
1595071220,0,1
1595075090,0,1
1595076977,0,1
1595078897,0,2
1595080943,0,1
1595082999,0,2
1595084888,0,1
1595086849,0,1
1595090648,0,1
1595094514,0,1
1595096680,0,1
1595098613,0,1
1595103399,0,2
1595105294,0,1
1595107259,0,1
1595109159,3,1
1595111056,1,0
1595112971,1,0
1595121618,1,0
1595127429,1,0
1595129293,1,0
1595132171,1,0
1595134362,1,0
1595136255,1,0
1595142276,0,1
1595144206,1,0
1595148017,1,0
1595149962,1,1
1595151855,1,0
1595173241,1,1
1595184988,1,0
1595186893,1,0
1595191004,1,0
1595194811,0,1
1595196764,3,0
1595198651,1,0
1595200569,0,1
1595204429,1,0
1595208284,0,1
1595214255,0,1
1595216202,0,1
1595218097,0,1
1595220039,0,1
1595221963,1,0
1595223852,0,1
1595229612,1,1
1595233458,1,1
1595235732,0,1
1595237570,0,1
1595247176,1,0
1595254851,1,0
1595258654,1,0
1595260571,0,1
1595265402,6,0
1595271377,1,0
1595273318,1,1
1595275341,2,0
1595277159,1,1
1595280974,2,0
1595283170,0,3
1595285056,0,1
1595288920,1,0
1595290811,1,1
1595292729,1,0
1595298516,1,0
1595304497,1,0
1595308367,1,1
1595312183,1,0
1595314123,2,0
1595316012,1,1
1595319885,1,1
1595321793,1,0
1595323831,3,0
1595326813,1,0
1595332588,0,2
1595342199,2,1
1595346010,1,1
1595351816,2,6
1595353718,1,0
1595355610,1,0
1595357531,2,2
1595359526,1,1
1595361369,1,1
1595363287,0,1
1595365349,0,1
1595367159,1,2
1595368978,1,1
1595370970,0,1
1595374812,0,1
1595376738,0,1
1595378680,1,0
1595380587,1,1
1595385038,1,1
1595389033,1,0
1595391450,0,1
1595395215,2,1
1595399125,0,1
1595400975,0,2
1595402891,0,1
1595407008,0,1
1595408891,1,2
1595410808,1,3
1595412762,1,0
1595418530,2,0
1595422333,6,0
1595424308,7,0
1595430116,1,2
1595431937,0,1
1595435776,2,0
1595437942,0,2
1595439883,0,1
1595441788,2,1
1595443695,3,2
1595445636,1,0
1595447532,0,1
1595449482,1,1
1595451376,1,0
1595455580,1,2
1595463171,1,0
1595465059,0,1
1595466975,0,1
1595470819,1,1
1595476576,2,1
1595481626,0,2
1595483534,1,0
1595485511,1,0
1595492410,1,0
1595496281,0,1
1595498170,1,1
