DateTime,AddedIPs,RemovedIPs
1594480394,3,2
1594482313,2,1
1594484181,1,0
1594486119,5,1
1594488051,2,0
1594489943,2,1
1594491887,2,1
1594493776,3,0
1594495695,0,4
1594497852,1,0
1594499799,3,1
1594501696,1,2
1594503613,2,3
1594505562,4,1
1594507474,3,1
1594509370,3,1
1594511329,1,5
1594513215,1,1
1594515142,1,2
1594517085,5,1
1594518972,3,3
1594520938,4,2
1594523009,1,1
1594524999,2,2
1594526914,1,5
1594528812,3,1
1594531009,2,2
1594532915,3,1
1594534811,5,2
1594536788,2,3
1594538653,3,4
1594540597,1,2
1594542488,2,2
1594545372,4,3
1594547314,1,1
1594549239,1,1
1594551138,1,2
1594553062,1,2
1594555074,1,5
1594556897,1,1
1594559774,4,5
1594561699,2,3
1594563662,2,0
1594565551,2,1
1594567492,4,6
1594569381,3,1
1594571333,0,3
1594573511,0,5
1594575410,0,1
1594577297,3,3
1594579222,2,2
1594581163,1,1
1594583067,1,1
1594586922,1,1
1594588830,0,2
1594590768,2,2
1594592694,4,4
1594594572,2,2
1594596863,1,5
1594598685,1,0
1594600575,2,2
1594602606,3,4
1594604416,2,2
1594606336,0,6
1594608315,4,1
1594610178,2,0
1594612095,2,2
1594614044,1,2
1594615946,2,3
1594617877,0,4
1594619816,1,1
1594621699,2,2
1594623872,1,3
1594625807,3,2
1594627714,2,1
1594629616,3,2
1594631563,3,4
1594633456,1,0
1594635376,2,2
1594637347,1,1
1594641137,2,2
1594643083,2,1
1594645000,2,4
1594646891,1,0
1594649036,5,1
1594651044,0,3
1594652908,1,3
1594654845,1,4
1594656738,0,3
1594658657,2,0
1594662492,2,0
1594664437,1,3
1594666333,1,2
1594668255,1,1
1594671161,1,1
1594673082,1,1
1594675001,1,0
1594676902,0,2
1594678817,0,3
1594680765,0,2
1594682681,0,2
1594684577,2,1
1594686517,2,2
1594688532,0,4
1594690356,1,1
1594692299,3,1
1594694200,1,2
1594696733,2,4
1594698765,0,2
