DateTime,AddedIPs,RemovedIPs
1594515142,72,86
1594517085,87,123
1594518972,77,85
1594520938,93,103
1594523055,84,118
1594525000,95,164
1594526915,66,176
1594528812,96,89
1594531017,101,164
1594532915,96,99
1594534812,113,81
1594536789,125,101
1594538654,94,129
1594540598,84,133
1594542489,111,112
1594544433,88,101
1594546430,61,133
1594548533,110,134
1594550423,70,114
1594552332,89,93
1594554290,90,126
1594556169,97,113
1594558334,92,152
1594560259,81,101
1594562198,70,88
1594564088,94,72
1594566088,99,107
1594567935,91,115
1594569876,100,105
1594571804,84,101
1594573714,74,70
1594575856,128,87
1594577773,118,74
1594579719,96,78
1594581611,92,83
1594583535,105,76
1594585481,112,92
1594587406,111,78
1594589288,81,83
1594592417,132,140
1594594354,110,80
1594596296,105,110
1594598175,105,106
1594600126,87,93
1594602119,93,84
1594603962,55,94
1594606842,135,124
1594608746,100,94
1594610693,98,96
1594612603,99,82
1594614493,104,76
1594616552,109,118
1594618367,78,93
1594620281,89,133
1594622187,122,142
1594624132,125,142
1594626150,159,129
1594627964,166,127
1594629861,172,148
1594631795,218,124
1594633724,178,104
1594635625,149,81
1594637606,247,67
1594639488,186,78
1594641395,137,86
1594643294,94,86
1594645339,110,69
1594647192,100,76
1594649051,80,63
1594651045,112,90
1594652909,78,97
1594654853,82,95
1594656739,113,91
1594658657,88,87
1594660582,93,78
1594662492,92,114
1594664438,122,119
1594666333,90,85
1594668255,68,110
1594671162,103,140
1594673083,87,123
1594675002,89,83
1594676902,94,77
1594678818,103,79
1594680766,79,118
1594682682,71,104
1594684577,71,109
1594686517,111,83
1594689638,103,137
1594691532,67,56
1594693515,112,113
1594695394,99,89
1594697364,57,89
1594699456,75,108
1594701288,150,91
1594703093,85,90
1594704982,79,77
1594706931,88,98
1594708856,72,114
1594710743,78,134
1594712589,65,148
1594714600,78,175
1594716529,65,170
1594718417,68,219
1594720336,83,185
1594722589,104,192
1594725525,141,343
1594727587,72,182
1594729494,53,93
1594731485,85,117
1594733291,51,108
1594736179,114,151
1594738150,49,105
1594740013,46,88
1594741933,41,99
1594743882,55,109
1594745775,89,90
1594747691,53,103
1594749768,52,117
1594751804,80,117
1594753696,49,77
1594755611,61,68
1594757560,88,89
1594759529,77,99
1594761409,48,94
1594763300,67,97
1594765210,69,103
1594767204,87,96
1594769088,137,77
1594771154,292,77
1594773146,163,117
1594775091,65,75
1594777003,60,69
1594778939,52,106
1594780816,61,111
1594782761,49,93
1594784678,67,55
1594786630,73,129
1594788528,77,94
1594790412,82,93
1594792359,77,94
1594794531,103,75
1594796611,65,78
1594798580,44,73
1594800390,55,69
1594802207,46,68
1594804100,59,65
1594806012,56,71
1594807982,67,102
1594809858,54,91
1594811775,64,89
1594813732,60,77
1594815616,83,57
1594817531,58,71
1594819553,74,73
1594821370,50,71
1594823289,61,67
1594825315,79,52
1594827171,73,40
1594829108,55,43
1594831019,85,70
1594832900,100,65
1594834840,150,59
1594836767,80,58
1594838653,64,67
1594840585,61,49
1594842528,61,67
1594844430,85,76
1594846339,103,81
1594848306,59,54
1594850193,49,65
1594852333,61,87
1594854293,55,67
1594856204,70,240
1594858161,76,267
1594860053,48,79
1594861961,46,82
1594863858,70,57
1594865782,74,51
1594867698,81,57
1594869662,63,54
1594871539,83,78
1594873459,70,65
1594875467,59,70
1594877293,67,79
1594879470,104,89
1594881372,55,86
1594883389,61,66
1594885217,53,39
1594887165,47,62
1594889056,56,54
1594890974,57,63
1594892919,48,59
1594894834,52,67
1594896736,47,60
1594898709,105,65
1594900577,68,57
1594902518,45,79
1594904572,43,58
1594906857,65,92
1594908687,53,38
1594912373,85,139
1594914302,63,79
1594916447,61,58
