DateTime,AddedIPs,RemovedIPs
1589763383,0,2
1589770340,3,0
1589776103,3,0
1589795545,0,3
1589797478,0,1
1589822655,2,0
1589836828,1,0
1589856262,0,1
1589862020,2,1
1589895374,1,0
1589901389,1,0
1589907142,2,0
1589909060,1,0
1589912898,3,0
1589918904,0,5
1589922754,2,1
1589944136,1,0
1589947948,2,2
1589980549,3,1
1589988270,0,1
1589992397,0,2
1589994843,0,1
1589996782,2,0
1589998993,0,3
1590011423,0,2
1590030161,0,2
1590032015,2,0
1590034134,1,2
1590066202,0,3
1590082130,0,2
1590086192,3,0
1590097943,2,0
1590101784,2,0
1590103738,3,0
1590117645,0,2
1590149562,3,0
1590155358,3,0
1590162977,3,0
1590164897,1,0
1590167071,4,0
1590172826,0,3
1590178829,1,0
1590182654,2,0
1590184585,11,2
1590188614,0,3
1590190584,0,2
1590202108,0,1
1590204016,1,0
1590205956,2,0
1590233304,2,0
1590235350,1,3
1590243147,0,3
1590245057,1,0
1590248894,0,3
1590252736,0,1
1590254664,0,4
1590264509,2,1
1590268334,1,0
1590270266,0,10
1590272176,0,3
1590277938,1,0
1590289756,0,1
1590293553,0,1
1590305065,3,0
1590308894,1,0
1590315156,1,0
1590318971,0,2
1590320905,0,1
1590322810,3,0
1590330744,0,1
1590350184,0,1
1590354310,0,2
1590365791,0,1
1590383535,3,0
1590391230,0,3
1590395069,0,2
1590401105,0,1
1590408846,0,3
1590431066,2,0
1590438985,3,0
1590446668,3,0
1590470441,0,3
1590499724,1,0
1590506689,3,0
1590517250,0,1
1590521067,0,1
1590526705,0,3
1590532629,0,3
1590538341,2,0
1590540258,2,0
1590546028,2,0
1590575325,2,0
1590583933,2,0
1590594020,0,3
1590601699,2,0
1590603628,1,0
1590613363,3,0
1590623289,1,0
1590625267,0,2
1590627139,0,2
1590632894,0,2
1590647295,0,1
1590660101,3,2
1590668905,0,2
1590676821,2,0
1590682613,2,0
1590688361,2,3
1590698897,0,3
1590708505,2,0
1590710528,0,1
1590716186,1,0
1590721930,1,0
1590741381,3,0
1590745211,0,3
1590757009,2,0
1590762019,2,2
1590769691,0,2
1590773787,0,2
1590779566,2,0
1590785308,2,0
1590794913,0,2
1590802816,0,1
1590808575,0,1
1590816264,1,0
1590827769,0,3
1590843134,0,2
1590845112,3,0
1590849139,0,2
1590866409,0,2
1590872182,0,2
1590876065,3,0
1590880097,1,0
1590904096,0,1
1590911776,2,0
1590941775,1,0
1590959308,3,0
1590963025,0,2
1590964831,0,1
1590990013,1,0
1591005399,1,0
1591009364,1,0
1591015223,0,6
1591024822,3,0
1591028654,0,1
1591045937,3,3
1591076905,0,1
1591086504,3,0
1591092517,0,1
1591096581,0,1
1591098495,1,0
1591102338,2,0
1591112187,0,3
1591119852,3,0
1591131369,0,3
1591146975,2,0
1591168348,2,0
1591172171,0,3
1591183942,0,1
1591188031,4,2
1591207264,0,3
1591234104,0,2
1591255692,0,2
1591273703,0,1
1591277051,3,3
1591293380,3,0
1591301315,3,0
1591307061,2,0
1591343822,2,0
1591354582,2,0
1591364172,0,3
1591368008,2,0
1591372089,1,0
1591379783,0,3
1591384823,2,0
1591388653,0,3
1591392489,1,0
1591395623,1,2
1591414808,3,0
1591428738,0,2
1591430659,1,0
1591432585,1,0
1591442172,0,2
1591453691,0,2
1591457539,0,1
1591461385,3,0
1591470998,0,2
1591474816,2,0
1591480576,0,2
1591485370,2,0
1591498964,1,0
