DateTime,AddedIPs,RemovedIPs
1594430441,2,1
1594432333,0,1
1594434286,2,0
1594436203,1,2
1594438137,1,2
1594441211,1,2
1594443155,1,0
1594445096,1,0
1594446977,1,1
1594449140,1,1
1594451073,1,1
1594453011,0,3
1594454896,1,1
1594456819,0,2
1594458769,1,1
1594462577,3,1
1594464528,3,2
1594466417,0,1
1594470293,2,4
1594472179,0,1
1594474095,0,2
1594476266,2,1
1594478224,1,0
1594480141,2,0
1594482315,0,1
1594486121,0,1
1594488054,0,3
1594489945,2,1
1594491889,2,2
1594493778,0,1
1594495697,1,0
1594497857,1,2
1594499800,3,1
1594501698,3,3
1594503615,4,0
1594507475,1,1
1594509372,6,3
1594511351,2,0
1594513218,0,2
1594515144,0,2
1594517086,1,1
1594520939,3,1
1594523094,1,0
1594525001,0,1
1594526916,1,0
1594528814,0,1
1594531018,0,1
1594532917,0,1
1594534814,1,2
1594538655,1,0
1594540599,1,0
1594542490,18,0
1594544497,2,0
1594546432,1,1
1594548279,0,1
1594552122,5,2
1594554012,3,1
1594555933,1,1
1594557896,1,0
1594559776,8,0
1594561700,3,0
1594563663,1,0
1594565563,2,0
1594567493,1,1
1594569382,1,0
1594573515,2,0
1594575411,4,0
1594577297,1,1
1594579223,0,1
1594581164,1,1
1594584976,2,3
1594586923,1,1
1594588831,1,1
1594590769,2,0
1594592695,1,0
1594594573,0,4
1594596864,4,2
1594598687,2,0
1594600576,1,1
1594602608,19,0
1594604418,1,1
1594606337,1,1
1594608317,1,3
1594610179,1,0
1594612096,1,0
1594614045,1,1
1594615947,1,0
1594617878,2,0
1594621700,1,1
1594623874,0,1
1594625808,1,1
1594627715,1,1
1594629618,1,17
1594631564,3,4
1594633457,0,1
1594635377,1,0
1594637348,3,0
1594639213,0,2
1594641164,2,1
1594643084,0,2
1594645002,1,2
1594646893,1,3
1594649078,0,6
1594651046,1,3
1594652910,1,1
1594654855,1,2
1594656741,1,2
1594658658,1,0
1594660584,1,2
1594662494,0,2
1594664440,1,1
1594666336,0,1
1594668257,3,0
1594670211,1,9
1594672087,0,4
1594675003,2,0
1594676905,3,1
1594678821,2,3
1594680767,1,1
1594682683,2,3
1594684578,0,3
1594686519,1,2
1594688602,1,20
1594690575,1,2
1594692779,3,1
1594694656,1,1
1594696735,0,1
1594698766,1,1
1594700675,73,1
1594702601,1,4
1594706630,0,1
1594708501,0,1
1594710527,1,1
1594712591,1,0
1594714601,0,1
1594716530,0,5
1594718420,3,1
1594720339,1,1
1594722592,1,2
1594725532,3,1
1594727591,2,2
1594729496,2,0
1594731488,0,1
1594733294,0,2
1594736194,1,2
1594740016,1,0
1594741935,3,0
1594743884,0,1
1594745776,2,1
1594747694,1,1
1594749806,3,0
1594751805,0,3
1594753699,0,1
1594755613,5,3
1594757561,6,5
1594759536,2,1
1594761414,1,1
1594763304,0,3
1594765212,1,0
1594767205,0,1
1594769140,0,2
1594774128,2,1
1594777934,1,1
1594779890,0,1
1594781794,0,1
1594783691,1,0
1594787813,1,85
1594789700,2,2
1594791612,0,1
1594793445,1,1
1594795251,1,1
1594797140,1,0
1594799287,1,1
1594801226,2,0
1594805131,4,4
1594806988,1,0
1594810932,2,2
1594812751,3,1
1594814661,5,5
1594816604,2,0
1594818509,2,0
1594820411,2,0
1594822397,24,2
1594824258,1,0
1594826185,1,1
1594830023,2,1
1594831996,3,1
1594833890,5,1
1594835881,8,2
1594837697,1,1
1594839847,3,0
1594841810,2,2
1594843732,1,4
1594845621,0,1
1594847619,2,0
1594849455,2,2
1594851377,1,0
1594853325,0,1
1594855243,2,0
1594859064,2,0
1594860975,2,1
1594864919,0,1
1594866760,1,0
1594870572,1,0
1594872518,0,1
1594876351,2,2
1594878281,2,0
1594880192,1,3
1594882095,1,0
1594884286,3,0
1594886196,0,1
1594888093,1,0
1594890175,1,0
1594892197,2,3
1594894093,1,0
1594897962,1,2
1594899866,8,0
1594901807,2,4
1594905943,3,2
1594907805,1,0
1594909644,1,0
1594911600,2,33
1594913551,0,1
1594915613,2,2
1594917616,2,1
1594919533,0,5
1594921479,1,11
1594923369,3,1
1594925306,2,1
1594927492,1,1
1594929477,0,3
1594933403,3,1
1594935400,1,1
1594937303,2,1
1594939215,8,1
1594941046,0,2
1594943083,0,2
1594944974,1,2
1594946909,2,2
1594948841,1,6
1594952655,5,0
1594954596,1,1
1594956491,1,2
1594958522,1,0
1594960359,1,0
1594962260,1,2
1594964174,4,1
1594966135,2,2
1594968017,4,0
1594969981,1,0
1594971885,1,1
1594973781,3,0
1594977790,1,3
1594979799,3,0
1594981892,2,3
1594983783,2,5
1594985830,0,12
1594987696,0,1
1594989611,2,0
1594991590,0,7
1594993452,2,1
1594995370,3,0
1594997320,0,3
1595001138,1,2
1595003122,1,1
1595004973,4,1
1595006891,2,1
1595009027,1,0
1595011006,1,1
1595012896,1,0
1595016734,5,0
1595018668,1,1
1595021702,2,2
1595023703,2,4
1595025665,1,5
1595027562,2,3
1595029457,2,0
1595031405,2,1
1595033333,0,3
1595035211,2,2
1595037134,0,2
1595039085,2,8
1595041035,0,1
1595042894,2,0
1595046760,1,3
1595048687,1,0
1595050616,2,4
1595052502,2,2
1595054410,0,4
1595056375,1,2
1595058251,1,1
1595060174,1,3
1595062226,2,0
1595064279,0,2
1595066170,1,4
1595068339,2,1
1595070270,1,2
1595072200,1,1
1595074101,2,0
1595076018,3,2
1595077967,7,0
1595079860,3,2
1595081773,5,3
1595083725,22,0
1595085618,26,0
1595087535,13,1
1595089493,3,1
1595091383,0,4
1595093305,0,2
1595095419,0,1
1595099541,0,2
1595101455,1,0
1595103402,1,3
1595105298,0,2
1595107272,1,2
1595109162,3,0
1595111059,3,2
1595112973,0,1
1595114920,3,1
1595117807,3,3
1595119697,1,0
1595121620,1,3
1595123573,1,3
1595125473,0,2
1595127445,0,1
1595129318,1,3
1595131278,1,1
1595133165,0,2
1595135056,3,1
1595137032,1,4
1595138895,49,3
1595140815,1,0
1595142762,0,1
1595144660,6,0
1595146570,0,1
1595148525,3,1
1595150412,2,0
1595152342,1,0
1595154287,0,1
1595158089,2,1
1595161235,0,4
1595163144,0,4
1595165083,1,6
1595167045,1,1
1595169823,1,19
1595171919,2,28
1595173960,1,16
1595175864,2,2
1595177799,1,0
1595179692,3,0
1595181781,3,0
1595183803,2,0
1595185974,1,0
1595187865,2,2
1595189782,6,1
1595191728,4,0
1595195580,2,1
1595199375,3,0
1595201537,0,2
1595203731,0,1
1595207566,0,1
1595209456,1,0
1595213369,1,0
1595215216,3,2
1595217136,0,1
1595220978,0,1
1595224996,2,61
1595226826,2,2
1595228688,1,0
1595230573,0,6
1595232499,0,1
1595234450,0,2
1595236346,2,2
1595238286,5,1
1595242124,1,0
1595244017,5,3
1595245939,5,0
1595247889,2,1
1595249791,1,0
1595251719,0,1
1595253888,1,0
1595256055,6,1
1595257941,1,2
1595259868,1,1
1595261802,1,0
1595263690,3,0
1595265610,2,2
1595267563,1,1
1595269458,0,4
1595271382,1,0
1595273320,3,2
1595275376,0,5
1595277371,3,1
1595279321,1,16
1595281210,2,5
1595283172,4,0
1595285059,0,1
1595286977,2,2
1595288922,1,0
1595290813,3,0
1595292732,1,0
1595294683,1,2
1595296573,1,0
1595300560,1,2
1595302598,2,1
1595304503,2,1
1595306455,2,0
1595310256,1,1
1595312185,0,2
1595314128,4,2
1595316014,1,1
