DateTime,AddedIPs,RemovedIPs
1594519000,2,3
1594520940,6,4
1594523098,4,4
1594525002,2,4
1594526918,4,2
1594528815,3,5
1594531019,6,4
1594532917,4,1
1594534815,2,4
1594536791,5,5
1594538657,7,6
1594540601,2,4
1594542491,6,12
1594544534,3,4
1594546458,4,6
1594548289,11,8
1594550186,3,10
1594552124,6,4
1594554014,6,7
1594555937,4,4
1594557900,4,3
1594559780,4,5
1594561704,5,8
1594563666,3,9
1594565591,4,2
1594567495,7,12
1594569387,5,17
1594571337,9,4
1594573519,5,5
1594575464,5,4
1594577300,6,1
1594579227,5,2
1594581166,12,7
1594583070,7,4
1594584977,7,5
1594586925,5,1
1594588833,1,7
1594590770,7,5
1594592697,3,2
1594594610,8,5
1594596866,6,4
1594598717,20,3
1594600578,4,4
1594602610,4,4
1594604421,5,3
1594606339,15,3
1594608320,11,3
1594610182,2,3
1594612108,3,6
1594614047,14,3
1594615952,7,2
1594617880,6,3
1594619819,4,3
1594621704,20,3
1594623877,4,5
1594625812,9,6
1594627718,6,0
1594629620,10,5
1594631566,7,1
1594633493,24,8
1594635380,12,8
1594637350,4,4
1594639217,9,2
1594641170,10,7
1594643087,9,4
1594645004,4,5
1594646897,8,5
1594649081,2,2
1594651048,3,4
1594652913,4,5
1594654859,3,5
1594656743,3,5
1594658661,2,11
1594660586,4,6
1594662496,5,5
1594664453,7,7
1594666338,6,4
1594668259,4,13
1594670218,1,8
1594672090,4,6
1594675007,10,4
1594676908,7,10
1594678824,4,4
1594680769,7,6
1594682686,5,2
1594684581,6,22
1594686521,7,7
1594688740,6,5
1594690578,6,5
1594692782,6,17
1594694658,14,8
1594696740,3,4
1594698769,4,6
1594700677,8,12
1594702603,3,10
1594704517,5,4
1594706641,7,10
1594708504,5,15
1594710530,12,5
1594712594,2,10
1594714604,8,7
1594716532,5,7
1594718422,5,12
1594720343,6,20
1594722694,7,13
1594724870,46,3
1594726842,4,15
1594729081,5,9
1594730924,9,5
1594732842,3,8
1594734772,4,3
1594736686,7,2
1594738573,4,3
1594740518,6,2
1594742615,6,2
1594744609,11,5
1594746497,7,4
1594748417,14,5
1594750361,3,8
1594752253,9,7
1594754175,4,7
1594756125,5,4
1594758014,4,5
1594759940,4,7
1594761758,4,7
1594763564,5,5
1594765456,8,5
1594767372,8,7
1594769213,6,5
1594771350,7,8
1594773402,3,9
1594775298,5,6
1594777214,5,6
1594779161,3,7
1594781076,7,11
1594782997,7,2
1594784928,6,7
1594786824,5,6
1594788739,5,5
1594790686,9,3
1594792572,3,8
1594794534,4,5
1594796647,5,12
1594798582,9,2
1594800393,3,7
1594802210,4,6
1594804104,4,6
1594806020,7,5
1594807996,7,6
1594809861,8,19
1594811777,1,34
1594813735,2,4
1594815645,22,6
1594817534,5,8
1594819555,2,2
1594821377,4,5
1594823291,4,6
1594825377,5,4
1594827202,5,7
1594829171,4,5
1594831023,4,10
1594832903,4,7
1594834859,6,14
1594836771,6,4
1594838658,4,8
1594840591,9,6
1594842535,10,4
1594844433,5,5
1594846385,10,3
1594848314,5,6
1594850213,7,2
1594852338,7,13
1594854296,3,6
1594856210,8,5
1594858164,8,6
1594860061,7,3
1594861965,6,5
1594863865,6,3
1594865785,8,4
1594867701,10,4
1594869668,9,8
1594871541,11,4
1594873462,7,9
1594875470,4,4
1594877296,5,7
1594879486,7,3
1594881375,3,3
1594883391,9,4
1594885222,12,11
1594887170,6,4
1594889059,4,2
1594890976,8,6
1594892922,7,7
1594894837,8,6
1594896740,4,5
1594898712,7,2
1594900583,3,2
1594902520,11,24
1594904675,10,3
1594906860,7,3
1594908692,6,4
1594910904,6,5
1594913026,4,8
1594915010,1,3
1594916902,1,2
1594919025,4,5
1594920969,6,5
1594922926,8,7
1594925796,16,9
1594928030,12,7
1594930073,4,8
1594933015,15,11
1594934889,13,7
1594937772,8,8
1594939718,11,6
1594941740,8,4
1594943543,10,9
1594945459,8,10
1594947428,7,8
1594949340,6,4
1594951451,4,5
1594953388,5,8
1594955332,3,10
1594957217,6,12
1594959405,8,11
1594961297,7,5
1594963247,6,10
1594965138,7,3
1594967096,6,7
1594969029,5,6
1594970895,3,12
1594973024,12,6
1594974895,1,6
1594976926,3,6
1594978821,4,8
1594980742,4,7
1594982670,6,6
1594984578,3,5
1594986527,4,6
1594988421,3,8
1594990343,3,13
1594992292,2,7
1594994190,8,9
1594996096,9,6
1594998269,7,6
1595000215,5,4
1595002101,3,0
1595004023,6,3
1595005964,9,2
1595007871,4,10
1595009780,9,6
1595011998,8,13
1595013908,10,10
1595015776,7,9
1595017734,8,6
1595019914,8,11
1595021807,4,14
1595023710,10,6
1595025668,12,8
1595027565,8,8
1595029460,9,10
1595031408,9,9
1595033336,6,10
1595035217,5,3
1595037140,7,8
1595039087,3,2
1595041040,5,5
1595042896,4,4
1595044982,4,8
1595046997,3,8
1595049167,2,6
1595051055,4,7
1595052975,6,5
1595054923,5,8
1595056817,7,3
1595058734,2,9
1595060692,2,2
1595062606,3,3
1595064507,5,1
1595066554,7,7
1595068362,4,3
1595070275,6,4
1595072202,8,3
1595074103,4,3
1595076022,2,6
1595077969,4,4
1595079862,5,7
1595081776,3,9
1595083727,10,3
1595085629,5,9
1595087537,3,2
1595089494,3,4
1595091385,2,9
1595093307,6,6
1595095466,2,7
1595097678,6,8
1595099544,4,8
1595101458,7,8
1595103404,4,8
1595105300,3,7
1595107275,4,5
1595109164,7,8
1595111062,7,9
1595112976,4,9
1595114923,3,9
1595117809,6,13
1595119699,2,6
1595121623,1,6
1595123576,3,9
1595125475,8,2
1595127447,5,4
1595129325,2,5
1595131403,5,4
1595133378,4,3
1595135322,3,2
1595137212,5,0
1595139164,3,6
1595141056,3,9
1595142971,6,6
1595144917,2,3
1595146815,7,0
1595148732,5,1
1595150715,7,8
1595152585,6,7
1595154493,8,4
1595156555,4,4
1595158382,2,9
1595160302,9,4
1595162201,8,3
1595164093,6,4
1595166014,8,2
1595168056,8,2
1595169951,7,11
1595171997,4,5
1595173963,6,4
1595175887,13,3
1595177802,13,2
1595179695,18,5
1595181864,3,2
1595183805,5,7
1595185977,5,4
1595187871,4,8
1595189788,2,3
1595191731,10,4
1595193621,9,5
1595195584,4,7
1595197499,5,5
1595199378,8,4
1595201540,6,3
1595203734,8,5
1595205626,5,3
1595207569,3,2
1595209460,4,3
1595211415,5,8
1595213373,6,3
1595215220,5,6
1595217140,5,6
1595219107,14,1
1595220982,9,6
1595222901,10,5
1595225053,19,2
1595227255,10,4
1595229145,4,5
1595231053,4,5
1595233007,6,3
1595234916,13,6
1595236871,5,8
1595238730,4,7
1595240685,10,7
1595242573,4,4
1595244489,5,2
1595246660,5,10
1595248604,12,8
1595250503,3,6
1595252422,8,8
1595254372,3,6
1595256259,6,6
1595258230,5,4
1595260123,2,6
1595262032,10,11
1595263988,4,12
1595265881,8,19
1595267773,15,6
1595269724,8,3
1595272604,8,8
1595274499,6,3
1595276474,7,3
1595278336,5,9
1595280285,9,8
1595282226,6,5
1595284098,6,4
1595286233,4,8
1595288214,6,4
1595290104,5,6
1595292026,7,6
1595294006,7,4
1595295856,13,4
1595297838,9,6
1595299727,15,5
1595301613,12,5
1595303532,12,8
1595305487,10,16
1595307386,9,9
1595309296,16,8
1595311496,18,17
1595313404,11,10
1595315299,5,6
1595317238,3,5
1595319178,5,6
1595321053,8,10
1595323256,16,8
1595325449,5,6
1595327293,3,11
1595329456,3,4
1595331402,5,5
1595333310,2,6
1595335239,2,8
1595337166,5,3
1595339057,3,7
1595340975,4,4
1595342928,5,10
1595344839,6,4
1595346733,4,6
1595348682,4,8
1595350570,3,3
1595352491,9,7
1595354608,2,20
1595356604,6,6
1595358497,8,4
1595360414,6,7
1595362364,6,7
1595364262,6,5
1595366183,4,7
1595368098,4,7
1595370042,4,4
1595371940,9,5
1595373862,11,4
1595375801,3,8
1595377724,8,7
1595379675,8,6
1595381556,6,12
1595383769,7,8
1595385636,7,10
1595387558,5,13
1595389454,6,13
1595391457,5,11
1595393355,4,11
1595395224,5,15
1595397147,4,19
1595399143,5,6
1595400983,5,9
1595402908,8,6
1595404996,10,6
1595407017,6,4
1595408897,5,13
1595410814,10,10
1595412771,5,4
1595414656,12,2
1595416583,4,3
1595418535,7,7
1595420424,8,3
1595422374,4,3
1595424362,6,4
1595426209,4,3
1595428114,4,4
1595430216,5,4
1595432176,4,5
1595434351,5,4
1595436260,5,2
1595438216,5,12
1595440117,5,2
1595442047,7,3
1595443937,10,12
1595445894,6,4
1595447802,5,5
1595449704,6,6
1595452808,9,9
1595454729,4,3
1595456682,9,5
1595458584,3,9
1595460732,9,7
1595463614,14,13
1595465534,5,6
1595467486,4,8
1595469373,6,5
1595471298,5,3
1595473397,3,7
1595475406,7,11
1595477327,6,4
1595479239,5,3
1595481195,9,6
1595483054,6,2
1595484986,7,6
1595486939,2,6
1595488823,6,11
1595490733,8,10
1595492690,7,4
1595494588,8,3
1595496506,8,10
1595498708,6,6
