DateTime,AddedIPs,RemovedIPs
1583938607,930,5
1583960583,840,2
1583982533,518,1
1584004419,1,2
1584026552,4,0
1584048493,0,3
1584070340,1,0
1584092423,3,0
1584114499,3,4
1584136572,1,0
1584169512,2,2
1584191567,1,1
1584213619,3,135
1584235475,5,53
1584257340,2,2
1584279396,2,0
1584301289,16,2
1584323555,7,1
1584345401,1,0
1584367480,2,0
1584389554,3,12
1584411413,12297,1
1584433478,893,4
1584455568,3,235
1584477619,0,581
1584499488,0,593
1584521592,2,671
1584543852,8,561
1584565716,971,525
1584587781,2,361
1584609637,1,1
1584631700,4,1
1584653552,1,0
1584697715,0,1
1584719561,2,6
1584752668,4,0
1584774516,3,1
1584796582,2,0
1584818444,0,3
1584840507,0,3
1584862573,0,1
1584906268,2,12
1584928340,0,2
1584983081,9,2
1585005182,7,6693
1585027213,1,8142
1585049064,2,1
1585071148,4,0
1585092993,5,0
1585114843,0,1
1585136686,0,25
1585158744,2,1495
1585180599,8,2
1585202683,1,3
1585224753,0,2
1585246837,2,11
1585269145,0,5
1585291029,4,3
1585313069,4,4
1585334929,3,3
1585356981,1,3
1585379087,4,4
1585401141,2,2
1585422983,28,3
1585445072,39,2
1585467413,4,3
1585489472,4,2
1585511545,6,1
1585533412,1,0
1585566272,12,3
1585588361,186,0
1585610445,0,5
1585632539,0,1
1585654579,2,1
1585676662,2,4
1585698731,1,4
1585753538,3,2
1585775547,4,5
1585797618,6,2
1585819489,2,0
1585841549,2,7
1585863393,2,2
1585885463,1,3
1585907534,2,3
1585929400,0,1
1585951510,2,4
1585973545,1,5
1585995625,4,8
1586017692,4,29
1586039589,3,9
1586061618,0,11
1586083496,2,8
1586105571,4,3
1586127417,5,0
1586149352,3,3
1586171300,4,60
1586193154,3,185
1586215233,4,1
1586237293,3,1
1586259135,5,2
1586281040,2,3
1586303053,1,1
1586324920,3,1
1586346998,3,1
1586379885,1501,6
1586401959,0,9
1586423803,2,2
1586445887,1,2
1586467733,3,2
1586489796,2,3
1586511869,2,3
1586533938,3,0
1586555796,2,1
1586577832,3,1
1586599820,2,4
1586621787,6,1
1586643893,1,1
1586665934,3,0
1586687791,2,0
1586709859,3,3
1586731725,6,3
1586753772,3,3
1586775861,0,5
1586797753,1,1
1586819787,12,9
1586841859,9,2
1586863703,15,2
1586885547,10,0
1586907497,2,0
1586929465,2,1
1586951553,2,3
1586973396,0,1511
1587006512,7,4
1587028646,3,3
1587050654,9,1
1587072511,12,2
1587094573,3,2
1587116444,6,0
1587138519,4,0
1587160584,4,2
1587193469,2,28
1587215553,2,4
1587237615,2,0
1587259467,1,3
1587281322,2,4
1587303397,4,3
1587325481,28,0
1587347539,9,3
1587369587,1,1
1587391527,3,0
1587413397,5,7
1587435402,3,1
1587457473,4,1
1587479542,3,4
1587501416,3,2
1587523462,2,0
1587545543,1,5
1587567386,0,6
1587600303,3,5
1587644434,0,1
1587666539,2,5
1587688573,0,7
1587710420,1,2
1587732506,0,3
1587754611,2,4
1587776673,5,2
1587798555,4,3
1587820578,4,0
1587842671,1,0
1587864742,4,2
1587886622,2,4
1587908486,1,5
1587930502,3,8
1587952347,2,6
1587974207,3,12
1588007007,2,24
1588028893,1,8
1588051023,1,3
1588073104,11,4
1588095149,2,2
1588117217,0,2
1588139072,3,2
1588161144,1,0
1588183000,0,2
1588204919,3,0
1588226918,2,0
1588249013,2,1
1588271065,1076,1
1588293234,438,1
1588359150,4,1
1588381021,16,3
1588402999,3,3
1588425160,2,6
1588447018,1,0
1588469064,1,5
1588491138,0,1
1588513021,5,6
1588535084,7,3
1588557138,5,2
1588578988,0,1
1588600993,2,1
1588622922,5,2
1588645041,11,0
1588667087,7,1
1588689142,4,17
1588711037,3,0
1588733072,1,0
1588755198,3,2
1588777393,4,2
1588799305,4,0
