DateTime,AddedIPs,RemovedIPs
1594503619,2,4
1594505575,4,1
1594507477,6,3
1594509373,2,2
1594511353,3,2
1594513222,0,3
1594515148,2,4
1594517090,1,1
1594519001,3,4
1594520941,2,1
1594523100,3,0
1594525003,2,2
1594526922,3,1
1594528818,6,2
1594531020,3,2
1594532919,1,2
1594534818,1,2
1594536792,1,0
1594538659,1,3
1594540603,4,2
1594542498,2,3
1594544636,2,1
1594546462,2,3
1594548325,4,2
1594550189,3,3
1594552128,4,4
1594554019,1,2
1594555940,1,5
1594557904,1,3
1594559783,1,3
1594561710,4,3
1594563670,2,3
1594565595,0,2
1594567499,1,2
1594569390,5,6
1594571352,2,1
1594573531,2,5
1594575468,1,3
1594577304,3,3
1594579235,1,3
1594581170,0,5
1594583074,1,2
1594584981,2,2
1594586928,3,4
1594588836,1,0
1594590773,1,2
1594592701,1,6
1594594613,2,4
1594596899,3,5
1594598719,2,0
1594600581,1,1
1594602612,1,1
1594604423,3,3
1594606341,0,2
1594608323,5,1
1594610185,2,4
1594612112,2,2
1594614049,4,6
1594615954,3,2
1594617883,2,4
1594619822,4,0
1594621707,2,1
1594623879,4,1
1594625814,1,4
1594627721,1,2
1594629623,2,2
1594631568,2,2
1594633497,2,2
1594635382,0,4
1594637353,2,4
1594639219,3,2
1594641174,1,2
1594643090,3,0
1594645027,1,2
1594646899,2,2
1594649091,2,4
1594652916,1,0
1594654875,1,5
1594656745,2,2
1594658664,0,3
1594662499,1,1
1594664456,5,3
1594666341,2,1
1594668262,2,0
1594670224,4,3
1594672093,0,1
1594675010,4,3
1594676911,1,0
1594678826,3,2
1594680772,1,1
1594682688,3,4
1594684584,2,2
1594686524,4,1
1594688750,5,1
1594690582,0,3
1594692792,5,0
1594694661,3,5
1594696743,1,2
1594698771,5,3
1594700680,0,3
1594702606,4,5
1594704520,2,1
1594706648,1,3
1594708507,4,3
1594710532,0,4
1594712598,2,0
1594714607,2,1
1594716535,4,3
1594718425,1,2
1594720345,0,1
1594722946,6,2
