DateTime,AddedIPs,RemovedIPs
1594309700,0,1
1594311635,0,1
1594313869,2,2
1594315722,0,1
1594317891,1,2
1594319778,0,2
1594323861,0,1
1594325806,2,1
1594327718,0,2
1594329634,1,0
1594331581,3,4
1594333489,1,1
1594335428,2,5
1594337318,11,1
1594339454,5,0
1594341375,1,2
1594343328,0,1
1594345230,1,0
1594347137,2,2
1594349061,1,1
1594356792,2,0
1594368501,0,1
1594370421,0,3
1594372612,0,1
1594374521,0,1
1594378380,1,0
1594380257,1,0
1594384124,2,1
1594386244,3,2
1594388174,3,1
1594390120,1,3
1594392072,1,1
1594394190,0,1
1594396367,0,1
1594398257,1,1
1594400216,2,0
1594402093,3,1
1594404231,1,1
1594406170,2,0
1594410023,1,0
1594411932,0,1
1594413889,1,1
1594415785,0,2
1594417694,0,2
1594419619,2,1
1594421539,1,2
1594423459,2,3
1594425406,1,6
1594427325,2,2
1594429440,5,2
1594433574,0,3
1594435460,0,1
1594437389,1,0
1594441219,1,0
1594443203,0,1
1594445112,2,1
1594446985,2,0
1594449148,1,0
1594453022,1,0
1594458772,3,0
1594460661,1,1
1594462581,1,0
1594464536,0,1
1594466421,2,1
1594470297,0,2
1594472184,0,2
1594474098,0,2
1594476276,1,2
1594478228,1,1
1594484186,0,1
1594486126,1,1
1594488065,1,0
1594489949,0,3
1594491893,1,1
1594493786,1,0
1594495700,0,4
1594497864,3,0
1594499804,2,3
1594501701,1,0
1594503620,1,0
1594507478,2,2
1594509374,1,1
1594511354,1,3
1594513223,6,1
1594515149,4,0
1594519002,1,0
1594520944,1,0
1594525005,0,1
1594526924,0,1
1594528819,2,0
1594531022,2,2
1594532920,0,5
1594534819,0,2
1594538660,1,0
1594540617,6,0
1594542498,2,1
1594544670,2,0
1594546820,3,1
1594548734,1,0
1594550685,1,1
1594552580,2,3
1594556440,2,0
1594558390,1,0
1594560264,1,0
1594562201,2,1
1594564093,1,0
1594566184,1,1
1594568204,1,1
1594572012,1,0
1594573963,0,2
1594575861,2,1
1594577778,1,0
1594583538,1,1
1594585484,2,2
1594587409,2,1
1594589292,2,0
1594592421,4,3
1594594358,1,2
1594596300,3,2
1594598179,5,5
1594600129,0,3
1594602213,2,3
1594604170,1,1
1594608022,0,1
1594609931,1,0
1594615956,0,3
1594617884,0,1
1594619823,1,0
1594623881,1,0
1594625815,2,1
1594627722,2,1
1594629624,1,1
1594631569,1,3
1594633499,3,2
1594635383,0,1
1594637354,0,1
1594639221,0,3
1594643091,0,2
1594645028,2,2
1594646900,1,2
1594649094,2,2
1594651052,2,1
1594652929,3,0
1594654876,0,2
1594658665,1,1
1594662500,1,4
1594664458,1,1
1594666342,1,0
1594668263,2,2
1594670226,0,2
1594672094,1,2
1594675012,2,2
1594676912,2,2
