DateTime,AddedIPs,RemovedIPs
1591915703,11,16
1591922903,21,29
1591930108,49,63
1591938025,29,32
1591945219,18,13
1591952498,19,15
1591960342,23,44
1591967542,16,26
1591974991,27,15
1591981702,17,0
1591988898,21,22
1591996102,20,24
1592003307,17,24
1592010741,19,25
1592018191,47,46
1592025620,27,28
1592032820,16,5
1592040018,15,14
1592047220,16,19
1592054419,24,23
1592061862,24,32
1592069065,21,26
1592076263,17,0
1592083461,15,22
1592090661,18,22
1592097865,21,44
1592105063,39,45
1592112264,16,18
1592119466,10,17
1592126667,13,19
1592134578,22,22
1592142269,16,23
1592149702,17,13
1592156901,18,21
1592164101,24,14
1592171304,12,19
1592178501,14,20
1592185940,38,40
1592193140,36,41
1592201316,20,13
1592207785,11,14
1592215020,18,15
1592222183,23,20
1592229385,21,19
1592236819,22,15
1592244508,28,18
1592251716,17,25
1592258906,20,26
1592266109,20,33
1592273313,40,51
1592280505,35,30
1592287955,21,16
1592295145,25,21
1592302347,13,16
1592310263,16,13
1592317464,18,16
1592324666,19,22
1592331865,17,19
1592338828,17,23
1592346026,18,26
1592353474,26,38
1592360678,42,7
1592367878,34,99
1592375077,28,24
1592382515,25,0
1592389959,23,32
1592396677,14,0
1592403874,14,14
1592411797,22,55
1592418991,22,0
1592426194,18,44
1592433158,18,30
1592441067,28,50
1592448265,48,0
1592455469,42,44
1592462900,18,9
1592470101,13,19
1592477304,21,25
1592485239,14,26
1592492434,19,27
1592499631,22,30
1592506837,25,19
1592514145,24,17
1592521226,27,22
1592528665,26,51
1592529384,2,0
1592530823,11,0
1592538023,48,26
1592545471,24,12
1592552674,21,13
1592559869,17,29
1592567067,15,20
1592574268,20,25
1592581476,23,17
1592589384,39,26
1592596583,20,19
1592603784,20,21
1592610987,22,26
1592618190,35,42
1592625635,37,31
1592632830,20,13
1592640267,17,12
1592647721,11,18
1592655160,15,15
1592662579,24,21
1592669783,23,17
1592676984,21,20
1592684428,23,21
1592692344,20,11
1592699545,17,20
1592706746,40,48
1592713471,30,13
1592720672,13,11
1592728585,17,10
1592735790,17,19
1592743226,17,15
1592750431,23,15
1592757153,14,19
1592764589,18,24
1592771786,25,17
1592778993,17,23
1592786191,25,38
1592793391,38,47
1592800594,29,21
1592808025,25,12
1592815227,20,16
1592822665,16,19
1592829865,17,21
1592837070,15,29
1592844273,24,22
