DateTime,AddedIPs,RemovedIPs
1594658062,5,11
1594659540,51,30
1594661060,4,4
1594661660,1,16
1594664078,67,47
1594665259,4,42
1594668864,63,35
1594670512,38,54
1594671921,12,2
1594673422,33,27
1594674728,12,20
1594676057,6,13
1594677773,58,49
1594679664,28,36
1594681695,32,38
1594683263,24,22
1594686865,33,50
1594688118,30,3
1594689483,2,25
1594690462,2,28
1594692432,30,104
1594694061,11,30
1594697126,51,28
1594697662,8,19
1594699168,35,42
1594700725,13,6
1594702231,9,94
1594703738,0,2799
1594704860,2724,0
1594707760,46,36
1594708865,10,29
1594710224,12,71
1594711378,9,5
1594712064,5,12
1594713366,15,1
1594714963,40,31
1594715662,5,22
1594718020,41,4
1594719270,10,13
1594720651,17,5
1594722863,22,20
1594725598,30,10
1594727425,18,19
1594729132,14,4
1594730064,6,28
1594732644,0,2714
1594733672,2723,0
1594735395,11,15
1594737261,18,14
1594738458,25,2
1594739816,16,12
1594740940,6,6
1594742341,71,8
1594744460,109,13
1594748061,55,15
1594750596,22,160
1594751662,6,28
1594752761,2,6
1594754721,21,27
1594756223,8,5
1594758865,14,27
1594761189,65,16
1594762463,19,5
1594763651,78,2
1594766064,21,48
1594769126,51,24
1594769662,8,6
1594770858,63,0
1594772723,17,26
1594773262,4,5
1594776311,0,2963
1594777644,3038,0
1594780461,7,40
1594782254,73,24
1594784059,19,17
1594787667,65,16
1594789410,15,10
1594791260,21,13
1594793047,13,11
1594794263,5,0
1594795829,7,13
1594796982,6,24
1594798456,14,15
1594800638,24,14
1594802061,5,9
1594804672,47,141
1594806033,34,34
1594807442,209,66
1594809267,57,55
1594810936,203,50
1594812247,3,3
1594813421,55,13
1594815004,133,104
1594816973,10,73
1594818197,42,125
1594820062,21,52
1594821583,70,38
1594823662,19,53
1594826117,67,44
1594827260,16,9
1594828651,40,24
1594830321,5,32
1594831822,53,9
1594834462,20,59
1594835704,60,2
1594837377,14,36
1594838060,19,18
1594839278,74,17
1594841661,33,43
1594842878,54,4
1594844579,0,3360
1594845262,3351,0
1594847769,62,54
1594848863,21,30
1594851450,83,39
1594852588,47,27
1594855524,105,33
1594856063,3,10
1594858312,75,27
1594859661,29,9
1594863263,75,40
1594866323,152,49
1594867828,95,30
1594870463,38,44
1594874063,113,33
1594875930,8,27
1594877130,13,1
1594878394,26,15
1594879529,112,15
1594881263,28,10
1594882423,33,8
1594883596,102,14
1594885669,129,52
1594888464,66,51
1594890091,0,4148
1594892069,4193,0
1594893447,22,4
1594895124,32,19
1594895664,2,18
