DateTime,AddedIPs,RemovedIPs
1594650867,5,25
1594653759,75,16
1594654477,12,25
1594657375,52,116
1594658074,6,11
1594659556,50,31
1594661071,5,3
1594661671,0,16
1594664089,67,47
1594665273,4,42
1594668876,62,35
1594670554,39,54
1594671935,9,2
1594673435,32,27
1594674742,12,20
1594676069,6,10
1594677797,58,46
1594679677,28,37
1594681711,32,37
1594683276,24,22
1594686878,33,50
1594688132,30,3
1594689507,2,26
1594690474,2,27
1594692448,30,103
1594694076,11,30
1594697141,50,28
1594697676,10,19
1594699184,33,41
1594700739,13,6
1594702247,9,94
1594703765,14,90
1594704871,10,8
1594707774,46,36
1594708880,9,29
1594710235,10,71
1594711396,9,5
1594712077,4,12
1594713384,15,1
1594714976,40,28
1594715679,5,22
1594718043,38,4
1594719285,9,13
1594720680,18,6
1594722876,22,18
1594725622,30,10
1594727438,18,19
1594729154,13,4
1594730077,7,26
1594732665,56,37
1594733684,7,17
1594735432,11,15
1594737273,19,14
1594738505,25,2
1594739837,16,12
1594740953,5,6
1594742360,75,8
1594744472,107,15
1594748073,55,15
1594750612,22,160
1594751675,6,28
1594752773,2,6
1594754735,21,27
1594756236,8,5
1594758878,14,27
1594761217,64,15
1594762475,19,5
1594763665,79,2
1594766076,19,48
1594769139,51,25
1594769675,9,6
1594770879,63,0
1594772734,16,26
1594773275,4,6
1594776330,72,36
1594777657,46,6
1594780477,6,39
1594782276,73,24
1594784074,20,17
1594787682,65,16
1594789428,16,11
1594791274,21,13
1594793069,13,11
1594794276,5,0
1594795843,8,13
1594796996,6,24
1594798468,13,13
1594800651,24,13
1594802076,5,9
1594804696,44,141
1594806046,32,34
1594807465,207,66
1594809282,56,51
1594810990,202,50
1594812271,4,2
1594813434,62,13
1594815024,128,105
1594816994,10,73
1594818224,41,125
1594820076,21,53
1594821658,71,44
1594823673,19,47
1594826138,66,44
1594827276,15,9
1594828664,39,24
1594830334,6,33
1594831835,52,9
1594834477,21,59
1594835717,59,2
1594837395,13,36
1594838072,21,18
1594839288,73,18
1594841674,34,41
1594842895,54,3
1594844607,23,24
1594845277,4,12
1594847791,63,55
1594848876,21,29
1594851467,82,38
1594852599,46,27
1594855536,105,32
1594856076,3,10
1594858333,75,27
1594859674,29,9
1594863277,75,40
1594866336,152,49
1594867844,94,29
1594870477,40,44
1594874077,111,33
1594875944,8,27
1594877146,13,1
1594879541,137,28
1594881276,28,9
1594882437,35,7
1594883611,101,15
1594885699,129,52
1594888476,66,48
1594890139,59,22
1594892082,18,12
1594893462,23,4
1594895137,30,19
1594895675,2,18
1594896802,7,13
1594898201,13,14
1594899274,33,12
1594901874,29,32
1594902875,8,24
1594904016,21,4
1594905940,14,18
1594906481,3,14
1594907938,26,27
1594909260,52,7
1594910073,4,13
1594911439,5,6
1594913134,8,52
1594913674,2,77
1594915718,9,24
1594917621,24,22
1594920136,20,24
1594920858,3,6
1594922641,17,13
1594924470,17,20
1594925695,9,2
1594926924,20,7
1594928072,26,17
1594930324,44,51
1594932637,32,33
1594935274,31,91
1594936482,24,1
1594938877,28,52
1594942260,51,83
1594942480,3,1
1594943746,6,3
1594945063,21,52
1594946081,4,4
1594947281,12,5
1594948879,6,40
1594949682,20,4
1594951038,10,11
1594952749,6,68
1594953279,7,16
1594956091,39,54
1594957845,143,21
1594959949,18,10
1594961455,9,28
1594964081,20,25
1594965558,36,11
1594967156,77,9
1594968395,2,19
1594970356,54,20
1594971279,11,11
1594972674,146,12
1594974340,35,24
1594974878,12,42
1594977780,65,119
1594978477,8,108
1594980090,26,186
1594982079,8,12
1594983546,31,135
1594984726,18,15
1594985685,9,10
1594987385,25,44
1594989276,5,15
1594991243,21,61
1594992337,5,3
1594993477,29,11
1594994695,37,54
1594996474,23,15
1594999025,52,50
1595000073,15,7
1595001821,67,57
1595003016,7,1
1595004419,99,31
1595006307,44,56
1595007275,8,15
1595009088,53,85
1595010870,12,26
1595012190,37,6
1595014473,12,86
1595015844,21,3
1595017540,54,47
1595018082,3,39
1595019955,47,75
1595021135,10,4
1595021675,1,34
1595023620,21,91
1595025279,12,24
1595028876,94,97
1595030869,40,37
1595032474,8,31
1595035318,37,90
1595038113,68,130
1595039679,105,34
1595040831,102,10
1595042741,27,71
1595043279,2,38
