DateTime,AddedIPs,RemovedIPs
1594511431,3,9
1594514069,4,5
1594516434,2,3
1594519613,4,0
1594521270,1,2
1594523212,1,1
1594526333,0,1
1594527470,2,0
1594528466,1,1
1594533406,1,1
1594535006,0,3
1594535669,1,3
1594537451,3,3
1594541651,1,3
1594542803,1,0
1594545363,1,0
1594547430,1,2
1594550065,1,1
1594552611,1,2
1594553876,3,1
1594556727,2,1
1594557263,0,2
1594559852,1,0
1594561829,1,0
1594564468,0,2
1594567098,1,5
1594570709,2,0
1594574333,2,2
1594578869,3,2
1594581615,0,2
1594582464,1,1
1594586071,3,0
1594587984,1,0
1594589668,1,0
1594590811,0,1
1594592735,1,0
1594594229,2,0
1594596066,1,1
1594596869,0,2
1594599765,1,4
1594600469,1,3
1594603311,2,2
1594605034,2,3
1594607674,3,6
1594610554,4,3
1594612059,2,1
1594614881,1,0
1594616547,2,48
1594619331,1,4
1594620572,2,1
1594622066,2,1
1594624408,1,2
1594625668,1,3
1594628720,5,2
1594631498,1,2
1594633821,1,3
1594637432,0,4
1594639038,2,1
1594641879,9,5
1594643670,233,3
1594645140,2,0
1594646735,0,1
1594647271,0,1
1594648497,1,0
1594649605,1,0
1594653755,3,0
1594654471,0,1
1594657369,2,2
1594658068,1,0
1594659548,1,0
1594661667,1,0
1594665266,1,0
1594668871,2,1
1594670524,0,1
1594671929,1,0
1594673429,2,0
1594677780,0,3
1594679671,1,3
1594681706,1,1
1594683270,0,3
1594686873,3,2
1594688127,1,1
1594689497,2,1
1594690469,1,2
1594692443,1,2
1594694069,1,1
1594697134,1,0
1594697669,0,2
1594699177,2,2
1594700734,1,0
1594702239,1,2
1594703747,1,2
1594704867,3,1
1594707768,4,1
1594708874,2,0
1594710230,1,0
1594711387,1,0
1594712071,1,3
1594713374,2,0
1594714971,2,0
1594718033,2,2
1594719280,1,1
1594720666,2,0
1594722870,2,0
1594725609,1,2
1594727433,0,1
1594729145,1,2
1594732655,1,2
1594733679,0,1
1594735409,1,0
1594737268,2,0
1594738492,1,1
1594740947,1,1
1594742351,0,1
1594748067,3,3
1594750603,1,0
1594754729,2,0
1594756230,0,2
1594758871,2,1
1594761204,1,1
1594762470,0,1
1594766071,2,4
1594769132,1,1
1594769670,0,1
1594772730,3,0
1594773269,2,1
1594776324,2,2
1594777651,1,2
1594780469,4,5
1594782267,0,1
1594784068,0,1
1594787675,4,1
1594789421,1,2
1594791268,2,4
1594793059,1,0
