DateTime,AddedIPs,RemovedIPs
1594659537,33,54
1594661056,42,2
1594661656,16,39
1594664075,68,77
1594665257,25,68
1594668860,92,190
1594670509,30,60
1594671917,41,0
1594673418,37,87
1594674725,34,30
1594676054,18,65
1594677768,34,68
1594679661,80,61
1594681690,55,52
1594683259,40,48
1594686862,86,110
1594688112,45,18
1594689479,22,32
1594690459,14,50
1594692429,36,55
1594694058,35,59
1594697123,90,69
1594697658,22,51
1594699165,34,64
1594700722,25,8
1594702228,73,59
1594703738,0,6563
1594704857,6563,0
1594707758,61,48
1594708862,13,47
1594710221,17,38
1594711374,51,0
1594712060,11,46
1594713363,17,13
1594714959,25,33
1594715659,11,40
1594718015,36,58
1594719265,29,36
1594720645,18,21
1594722861,100,104
1594725593,32,55
1594727420,30,101
1594729127,37,45
1594730060,13,67
1594732644,0,6312
1594733667,6254,0
1594735391,31,71
1594737258,38,111
1594738455,30,21
1594739814,37,44
1594740937,19,54
1594742337,25,47
1594744457,49,73
1594748058,66,174
1594750585,52,74
1594751658,23,66
1594752758,33,22
1594754719,35,48
1594756219,32,91
1594758861,67,109
1594761184,42,72
1594762459,21,63
1594763648,19,13
1594766061,46,230
1594769120,41,133
1594769658,6,62
1594770853,22,13
1594772721,26,69
1594773260,12,59
1594776311,0,5307
1594777639,5237,0
1594780458,90,152
1594782249,40,88
1594784056,33,85
1594787663,78,162
1594789406,36,46
1594791257,50,61
1594793043,27,83
1594794260,21,0
1594795827,30,130
1594796980,16,49
1594798452,0,4802
1594800634,4751,0
1594802058,28,70
1594804666,62,99
1594806029,25,71
1594807437,25,136
1594809262,56,51
1594810925,36,104
1594812240,23,0
1594813417,24,55
1594815000,27,53
1594816971,37,50
1594818194,19,52
1594820060,36,61
1594821580,25,59
1594823657,34,60
1594826108,47,47
1594827258,25,50
1594828648,21,19
1594830318,28,33
1594831817,20,71
1594834459,81,85
1594835701,27,16
1594837375,26,37
1594838058,9,37
1594839275,25,20
1594841658,57,74
1594842875,22,23
1594844579,0,4163
1594845260,4162,0
1594847765,57,31
1594848860,15,82
1594851448,44,53
1594852585,21,36
1594855520,69,56
1594856060,10,47
1594858310,41,54
1594859658,32,29
1594863259,81,92
1594866319,58,56
1594867824,33,99
1594870461,53,66
1594874059,107,117
1594875926,45,16
1594877126,26,1
1594878389,26,53
1594879526,21,28
1594881259,27,57
1594882420,24,11
1594883593,21,18
1594885663,30,30
1594888460,60,52
1594890091,0,3979
1594892065,3938,0
1594893443,31,8
1594895119,26,15
1594895661,8,19
1594896780,24,9
1594898168,48,18
1594899256,22,33
1594901856,35,34
1594902857,18,23
1594904000,21,17
1594905922,48,13
1594906461,13,34
1594907922,22,50
1594909235,23,5
1594910057,10,34
1594911407,64,9
1594913118,28,22
1594913657,9,33
1594915703,52,37
1594917596,26,35
1594920114,54,29
1594920842,0,4043
1594922610,4014,0
1594924456,33,36
1594925680,18,7
1594926899,19,23
1594928056,16,41
1594930297,57,35
1594932618,44,39
1594935259,47,50
1594936468,15,16
1594938860,55,50
1594942225,47,59
1594942461,9,0
1594943723,36,12
1594945046,33,21
1594946060,26,21
1594947265,29,11
1594949662,58,103
1594951016,45,8
1594952728,51,28
1594953261,14,35
1594956062,68,34
1594957824,49,63
1594959931,67,23
1594961429,44,58
1594964061,70,40
1594965474,28,24
1594967131,50,25
1594968294,37,38
1594969849,36,40
1594971259,37,34
1594972649,29,39
1594974318,52,30
1594974860,8,28
1594977765,79,41
1594978459,22,32
1594979990,26,32
1594982064,80,35
1594983530,33,39
1594984709,27,0
1594985665,36,42
1594987313,53,24
1594989257,44,26
1594991218,61,37
1594992323,29,1
1594993462,38,34
1594994663,51,32
1594996457,85,35
1594998996,87,38
1595000059,23,21
1595001790,44,30
1595003002,42,2
1595004390,54,77
1595005500,37,23
1595007258,50,29
1595009073,65,33
1595010855,64,42
1595012162,33,12
1595014457,75,69
1595015801,33,33
1595017522,68,31
1595018062,14,25
1595019941,50,30
1595021119,27,4
1595021660,11,27
1595023206,26,44
1595024337,30,7
1595025262,19,32
1595028858,73,65
1595030852,54,40
1595032458,44,39
1595035295,78,50
1595038094,76,79
1595039662,31,37
1595040805,17,16
1595042724,42,46
1595043262,7,40
1595045338,52,52
1595046862,48,32
1595049920,68,37
1595052586,33,63
1595054058,28,29
1595057656,87,64
1595059827,47,38
1595061257,42,39
1595064317,72,42
1595065819,35,44
1595067771,31,46
1595068460,14,37
1595069659,23,19
1595071518,45,20
1595072057,9,22
1595073183,36,12
1595074328,13,20
1595075657,40,32
1595077701,47,29
1595079258,26,21
1595080485,28,88
1595082320,48,218
1595083617,26,44
1595084872,21,45
1595087419,60,40
1595088773,29,24
1595090059,38,37
1595093657,75,71
1595096018,73,23
1595097261,28,24
1595098382,35,24
1595100319,54,27
1595101819,56,53
1595103260,63,25
1595104461,35,24
1595106942,68,44
1595109022,34,46
1595110508,48,36
1595111658,57,7
1595114412,85,48
1595115258,11,47
1595117583,71,42
1595119820,46,63
1595121249,42,42
1595122460,19,50
1595125004,67,38
1595126059,33,35
1595128416,59,49
1595129659,28,38
1595132252,95,48
1595133258,23,40
1595134413,40,18
1595136195,28,18
1595136859,18,41
1595139490,73,47
1595140937,37,54
1595143205,53,44
1595144059,22,41
1595145817,39,46
1595147656,40,38
1595150038,57,39
1595151255,44,89
1595152469,18,16
1595153655,29,29
1595154856,35,47
1595156328,20,62
1595157917,46,5
1595158458,6,33
1595161214,69,57
1595162055,22,54
1595165119,78,92
1595166618,31,94
1595168457,35,39
1595169257,16,44
1595171458,37,54
1595172865,24,48
1595174104,21,24
1595176460,68,81
1595178195,66,56
1595179373,55,0
1595180709,40,65
1595182941,27,47
1595183658,14,52
1595185343,52,57
1595187256,49,57
1595189186,54,49
1595190320,49,4
1595191818,44,68
1595192919,52,24
1595194459,38,37
1595197386,56,50
1595198059,19,24
1595200147,54,63
1595201658,39,38
1595204630,69,45
1595205267,21,57
1595208860,101,84
1595210181,32,18
1595211985,35,21
1595212461,8,37
1595214587,48,42
1595217027,43,40
1595218199,27,41
1595219666,26,30
1595221453,41,31
1595223266,40,27
1595224477,13,10
1595225783,26,25
1595226857,16,50
1595228068,22,15
1595229221,5,28
1595230463,21,45
1595231980,25,43
1595233526,28,2
1595234059,20,46
1595235868,37,62
1595237155,18,3
1595238620,25,43
1595241257,36,60
1595244859,81,106
1595246328,21,45
1595247920,35,5
1595248462,12,22
1595249773,24,21
1595251134,33,24
1595252258,18,48
1595254782,52,38
1595255662,31,39
1595257697,40,46
1595259261,20,38
1595261226,39,52
1595262859,35,27
1595264126,34,13
1595265918,44,45
1595266456,18,43
1595270059,103,97
1595271220,39,26
1595273658,51,115
1595276407,61,58
1595277262,18,23
1595279807,63,40
1595280856,18,64
1595282336,46,49
1595283924,34,3
1595284463,5,53
1595287521,64,53
1595289021,27,45
1595291122,60,24
1595294189,85,80
1595295257,30,49
1595296652,34,20
1595298324,27,28
1595298860,8,38
1595300948,47,77
1595302460,31,47
1595305525,86,48
1595306829,30,42
1595308031,27,37
1595309159,20,4
1595310514,30,55
1595312158,36,33
1595313258,19,35
1595315226,24,41
1595316859,30,25
1595320459,59,93
1595321954,27,27
1595324060,60,45
1595325335,30,28
1595326729,54,16
1595327665,15,45
1595330125,59,59
1595332007,49,45
1595334067,51,17
1595335822,56,54
1595338459,59,51
1595339636,13,18
1595340841,22,17
1595342060,19,30
1595343316,29,7
1595344525,18,21
1595345654,28,39
1595346979,22,31
1595349262,62,105
1595352858,59,60
1595353960,8,15
1595355280,15,43
1595356455,43,38
1595359211,75,58
1595360058,26,64
1595361652,60,72
1595363120,25,0
1595363659,10,44
1595367257,93,71
1595369782,37,52
1595370867,26,53
1595373113,33,49
1595374459,18,41
1595378058,86,98
1595379729,23,45
1595381120,38,0
1595382622,21,46
1595385262,52,50
1595388307,60,41
1595389818,44,68
1595391924,58,31
1595393422,27,48
1595395350,44,18
1595397019,25,30
1595399119,33,22
1595400620,40,38
1595402522,28,14
1595403258,22,35
1595404409,28,17
1595406317,43,29
1595407679,21,34
1595410459,72,50
1595413018,44,39
1595414057,21,38
1595415350,12,15
1595416467,19,20
1595417660,26,34
1595420725,102,38
1595422222,54,45
1595424319,57,22
1595425516,28,49
1595427016,27,28
1595428455,27,29
1595429877,40,13
1595431109,33,27
1595432059,23,33
1595435121,50,57
1595436617,46,71
1595438716,44,35
1595439256,11,36
1595440468,13,41
1595442320,26,25
1595442857,13,28
1595445567,56,45
1595446458,20,46
1595447935,25,28
1595450059,34,48
1595452593,41,55
1595453655,19,38
1595456589,81,31
1595457255,17,37
1595458966,17,29
1595460319,19,1
1595461822,32,90
1595464457,53,87
1595465801,24,12
1595467525,39,33
1595471122,63,75
1595471657,7,47
1595475260,53,91
1595478323,43,42
1595479822,18,48
1595481920,35,31
1595483418,17,47
1595486055,48,60
1595487389,20,10
1595489116,28,19
1595490258,18,37
1595491989,55,32
1595493256,24,57
1595494490,18,10
1595495726,21,35
1595496861,32,38
1595499186,82,30
