DateTime,Entries,UniqueIPs
1594659537,14858,14858
1594661056,14898,14898
1594661656,14875,14875
1594664075,14866,14866
1594665257,14823,14823
1594668860,14725,14725
1594670509,14695,14695
1594671917,14736,14736
1594673418,14686,14686
1594674725,14690,14690
1594676054,14643,14643
1594677768,14609,14609
1594679661,14628,14628
1594681690,14631,14631
1594683259,14623,14623
1594686862,14599,14599
1594688112,14626,14626
1594689479,14616,14616
1594690459,14580,14580
1594692429,14561,14561
1594694058,14537,14537
1594697123,14558,14558
1594697658,14529,14529
1594699165,14499,14499
1594700722,14516,14516
1594702228,14530,14530
1594703738,7967,7967
1594704857,14530,14530
1594707758,14543,14543
1594708862,14509,14509
1594710221,14488,14488
1594711374,14539,14539
1594712060,14504,14504
1594713363,14508,14508
1594714959,14500,14500
1594715659,14471,14471
1594718015,14449,14449
1594719265,14442,14442
1594720645,14439,14439
1594722861,14435,14435
1594725593,14412,14412
1594727420,14341,14341
1594729127,14333,14333
1594730060,14279,14279
1594732644,7967,7967
1594733667,14221,14221
1594735391,14181,14181
1594737258,14108,14108
1594738455,14117,14117
1594739814,14110,14110
1594740937,14075,14075
1594742337,14053,14053
1594744457,14029,14029
1594748058,13921,13921
1594750585,13899,13899
1594751658,13856,13856
1594752758,13867,13867
1594754719,13854,13854
1594756219,13795,13795
1594758861,13753,13753
1594761184,13723,13723
1594762459,13681,13681
1594763648,13687,13687
1594766061,13503,13503
1594769120,13411,13411
1594769658,13355,13355
1594770853,13364,13364
1594772721,13321,13321
1594773260,13274,13274
1594776311,7967,7967
1594777639,13204,13204
1594780458,13142,13142
1594782249,13094,13094
1594784056,13042,13042
1594787663,12958,12958
1594789406,12948,12948
1594791257,12937,12937
1594793043,12881,12881
1594794260,12902,12902
1594795827,12802,12802
1594796980,12769,12769
1594798452,7967,7967
1594800634,12718,12718
1594802058,12676,12676
1594804666,12639,12639
1594806029,12593,12593
1594807437,12482,12482
1594809262,12487,12487
1594810925,12419,12419
1594812240,12442,12442
1594813417,12411,12411
1594815000,12385,12385
1594816971,12372,12372
1594818194,12339,12339
1594820060,12314,12314
1594821580,12280,12280
1594823657,12254,12254
1594826108,12254,12254
1594827258,12229,12229
1594828648,12231,12231
1594830318,12226,12226
1594831817,12175,12175
1594834459,12171,12171
1594835701,12182,12182
1594837375,12171,12171
1594838058,12143,12143
1594839275,12148,12148
1594841658,12131,12131
1594842875,12130,12130
1594844579,7967,7967
1594845260,12129,12129
1594847765,12155,12155
1594848860,12088,12088
1594851448,12079,12079
1594852585,12064,12064
1594855520,12077,12077
1594856060,12040,12040
1594858310,12027,12027
1594859658,12030,12030
1594863259,12019,12019
1594866319,12021,12021
1594867824,11955,11955
1594870461,11942,11942
1594874059,11932,11932
1594875926,11961,11961
1594877126,11986,11986
1594878389,11959,11959
1594879526,11952,11952
1594881259,11922,11922
1594882420,11935,11935
1594883593,11938,11938
1594885663,11938,11938
1594888460,11946,11946
1594890091,7967,7967
1594892065,11905,11905
1594893443,11928,11928
1594895119,11939,11939
1594895661,11928,11928
1594896780,11943,11943
1594898168,11973,11973
1594899256,11962,11962
1594901856,11963,11963
1594902857,11958,11958
1594904000,11962,11962
1594905922,11997,11997
1594906461,11976,11976
1594907922,11948,11948
1594909235,11966,11966
1594910057,11942,11942
1594911407,11997,11997
1594913118,12003,12003
1594913657,11979,11979
1594915703,11994,11994
1594917596,11985,11985
1594920114,12010,12010
1594920842,7967,7967
1594922610,11981,11981
1594924456,11978,11978
1594925680,11989,11989
1594926899,11985,11985
1594928056,11960,11960
1594930297,11982,11982
1594932618,11987,11987
1594935259,11984,11984
1594936468,11983,11983
1594938860,11988,11988
1594942225,11976,11976
1594942461,11985,11985
1594943723,12009,12009
1594945046,12021,12021
1594946060,12026,12026
1594947265,12044,12044
1594949662,11999,11999
1594951016,12036,12036
1594952728,12059,12059
1594953261,12038,12038
1594956062,12072,12072
1594957824,12058,12058
1594959931,12102,12102
1594961429,12088,12088
1594964061,12118,12118
1594965474,12122,12122
1594967131,12147,12147
1594968294,12146,12146
1594969849,12142,12142
1594971259,12145,12145
1594972649,12135,12135
1594974318,12157,12157
1594974860,12137,12137
1594977765,12175,12175
1594978459,12165,12165
1594979990,12159,12159
1594982064,12204,12204
1594983530,12198,12198
1594984709,12225,12225
1594985665,12219,12219
1594987313,12248,12248
1594989257,12266,12266
1594991218,12290,12290
1594992323,12318,12318
1594993462,12322,12322
1594994663,12341,12341
1594996457,12391,12391
1594998996,12440,12440
1595000059,12442,12442
1595001790,12456,12456
1595003002,12496,12496
1595004390,12473,12473
1595005500,12487,12487
1595007258,12508,12508
1595009073,12540,12540
1595010855,12562,12562
1595012162,12583,12583
1595014457,12589,12589
1595015801,12589,12589
1595017522,12626,12626
1595018062,12615,12615
1595019941,12635,12635
1595021119,12658,12658
1595021660,12642,12642
1595023206,12624,12624
1595024337,12647,12647
1595025262,12634,12634
1595028858,12642,12642
1595030852,12656,12656
1595032458,12661,12661
1595035295,12689,12689
1595038094,12686,12686
1595039662,12680,12680
1595040805,12681,12681
1595042724,12677,12677
1595043262,12644,12644
1595045338,12644,12644
1595046862,12660,12660
1595049920,12691,12691
1595052586,12661,12661
1595054058,12660,12660
1595057656,12683,12683
1595059827,12692,12692
1595061257,12695,12695
1595064317,12725,12725
1595065819,12716,12716
1595067771,12701,12701
1595068460,12678,12678
1595069659,12682,12682
1595071518,12707,12707
1595072057,12694,12694
1595073183,12718,12718
1595074328,12711,12711
1595075657,12719,12719
1595077701,12737,12737
1595079258,12742,12742
1595080485,12682,12682
1595082320,12512,12512
1595083617,12494,12494
1595084872,12470,12470
1595087419,12490,12490
1595088773,12495,12495
1595090059,12496,12496
1595093657,12500,12500
1595096018,12550,12550
1595097261,12554,12554
1595098382,12565,12565
1595100319,12592,12592
1595101819,12595,12595
1595103260,12633,12633
1595104461,12644,12644
1595106942,12668,12668
1595109022,12656,12656
1595110508,12668,12668
1595111658,12718,12718
1595114412,12755,12755
1595115258,12719,12719
1595117583,12748,12748
1595119820,12731,12731
1595121249,12731,12731
1595122460,12700,12700
1595125004,12729,12729
1595126059,12727,12727
1595128416,12737,12737
1595129659,12727,12727
1595132252,12774,12774
1595133258,12757,12757
1595134413,12779,12779
1595136195,12789,12789
1595136859,12766,12766
1595139490,12792,12792
1595140937,12775,12775
1595143205,12784,12784
1595144059,12765,12765
1595145817,12758,12758
1595147656,12760,12760
1595150038,12778,12778
1595151255,12733,12733
1595152469,12735,12735
1595153655,12735,12735
1595154856,12723,12723
1595156328,12681,12681
1595157917,12722,12722
1595158458,12695,12695
1595161214,12707,12707
1595162055,12675,12675
1595165119,12661,12661
1595166618,12598,12598
1595168457,12594,12594
1595169257,12566,12566
1595171458,12549,12549
1595172865,12525,12525
1595174104,12522,12522
1595176460,12509,12509
1595178195,12519,12519
1595179373,12574,12574
1595180709,12549,12549
1595182941,12529,12529
1595183658,12491,12491
1595185343,12486,12486
1595187256,12478,12478
1595189186,12483,12483
1595190320,12528,12528
1595191818,12504,12504
1595192919,12532,12532
1595194459,12533,12533
1595197386,12539,12539
1595198059,12534,12534
1595200147,12525,12525
1595201658,12526,12526
1595204630,12550,12550
1595205267,12514,12514
1595208860,12531,12531
1595210181,12545,12545
1595211985,12559,12559
1595212461,12530,12530
1595214587,12536,12536
1595217027,12539,12539
1595218199,12525,12525
1595219666,12521,12521
1595221453,12531,12531
1595223266,12544,12544
1595224477,12547,12547
1595225783,12548,12548
1595226857,12514,12514
1595228068,12521,12521
1595229221,12498,12498
1595230463,12474,12474
1595231980,12456,12456
1595233526,12482,12482
1595234059,12456,12456
1595235868,12431,12431
1595237155,12446,12446
1595238620,12428,12428
1595241257,12404,12404
1595244859,12379,12379
1595246328,12355,12355
1595247920,12385,12385
1595248462,12375,12375
1595249773,12378,12378
1595251134,12387,12387
1595252258,12357,12357
1595254782,12371,12371
1595255662,12363,12363
1595257697,12357,12357
1595259261,12339,12339
1595261226,12326,12326
1595262859,12334,12334
1595264126,12355,12355
1595265918,12354,12354
1595266456,12329,12329
1595270059,12335,12335
1595271220,12348,12348
1595273658,12284,12284
1595276407,12287,12287
1595277262,12282,12282
1595279807,12305,12305
1595280856,12259,12259
1595282336,12256,12256
1595283924,12287,12287
1595284463,12239,12239
1595287521,12250,12250
1595289021,12232,12232
1595291122,12268,12268
1595294189,12273,12273
1595295257,12254,12254
1595296652,12268,12268
1595298324,12267,12267
1595298860,12237,12237
1595300948,12207,12207
1595302460,12191,12191
1595305525,12229,12229
1595306829,12217,12217
1595308031,12207,12207
1595309159,12223,12223
1595310514,12198,12198
1595312158,12201,12201
1595313258,12185,12185
1595315226,12168,12168
1595316859,12173,12173
1595320459,12139,12139
1595321954,12139,12139
1595324060,12154,12154
1595325335,12156,12156
1595326729,12194,12194
1595327665,12164,12164
1595330125,12164,12164
1595332007,12168,12168
1595334067,12202,12202
1595335822,12204,12204
1595338459,12212,12212
1595339636,12207,12207
1595340841,12212,12212
1595342060,12201,12201
1595343316,12223,12223
1595344525,12220,12220
1595345654,12209,12209
1595346979,12200,12200
1595349262,12157,12157
1595352858,12156,12156
1595353960,12149,12149
1595355280,12121,12121
1595356455,12126,12126
1595359211,12143,12143
1595360058,12105,12105
1595361652,12093,12093
1595363120,12118,12118
1595363659,12084,12084
1595367257,12106,12106
1595369782,12091,12091
1595370867,12064,12064
1595373113,12048,12048
1595374459,12025,12025
1595378058,12013,12013
1595379729,11991,11991
1595381120,12029,12029
1595382622,12004,12004
1595385262,12006,12006
1595388307,12025,12025
1595389818,12001,12001
1595391924,12028,12028
1595393422,12007,12007
1595395350,12033,12033
1595397019,12028,12028
1595399119,12039,12039
1595400620,12041,12041
1595402522,12055,12055
1595403258,12042,12042
1595404409,12053,12053
1595406317,12067,12067
1595407679,12054,12054
1595410459,12076,12076
1595413018,12081,12081
1595414057,12064,12064
1595415350,12061,12061
1595416467,12060,12060
1595417660,12052,12052
1595420725,12116,12116
1595422222,12125,12125
1595424319,12160,12160
1595425516,12139,12139
1595427016,12138,12138
1595428455,12136,12136
1595429877,12163,12163
1595431109,12169,12169
1595432059,12159,12159
1595435121,12152,12152
1595436617,12127,12127
1595438716,12136,12136
1595439256,12111,12111
1595440468,12083,12083
1595442320,12084,12084
1595442857,12069,12069
1595445567,12080,12080
1595446458,12054,12054
1595447935,12051,12051
1595450059,12037,12037
1595452593,12023,12023
1595453655,12004,12004
1595456589,12054,12054
1595457255,12034,12034
1595458966,12022,12022
1595460319,12040,12040
1595461822,11982,11982
1595464457,11948,11948
1595465801,11960,11960
1595467525,11966,11966
1595471122,11954,11954
1595471657,11914,11914
1595475260,11876,11876
1595478323,11877,11877
1595479822,11847,11847
1595481920,11851,11851
1595483418,11821,11821
1595486055,11809,11809
1595487389,11819,11819
1595489116,11828,11828
1595490258,11809,11809
1595491989,11832,11832
1595493256,11799,11799
1595494490,11807,11807
1595495726,11793,11793
1595496861,11787,11787
1595499186,11839,11839
