DateTime,AddedIPs,RemovedIPs
1594648498,4,29
1594649606,4,28
1594650863,7,43
1594653755,13,103
1594654471,1,24
1594657370,15,105
1594658069,5,3
1594659551,13,7
1594661067,9,8
1594661667,4,4
1594664085,18,33
1594665267,9,11
1594668872,21,17
1594671930,31,19
1594673430,11,14
1594674738,12,13
1594677781,30,25
1594679671,14,16
1594681706,11,14
1594683271,19,9
1594686873,21,26
1594688127,11,10
1594689498,8,8
1594690469,6,13
1594692444,25,9
1594694070,16,18
1594697134,7,22
1594697670,4,2
1594699178,17,9
1594700734,5,3
1594702240,7,189
1594703752,8,204
1594704867,1,219
1594707768,25,93
1594708875,9,8
1594710230,9,12
1594711390,15,9
1594712071,4,9
1594713376,3,11
1594714972,16,17
1594715674,10,7
1594718033,17,7
1594719281,12,14
1594720667,13,10
1594722871,17,18
1594725612,26,19
1594727433,17,7
1594729146,13,14
1594730072,11,13
1594732655,13,22
1594733679,10,14
1594735416,9,25
1594737268,8,19
1594738492,8,7
1594739828,6,11
1594740948,6,11
1594742353,10,14
1594744466,13,20
1594748067,21,16
1594750604,4,17
1594751669,4,6
1594752769,5,3
1594754730,13,5
1594756231,14,7
1594758872,19,12
1594761205,10,10
1594762470,9,11
1594763661,10,8
1594766071,22,16
1594769133,20,27
1594769671,1,6
1594770873,7,7
1594772730,13,8
1594773269,1,8
1594776325,22,16
1594777652,15,15
1594780469,20,21
1594782268,8,8
1594784069,6,11
1594787676,24,18
1594789422,24,15
1594791268,20,19
1594793059,16,27
1594794270,10,9
1594795837,12,18
1594796989,14,12
1594798464,3,15
1594800646,28,12
1594802070,12,6
1594804688,21,24
1594806040,12,13
1594807454,14,8
1594809276,8,15
1594810967,13,14
1594812260,10,12
1594813429,9,10
1594815016,12,18
1594816984,20,21
1594818215,10,19
1594820070,18,14
1594821592,23,15
1594827269,42,59
1594828660,19,5
1594830329,14,9
1594831830,11,20
1594834471,13,12
1594835712,3,8
1594837390,12,15
1594838068,3,1
1594839284,8,8
1594841668,23,22
1594842885,9,16
1594844596,10,10
1594845272,3,7
1594847786,14,22
1594848871,3,9
1594851460,22,11
1594852594,9,14
1594855532,12,11
1594856071,5,5
1594858320,13,14
1594859668,14,10
1594863271,30,12
1594866331,16,11
1594867837,11,10
1594870471,22,21
1594874072,22,17
1594875939,9,16
1594877139,20,3
1594878404,9,5
1594879537,12,7
1594881271,19,19
1594882431,10,9
1594883605,9,8
1594885686,14,23
1594888471,18,18
1594890123,10,11
1594892078,13,13
1594893457,14,13
1594895131,10,12
1594895671,6,6
1594896797,7,6
1594898188,6,8
1594899269,6,12
1594901867,20,9
1594902870,9,12
1594904011,8,8
1594905935,12,19
1594906474,5,4
1594909253,15,27
1594910067,3,3
1594911428,6,2
1594913128,11,17
1594913669,9,9
1594915713,22,22
1594917611,11,22
1594920126,19,23
1594920853,4,5
1594922631,11,11
1594924466,12,12
1594925689,12,7
1594926914,11,11
1594928067,11,7
1594930316,25,13
1594932631,20,21
1594935269,21,17
1594936478,13,7
1594938871,12,26
1594942253,9,14
1594942473,4,3
1594943739,1,7
1594945057,9,12
1594946076,11,3
1594947276,12,8
1594949676,9,17
1594951028,12,7
1594952742,13,14
1594953273,5,7
1594956078,29,19
1594957838,14,25
1594959942,16,11
1594961448,7,5
1594964072,18,17
1594965540,21,13
1594967147,14,9
1594968377,3,12
1594970348,21,23
1594971273,11,12
1594972667,7,12
1594974333,10,11
1594974872,6,0
1594977774,12,14
1594978471,7,7
1594980055,9,8
1594982074,10,16
1594983540,6,7
1594984719,9,7
1594985677,9,3
1594987348,7,8
1594989271,19,12
1594991233,12,15
1594992332,7,9
1594993473,12,8
1594994682,9,5
1594996469,10,9
1594999014,11,15
1595000068,9,8
1595001809,13,13
1595003012,11,6
1595004407,12,10
1595006301,7,10
1595007269,5,6
1595009084,15,12
1595010865,9,15
1595012181,20,9
1595014468,19,17
1595015835,8,9
1595017535,17,11
1595018076,2,5
1595019951,13,14
1595021130,15,14
1595021670,12,5
1595023615,19,15
1595025272,12,26
1595028870,17,29
1595030863,13,9
1595032468,7,12
1595035309,12,36
1595038109,16,14
1595039672,16,14
1595040821,11,9
1595042736,15,13
1595043274,5,3
1595045357,18,14
1595046874,16,12
1595049933,19,25
1595052596,19,17
1595054067,16,16
1595057666,19,23
1595059839,25,16
1595061267,5,10
1595064327,14,10
1595065831,11,11
1595067780,23,11
1595068472,6,4
1595069669,13,13
1595071528,9,15
1595072066,2,3
1595073195,12,11
1595074341,7,9
1595075667,14,6
1595077710,26,19
1595079269,13,10
1595080495,4,11
1595082331,12,10
1595083640,3,7
1595084881,4,10
1595087429,14,13
1595088787,5,8
1595090070,10,12
1595093667,18,23
1595096030,12,14
1595097272,9,8
1595098398,17,7
1595100330,18,15
1595101829,12,11
1595103274,17,13
1595104472,10,12
1595106962,16,17
1595109032,22,16
1595110524,15,10
1595111670,6,15
1595114425,13,22
1595115268,5,4
1595117595,13,7
1595119833,15,22
1595121264,7,7
1595122473,6,12
1595125021,15,14
1595126073,12,6
1595128430,24,14
1595129672,14,15
1595132264,17,15
1595133268,5,13
1595134424,3,11
1595136206,10,7
1595136870,327,3
1595139504,1875,67
1595140951,989,236
1595143222,395,246
1595144068,5,86
1595145828,13,146
1595147667,8,164
1595150051,18,126
1595151264,3,111
1595152479,8,85
1595153666,12,52
1595154866,13,83
1595156338,11,55
1595157927,13,76
1595158467,5,33
1595161229,11,115
1595162065,5,55
1595165130,11,221
1595166629,3,37
1595168469,2,39
1595169272,4,76
1595171477,7,134
1595172875,11,42
1595174121,7,17
1595176472,19,14
1595178211,42,12
1595179393,13,37
1595180758,7,72
1595182951,10,98
1595183669,4,27
1595185364,13,37
1595187266,10,35
1595189236,21,22
1595190334,12,22
1595191831,15,44
1595192931,7,26
1595194469,11,32
1595197402,18,36
1595198070,4,7
1595200164,47,20
1595201669,29,33
1595204641,21,73
1595205279,4,14
1595208873,20,38
1595210200,17,13
1595212002,16,18
1595212473,5,9
1595214605,17,29
1595217042,21,29
1595218225,12,10
1595219682,10,11
1595221502,20,13
1595223279,17,24
1595224489,9,21
1595225798,9,10
1595226871,9,11
1595228083,22,11
1595229232,12,14
1595230477,9,11
1595231993,28,17
1595233541,18,24
1595234072,4,7
1595235889,22,20
1595237169,11,16
1595238633,20,17
1595241269,19,21
1595244869,38,32
1595246341,6,20
1595247930,6,17
1595248473,7,5
1595249787,13,7
1595251143,10,3
