DateTime,AddedIPs,RemovedIPs
1594451558,6,25
1594453448,5,10
1594455390,8,9
1594457316,6,7
1594459209,11,25
1594461131,9,30
1594463078,6,27
1594464966,11,16
1594466887,8,7
1594468836,5,19
1594470730,9,11
1594472650,7,10
1594474596,7,18
1594478408,10,22
1594480385,5,20
1594482300,1,11
1594484173,3,10
1594486111,9,29
1594488016,6,22
1594489935,8,17
1594493766,8,54
1594495686,8,21
1594497645,7,28
1594499529,10,13
1594501448,8,13
1594503397,8,12
1594505288,7,21
1594507211,10,13
1594509159,10,18
1594511052,11,17
1594512967,7,17
1594514919,3,19
1594516806,5,0
1594518726,6,15
1594520678,7,15
1594522567,8,17
1594524483,7,8
1594526522,7,16
1594528333,7,18
1594530495,7,0
1594532436,9,16
1594534331,6,13
1594536247,8,11
1594538440,12,23
1594540327,4,18
1594542250,8,19
1594544193,7,12
1594546086,6,12
1594549956,4,31
1594551854,6,16
1594553768,7,14
1594555719,7,14
1594557608,9,12
1594559530,14,17
1594561477,16,9
1594563368,10,19
1594565536,10,2
1594567476,2,13
1594569370,6,14
1594571294,3,0
1594573254,4,21
1594575129,2,26
1594577057,6,13
1594579927,9,12
1594581876,15,26
1594583766,8,0
1594585685,7,21
1594587638,8,19
1594589528,19,0
1594591448,15,19
1594593398,3,21
1594595293,7,23
1594597248,7,13
1594599144,8,8
1594601048,19,10
1594602974,11,17
1594604887,17,10
1594606835,16,12
1594608732,10,6
1594610656,8,16
1594612595,9,16
1594614486,8,11
1594616413,16,0
1594618352,7,12
1594620257,4,13
1594622181,6,16
1594624120,8,9
1594626008,7,15
1594627957,5,9
1594631769,13,19
1594633715,6,9
1594635610,10,7
1594637529,11,13
1594639481,13,0
1594641370,14,20
1594643287,11,19
1594645211,20,5
1594647184,12,8
1594649295,14,7
1594651208,14,10
1594653401,2,21
1594655288,3,0
1594657226,19,25
1594659154,8,17
1594661050,15,0
1594662993,16,30
1594664887,8,14
1594666813,20,0
1594668853,16,28
1594670922,17,13
1594672834,10,9
1594674730,17,5
1594676652,15,6
1594678593,17,7
1594680488,7,14
1594682407,7,6
1594684358,12,10
1594686251,8,12
1594688166,4,13
1594690084,6,18
1594692018,5,10
1594693925,8,15
1594696704,6,15
1594698757,9,15
1594700648,4,12
1594702592,9,0
1594704487,8,4
1594706412,7,22
1594709552,4,30
1594711452,9,15
1594713364,16,9
1594715290,4,17
1594717238,7,29
1594719130,11,9
1594721051,12,26
1594723495,16,16
1594725442,10,31
1594727290,6,12
1594729480,10,12
1594731366,19,10
1594733285,15,24
1594735252,18,35
1594737128,22,16
1594741208,15,2
1594743161,16,2
1594745049,12,0
1594746972,10,11
1594748916,11,22
1594750809,5,15
1594752729,10,18
1594754679,13,11
1594756568,12,6
1594758489,6,15
1594760435,14,8
1594762407,11,10
1594764276,14,0
1594766170,13,23
1594768089,5,0
1594770038,12,33
1594772180,7,18
1594774118,5,13
1594776007,9,19
1594777927,6,15
1594779877,9,14
1594781766,17,13
1594789695,9,72
1594791606,7,0
1594793433,11,11
1594795242,12,12
1594797131,11,19
1594799276,11,16
1594801219,13,3
1594803130,3,22
1594805098,10,14
1594806973,15,15
