DateTime,AddedIPs,RemovedIPs
1593820562,42,32
1593824403,25,21
1593826322,48,34
1593828242,0,245
1593830162,283,59
1593834002,66,63
1593837842,42,38
1593843603,39,31
1593845521,25,24
1593849362,18,23
1593851555,5,5099
1593853442,5086,0
1593855361,28,25
1593859202,31,23
1593863044,15,25
1593866882,29,27
1593870722,28,23
1593874562,22,25
1593878405,20,29
1593880322,21,17
1593884402,24,17
1593888245,15,32
1593890162,33,48
1593896162,32,20
1593900003,18,78
1593901922,31,2107
1593903843,2097,0
1593905761,58,23
1593909602,25,21
1593913442,47,33
1593917282,61,50
1593921122,51,61
1593924962,39,48
1593928803,40,36
1593930724,8,4468
1593932881,4466,0
1593934802,26,24
1593938642,26,24
1593942482,16,24
1593948242,26,28
1593950406,15,21
1593952387,24,23
1593956162,18,15
1593958081,16,24
1593963842,23,24
1593969601,23,26
1593971521,21,18
1593975362,21,30
1593979205,35,35
1593981121,2,5538
1593983042,5529,0
1593984961,22,17
1593989042,28,20
1593992881,38,29
1593996722,28,22
1594000564,55,31
1594004408,47,49
1594006321,18,3598
1594008482,3572,0
1594010402,32,36
1594012322,56,26
1594018082,26,23
1594021921,16,16
1594025762,14,31
1594027683,25,21
1594031522,22,16
1594035602,18,27
1594037522,15,31
1594043282,29,28
1594047122,24,22
1594050962,30,55
1594054805,31,27
1594056722,21,34
1594060562,40,27
1594062484,30,29
1594068242,39,25
1594072082,24,29
1594075922,25,19
1594079761,48,34
1594083609,22,27
1594087682,56,41
1594089602,39,51
1594091521,53,59
1594097282,44,44
1594101122,48,33
1594105203,20,24
1594107166,27,16
1594113122,21,31
1594115043,23,27
1594118883,25,23
1594122961,19,23
1594126806,19,27
1594128785,29,25
1594132802,27,17
1594136884,27,27
1594140722,33,24
1594144563,20,29
1594148407,26,31
1594152482,18,17
1594154402,26,35
1594158242,22,30
1594162081,32,23
1594165922,50,30
1594170004,25,30
1594171922,52,43
1594175763,45,55
1594179602,66,60
1594183442,40,36
1594187284,38,39
1594191122,17,24
1594194964,32,22
1594196882,22,32
1594198802,48,47
1594200722,3,4584
1594202642,4592,0
1594204562,23,18
1594208642,26,25
1594214402,19,24
1594216321,33,29
1594220162,30,23
1594224004,20,21
1594225922,16,31
1594230002,32,30
1594231922,18,30
1594237681,25,29
1594241522,22,37
1594245361,31,23
1594251121,27,37
1594253119,100,54
1594258802,62,34
1594262643,38,37
1594266722,52,52
1594272482,42,51
1594274404,42,45
1594276368,24,17
1594280162,30,24
1594284002,22,36
1594287842,20,26
1594293842,20,25
1594295762,25,15
1594299607,19,26
1594301606,26,28
1594305602,29,28
1594309682,28,34
1594313522,32,38
1594317362,32,24
1594323122,14,3680
1594325282,3653,0
1594327201,26,32
1594329122,47,43
1594331042,40,31
1594334881,23,29
1594338721,52,55
1594340642,87,59
1594342562,32,34
1594344482,47,44
1594348374,44,55
1594352402,65,56
1594356242,40,44
1594360082,39,43
1594362003,21,14
1594367762,24,22
1594369682,15,28
1594373523,20,1737
1594375442,1727,24
1594381443,27,27
1594385282,25,30
1594389123,33,30
1594392962,22,32
1594396811,21,24
1594400642,53,40
1594404482,21,33
1594410242,27,29
1594414082,22,22
1594417922,25,28
1594423682,33,38
1594425610,52,33
1594427522,30,33
1594434722,95,85
1594438562,54,60
1594442402,42,41
1594444322,43,34
1594446242,67,77
1594448161,77,67
1594450082,17,28
1594453922,28,25
1594457762,25,28
1594459682,38,52
1594461609,45,27
1594463522,21,1855
1594465442,1833,0
1594467361,32,33
1594471202,23,31
1594473122,31,23
1594475042,0,1
1594476962,1,0
1594478883,30,37
1594482722,26,38
1594486562,36,30
1594490403,35,29
1594492322,0,6060
1594494242,6068,0
1594496162,26,31
1594500001,16,77
1594503842,18,67
1594505762,21,27
1594513442,48,31
1594515362,28,71
1594519203,54,35
1594521122,37,45
1594525202,153,58
1594529043,35,49
1594532882,44,41
1594536723,19,22
1594540562,19,22
1594544404,29,24
1594546392,4,4273
1594548481,4268,0
1594550402,15,22
1594554242,32,32
1594558322,30,25
1594562162,25,36
1594566004,22,27
1594567922,30,31
1594571763,25,35
1594575842,35,22
1594579681,23,30
1594581602,23,30
1594583522,30,23
1594585442,23,30
1594587362,23,33
1594591206,25,26
1594593122,0,5773
1594595282,5775,0
1594597202,51,23
1594601041,28,36
1594604882,63,40
1594606802,49,52
1594612561,55,56
1594616404,38,42
1594620242,36,38
1594622162,23,28
1594626001,24,21
1594629842,27,31
1594633682,19,23
1594637521,20,20
1594641362,22,27
1594645204,26,24
1594647175,26,26
1594651202,28,57
1594655282,40,30
1594659121,31,33
1594662962,51,40
1594666802,30,48
1594668820,44,95
1594670642,68,0
1594672563,24,25
1594676402,41,29
1594678321,24,36
1594684082,48,43
1594687922,39,39
1594691762,52,33
1594695610,48,53
1594697761,57,61
1594701602,42,41
1594707364,46,44
1594709282,30,31
1594713122,32,44
1594716961,47,36
1594720803,23,32
1594725362,26,26
1594727282,25,30
1594731361,37,35
1594735209,36,30
1594737122,26,32
1594741202,31,44
1594745041,34,28
1594748882,27,24
1594752721,27,22
1594756564,21,26
1594760403,21,31
1594762399,26,27
1594764242,27,26
1594766162,55,54
1594772161,51,26
1594774082,24,31
1594777922,54,36
1594781762,40,57
1594785604,57,69
1594789682,39,35
1594791601,36,33
1594795682,27,16
1594799763,31,33
1594803609,25,38
1594805522,7,4578
1594807442,4580,0
1594809364,35,24
1594811282,24,35
1594813202,52,40
1594817042,19,30
1594820882,29,24
1594824722,23,35
1594828563,43,28
1594834322,45,49
1594838401,27,27
1594842243,15,26
1594846082,27,30
1594849922,24,26
1594851842,29,23
1594859522,71,52
1594865282,57,37
1594867201,54,57
1594871043,56,67
1594872962,43,54
1594874882,54,43
1594876802,43,54
1594878722,40,31
1594882562,29,27
1594886404,28,35
1594890482,21,33
1594892402,26,32
1594896242,29,24
1594900082,30,22
1594904161,19,24
1594908242,26,32
1594910164,25,25
1594914003,26,30
1594917844,23,31
1594921682,28,36
1594925522,26,29
1594929362,28,28
1594933203,20,25
1594935122,10,2420
1594937042,2409,0
1594938962,35,37
1594942802,55,30
1594946641,35,30
1594950482,52,35
1594954322,48,58
1594958162,61,67
1594962004,35,46
1594963922,17,3385
1594965842,3375,0
1594967763,28,28
1594971603,34,22
1594975683,23,31
1594979522,24,25
1594983362,20,25
1594987203,26,22
1594989121,15,30
1594992962,27,24
1594996801,23,27
1595000642,29,21
1595004481,31,33
1595010243,46,53
1595017923,14,3822
1595020082,3795,0
1595022002,26,18
1595025842,24,33
1595029682,55,58
1595033521,29,24
1595039617,88,120
1595043362,60,74
1595047202,36,32
1595051042,41,38
1595054882,20,21
1595058722,21,26
1595062562,20,26
1595068322,34,38
1595072161,20,25
1595076002,24,26
1595079843,29,28
1595083684,38,32
1595087522,26,25
1595091361,23,25
1595095205,19,31
1595097122,28,21
1595100962,20,21
1595104802,22,27
1595108642,21,32
1595114401,29,26
1595116322,0,5
1595118242,51,22
1595120162,26,27
1595124004,41,30
1595125922,9,4657
1595128082,4635,0
1595130002,67,74
1595133844,36,37
1595137684,37,34
1595141521,27,21
1595145361,28,22
1595149204,28,23
1595151122,5,3758
1595153042,0,1122
1595154962,4865,6
1595158802,26,17
1595160721,21,29
1595166482,24,28
1595170321,22,27
1595174404,30,36
1595176322,32,28
1595180163,31,24
1595184002,24,31
1595185922,53,47
1595187846,25,18
1595191682,22,20
1595195521,18,32
1595199362,27,41
1595201521,19,3012
1595203683,3020,0
1595205601,28,19
1595209441,46,32
1595211363,39,57
1595217122,60,73
1595222882,97,67
1595226724,22,24
1595230562,29,34
1595232482,33,29
1595240162,23,32
1595242082,21,18
1595245922,26,34
1595249761,23,26
1595251682,26,22
1595255522,3,4902
1595257444,4881,0
1595259362,34,25
1595263201,32,30
1595268961,33,24
1595270882,27,30
1595274722,23,24
1595278562,24,21
1595284321,26,798
1595286482,762,0
1595288402,46,30
1595292242,23,29
1595296322,55,28
1595300162,49,50
1595304012,51,61
1595305922,40,41
1595309762,45,31
1595313602,18,24
1595317442,26,128
1595321282,22,32
1595325122,25,26
1595327041,17,23
1595334722,35,49
1595338802,30,27
1595342642,23,28
1595346483,31,24
1595350322,21,13
1595352242,13,21
1595354162,43,39
1595358009,27,23
1595359922,5,4801
1595362082,4768,0
1595364001,28,30
1595365923,19,24
1595371682,24,19
1595373602,29,42
1595375522,43,25
1595379362,25,21
1595383212,48,29
1595385364,42,53
1595389204,52,64
1595393041,45,46
1595396882,55,37
1595398802,28,17
1595404562,27,32
1595408404,33,32
1595410321,18,429
1595412242,404,0
1595414162,19,20
1595418002,21,24
1595421842,16,23
1595423762,30,24
1595429521,21,19
1595433362,34,26
1595437206,26,18
1595439219,14,2451
1595441072,51,1218
1595442962,3644,55
1595444882,26,26
1595450642,19,27
1595454481,30,25
1595458322,20,18
1595462162,47,30
1595466007,22,25
1595471762,81,85
1595473682,55,55
1595475602,55,55
1595477522,55,55
1595479441,40,43
1595483522,45,29
1595485443,29,45
1595487361,68,51
1595491203,17,23
1595493196,22,40
1595496962,28,24
1595498882,10,27
