DateTime,AddedIPs,RemovedIPs
1594906816,0,25
1594907716,0,19
1594908616,1,1
1594908919,2,0
1594912217,314,1
1594912818,5,0
1594913417,1,0
1594916417,0,1
1594916717,1,2
1594918516,23,0
1594918819,26,0
1594919118,0,3
1594919718,4,0
1594923318,4,0
1594923617,1,0
1594923918,1,0
1594925417,0,31
1594926019,0,24
1594926617,0,49
1594926918,3,0
1594927218,1,25
1594929917,1,0
1594930517,3,0
1594933817,1,0
1594934117,5,0
1594934418,3,0
1594937417,1,0
1594937717,5,0
1594941319,2,0
1594941617,2,0
1594944320,0,1
1594944617,1,0
1594944920,3,0
1594945517,0,1
1594948217,1,0
1594948518,2,0
1594948817,1,0
1594949118,1,0
1594952117,6,0
1594952416,2,0
1594955717,4,0
1594959318,3,0
1594959616,2,0
1594959917,0,1
1594962618,1,0
1594962917,1,0
1594966217,2,0
1594966517,2,0
1594966816,1,0
1594969816,2,0
1594970117,2,0
1594970717,8,0
1594973120,28,0
1594973717,65,0
1594974017,3,0
1594974320,6,0
1594976719,10,1
1594977019,13,0
1594977318,4,0
1594977917,1,0
1594980321,5,1
1594980617,13,0
1594981217,2,0
1594981819,3,0
1594983920,2,0
1594984218,3,0
1594984517,3,0
1594985117,1,0
1594987521,1,1
1594987817,3,0
1594988418,2,0
1594991117,1,0
1594991417,2,0
1594991719,3,0
1594992018,3,0
1594992320,1,0
1594994418,0,25
1594994717,0,1
1594995017,1,1
1594995319,3,0
1594995918,5,0
1594996818,0,50
1594997417,0,74
1594997717,0,84
1594998018,0,50
1594998320,1,0
1594998617,1,0
1594999217,5,0
1594999519,1,0
1595001919,56,0
1595002217,1,0
1595003118,2,0
1595005817,3,0
1595006117,3,0
1595006417,1,0
1595009117,1,0
1595009419,2,0
1595009719,2,0
1595013017,1,0
1595013318,4,0
1595013618,1,0
1595014816,0,2
1595016319,37,0
1595016617,69,0
1595016918,5,0
1595017217,1,0
1595019919,7,0
1595020218,22,0
1595020518,4,0
1595020843,1,0
1595023817,9,0
1595024117,2,0
1595025018,0,1
1595027119,0,2
1595027417,1,0
1595027718,2,0
1595028318,2,0
1595030720,1,0
1595031017,2,0
1595031317,2,0
1595034318,2,0
1595034919,4,0
1595035218,1,0
1595038519,1,0
