DateTime,Entries,UniqueIPs
1572213033,1041,1094
1572214542,1042,1096
1572214837,1043,1097
1572220836,1044,1098
1572222630,1045,1099
1572250833,1042,1096
1572269142,1043,1097
1572288031,1044,1098
1572288341,1046,1100
1572288943,1047,1101
1572289245,1047,1102
1572289842,1048,1103
1572290444,1050,1106
1572291634,1051,1107
1572292235,1052,1108
1572294639,1053,1109
1572295834,1054,1110
1572309328,1055,1111
1572355828,1056,1112
1572364533,1058,1114
1572365129,1059,1115
1572366635,1060,1116
1572366930,1063,1119
1572367234,1064,1120
1572367831,1065,1121
1572368430,1066,1122
1572368729,1067,1123
1572371137,1068,1124
1572372940,1069,1125
1572373529,1070,1126
1572379232,1071,1127
1572381631,1072,1128
1572419726,1073,1129
1572420630,1074,1130
1572421236,1075,1131
1572421534,1075,1132
1572422132,1077,1134
1572422436,1078,1135
1572423327,1079,1136
1572424833,1080,1137
1572425731,1081,1138
1572426630,1082,1139
1572451233,1083,1140
1572459028,1084,1141
1572459627,1085,1142
1572460231,1086,1143
1572460526,1087,1144
1572460829,1088,1145
1572461130,1089,1146
1572461724,1089,1147
1572462035,1090,1148
1572462930,1091,1149
1572465632,1092,1150
1572467130,1093,1151
1572576328,1095,1153
1572576622,1097,1155
1572577224,1097,1156
1572577822,1101,1160
1572578126,1102,1161
1572594625,1103,1162
1572768624,1104,1163
1572777926,1105,1164
1572806430,1106,1165
1572818427,1107,1166
1572963628,1108,1167
1573183822,1109,1168
1573184422,1112,1171
1573185024,1113,1172
1573185626,1114,1173
1573185923,1115,1174
1573187127,1117,1176
1573187427,1118,1177
1573188024,1119,1178
1573188624,1121,1181
1573188925,1122,1182
1573189228,1123,1183
1573194338,1124,1184
1573204224,1125,1185
1573300226,1124,1184
1573309829,1123,1183
1573526722,1125,1185
1573527023,1126,1186
1573527629,1128,1188
1573528225,1128,1189
1573528526,1129,1190
1573530328,1130,1191
1573544123,1131,1192
1573603230,1133,1194
1573603824,1135,1196
1573605027,1137,1198
1573606522,1139,1200
1573609222,1140,1201
1573610426,1142,1203
1573610724,1143,1204
1573611623,1144,1205
1573614323,1145,1206
1573619128,1145,1207
1573997427,1146,1208
1574384122,1146,1209
1574589928,1147,1210
1574673030,1148,1211
1575056725,1149,1212
1575309626,1150,1213
1575575428,1149,1212
1576171828,1150,1213
1576277723,1151,1214
1576281924,1152,1215
1576285821,1153,1216
1576287623,1154,1217
1576290022,1156,1219
1576291524,1157,1220
1576291825,1159,1222
1576299028,1160,1223
1576310124,1161,1224
1576490123,1162,1225
1576583127,1163,1226
1576604426,1164,1227
1576698627,1165,1228
1576892423,1166,1229
1576902623,1167,1230
1576970726,1168,1231
1576971926,1169,1232
1576973421,1170,1234
1576973724,1171,1235
1576995622,1172,1236
1577042423,1173,1237
1577043624,1174,1238
1577044227,1175,1239
1577045425,1176,1240
1577045727,1177,1241
1577046326,1178,1242
1577050824,1179,1243
1577088924,1180,1244
1577094024,1181,1245
1577094623,1182,1246
1577094923,1183,1247
1577097624,1184,1248
1577106031,1185,1249
1577107223,1186,1250
1577110822,1187,1251
1577115024,1188,1252
1577175623,1190,1254
1577176226,1191,1255
1577179824,1193,1257
1577220623,1194,1258
1577222424,1195,1259
1577223323,1196,1260
1577223926,1196,1261
1577224226,1197,1262
1577253921,1197,1263
1577255131,1197,1264
1577255423,1198,1265
1577256624,1199,1266
1577257225,1200,1267
1577260222,1201,1268
1577268324,1202,1269
1577276726,1203,1270
1577355324,1204,1271
1577356227,1205,1272
1577356823,1206,1273
1577357423,1206,1274
1577367323,1206,1275
1577377223,1207,1276
1577493926,1208,1277
1577497222,1209,1278
1577497525,1210,1279
1577498423,1211,1280
1577499622,1211,1281
1577499923,1212,1282
1577500522,1214,1284
1577503525,1215,1285
1577593825,1216,1286
1577664324,1217,1287
1577664924,1218,1288
1578008725,1219,1289
1578151825,1218,1288
1578152124,1216,1286
1578390024,1217,1287
1578502227,1218,1288
1578596722,1219,1289
1578851429,1220,1290
1578996627,1221,1291
1579319426,1222,1292
1579410621,1222,1293
1579533023,1223,1294
1579809925,1224,1295
1579967430,1225,1296
1580086522,1226,1297
1580247927,1227,1298
1580251528,1228,1299
1580701224,1229,1300
1580849130,1230,1301
1581144327,1231,1302
1581148226,1232,1303
1581202523,1233,1304
1581239727,1234,1305
1581259528,1235,1306
1581289526,1236,1307
1581294024,1237,1308
1581295823,1238,1309
1581301223,1239,1310
1581320423,1240,1311
1581335430,1241,1312
1581354027,1240,1311
1581354323,1239,1309
1581354625,1237,1306
1581354925,1233,1302
1581375023,1234,1303
1581381926,1235,1304
1581468023,1236,1305
1581587422,1237,1306
1581594326,1238,1307
1581598223,1239,1308
1581598521,1240,1309
1581619822,1241,1310
1581626726,1242,1311
1581633022,1243,1312
1581769525,1244,1313
1581782428,1245,1314
1581783624,1245,1315
1581855025,1246,1316
1582070428,1246,1315
1582134331,1244,1313
1582137928,1245,1314
1582204530,1246,1315
1582213225,1247,1316
1582236621,1248,1317
