DateTime,AddedIPs,RemovedIPs
1587488669,1024,1024
1587503711,256,256
1587510013,256,256
1587511811,256,256
1587515410,256,256
1587573011,768,768
1587585612,256,256
1587596411,256,256
1587631510,256,256
1587654012,1536,1536
1587673810,256,256
1587681010,256,256
1587742211,1280,1280
1587754813,512,512
1587773710,256,256
1587821411,2048,2048
1587826814,256,256
1587828611,512,512
1587834012,256,256
1587835811,256,256
1587848597,256,256
1587908711,1280,1280
1587912311,256,256
1587929411,512,512
1587940211,256,256
1587951010,512,512
1587961987,256,256
1587997811,1536,1536
1588005138,256,256
1588034015,512,512
1588089614,1536,1536
1588098939,256,256
1588113404,256,256
1588127756,256,256
1588158911,2304,2304
1588161787,256,256
1588173312,768,768
1588174493,512,512
1588181712,256,256
1588188995,512,512
1588203093,512,512
1588259710,1280,1280
1588275911,256,256
1588289410,256,256
1588312817,256,256
1588340710,1280,1280
1588347910,512,512
1588353310,256,256
1588362311,512,512
1588374015,256,256
1588427111,1792,1792
1588431615,768,768
1588433828,256,256
1588440975,256,256
1588448092,768,768
1588455903,256,256
1588463111,256,256
1588496415,256,256
1588514654,2048,2048
1588527911,768,768
1588548611,512,512
1588568418,256,256
1588601711,2560,2560
1588620610,1280,1280
1588628443,256,256
1588636824,256,256
1588669216,256,256
1588689912,1536,1536
1588710612,768,768
1588770911,1024,1024
1588793411,1024,1024
1588804459,512,512
1588864510,1792,1792
1588879811,768,768
1588890862,256,256
1588945511,1280,1280
1588959481,512,512
1588967112,256,256
1588970711,256,256
1589030111,256,256
1589032977,1280,1280
1589039112,256,256
1589045776,256,256
1589053513,512,512
1589125512,1536,1536
1589132072,256,256
1589143026,512,512
1589147111,512,512
1589154311,256,256
1589202013,1792,1792
1589215511,768,768
1589218559,512,512
1589232933,256,256
1589247243,256,256
1589288670,1536,1536
1589304775,256,256
1589319311,256,256
1589334312,256,256
1589373912,1024,1024
1589377513,256,256
1589384711,256,256
1589399112,256,256
1589423673,256,256
1589457625,2304,2304
1589467038,512,512
1589474711,512,512
1589481911,768,768
