DateTime,AddedIPs,RemovedIPs
1594696704,40,73
1594698757,115,8
1594700648,10,13
1594702592,12,16
1594703764,20,44
1594704487,100,16
1594706412,6,7
1594707301,204,0
1594709552,11,19
1594711452,17,12
1594713364,22,11
1594715290,119,7
1594717238,10,0
1594719130,172,12
1594721051,147,6
1594723495,125,13
1594725442,12,19
1594727290,12,10
1594729480,15,18
1594729801,296,0
1594731366,24,12
1594733285,24,21
1594735252,19,18
1594737128,20,16
1594741208,267,19
1594743161,21,2
1594743615,810,878
1594745049,119,23
1594746972,9,13
1594747802,249,0
1594748916,21,18
1594750809,8,12
1594752729,13,11
1594754679,19,25
1594756568,94,14
1594758489,10,24
1594759501,221,0
1594760435,14,11
1594762407,15,15
1594763102,80,0
1594764276,18,17
1594766170,18,20
1594766701,78,0
1594768089,6,14
1594770038,53,11
1594770302,70,0
1594772180,13,16
1594774118,74,2677
1594776007,16,14
1594777685,32,35
1594777927,10,12
1594779877,17,18
1594781526,223,0
1594781766,22,14
1594784702,108,0
1594788302,167,0
1594789208,15,0
1594789695,10,41
1594791606,14,12
1594793433,16,9
1594795242,17,0
1594795502,221,0
1594797131,16,13
1594799276,15,15
1594801219,114,20
1594803130,7,8
1594805098,15,9
1594806973,146,17
1594808885,11,11
1594810842,239,16
1594812726,7,11
1594814648,18,9
1594816597,13,15
1594818504,119,25
1594820702,224,0
1594822362,16,39
1594824251,919,12
1594826172,6,0
1594828088,3,13
1594828802,284,0
1594830011,7,19
1594831949,17,17
1594832402,88,0
1594833878,9,8
1594836002,74,0
1594836760,13,19
1594838648,3,7
1594839603,116,0
1594840573,10,14
1594842516,17,17
1594843202,61,0
1594846328,6,29
1594846803,90,0
1594848282,17,14
1594850175,27,12
1594850403,107,0
1594852326,20,17
1594854169,13,15
1594855689,32,40
1594856196,17,9
1594858151,16,13
1594860038,171,2593
1594863848,22,15
1594864802,221,0
1594865767,14,10
1594867212,56,91
1594867687,16,17
1594869637,7,24
1594871529,17,0
1594873449,114,0
1594874885,18,15
1594875395,15,0
1594876502,291,0
1594877285,15,8
1594879223,15,11
1594880102,124,0
1594882087,13,24
1594883702,111,0
1594884279,12,15
1594886165,12,10
1594888085,11,16
1594890034,18,5
1594890902,277,0
1594891928,10,14
1594893857,10,11
1594895794,15,13
1594897717,8,14
1594898102,276,0
1594899606,6,5
1594901800,18,18
1594903687,11,11
1594905934,140,21
1594907796,148,0
1594909961,24,15
1594912125,26,12
1594912502,272,0
1594914045,11,6
1594916443,872,1723
1594917887,1,12
1594919774,1,18
1594920601,232,0
1594921691,4,6
1594923645,11,11
1594924202,100,0
1594925532,38,5
1594927480,31,10
1594927802,107,0
1594929370,45,12
1594931313,17,0
1594931402,166,0
1594933215,6,4
1594935128,15,17
1594937052,12,29
1594938997,176,21
1594941023,42,49
1594943076,9,9
1594944966,13,13
1594945802,1146,2531
1594946888,21,12
1594948833,24,0
1594950726,16,21
1594952406,37,0
1594952646,16,21
1594953002,314,0
1594956256,29,64
1594956483,12,19
1594958408,27,5
1594960086,20,18
1594960352,23,17
1594962248,233,14
1594964168,28,14
1594966120,26,17
1594968010,362,0
1594969930,10,15
1594971877,11,15
1594973774,12,12
1594974602,228,0
1594975691,8,12
1594977782,7,14
1594979793,19,15
1594981852,7,5
1594984098,165,14
1594986010,26,14
1594987960,430,0
1594989851,7,17
1594991772,27,9
1594993716,348,9
1594995609,19,21
1594997102,117,0
1594997529,17,22
1594999480,9,25
1595000701,123,0
1595001367,41,8
1595003528,39,0
1595004302,114,0
1595005698,41,1
1595007608,24,1
1595007902,113,0
1595008330,796,861
1595009556,16,3
1595011449,15,11
1595011502,95,0
1595013397,21,38
1595017208,29,78
1595019159,235,17
1595022516,17,21
1595024406,17,8
1595026325,97,11
1595028275,119,7
1595029450,41,75
1595030166,17,8
1595032326,5,12
1595034251,116,18
1595036194,21,12
1595037125,37,34
1595038086,141,3488
1595040013,12,17
1595040967,34,0
1595043879,13,12
1595045766,380,28
1595047685,26,25
1595048402,405,0
1595048646,19,38
1595049606,30,23
1595052002,105,0
1595053477,34,51
1595055385,38,24
1595055602,234,0
1595057287,19,8
1595059236,34,13
1595061127,155,9
1595063049,106,7
1595065014,29,4
1595066897,128,20
1595068816,19,7
1595070760,18,16
1595072652,2,19
1595073602,469,0
1595074594,18,8
1595076514,5,6
1595078406,16,22
1595080327,15,20
1595080802,383,0
1595082273,6,19
1595084165,24,16
1595088035,40,40
1595091849,240,32
1595093792,26,33
1595095693,140,22
1595097613,131,14
1595099536,803,798
1595099702,140,0
1595103392,90,18
1595105289,12,30
1595107206,11,35
1595109151,13,21
1595110502,136,0
1595111050,13,17
1595112966,12,22
1595113930,36,0
1595114910,9,21
1595116818,21,14
1595117701,151,3313
1595118726,14,12
1595120677,8,14
1595122565,8,0
1595124518,9,33
1595125451,1148,77
1595128327,10,10
1595129285,29,63
1595130272,16,0
1595132165,9,14
1595133128,214,0
1595134328,15,33
1595136250,8,19
1595138167,10,0
1595139302,242,0
1595141311,13,26
1595143206,3,38
1595145126,5,17
1595148965,89,69
1595151130,223,4
1595155006,8,44
1595156895,8,18
1595158202,183,0
1595158808,18,23
1595160777,6,3
1595162649,4,22
1595164571,8,3
1595165402,150,0
1595166512,6,23
1595168409,4,12
1595170367,14,6
1595172522,1,25
1595172601,200,0
1595174411,6,0
1595178269,3,68
1595180206,92,29
1595182097,129,26
1595184014,10,24
1595185967,9,18
1595187854,118,0
1595189768,15,0
1595191222,839,814
1595191718,186,19
1595193607,21,9
1595195529,43,0
1595197483,29,28
1595199368,638,7
1595201530,36,7
1595202302,295,0
1595202726,37,78
1595203697,43,20
1595205615,42,11
1595205902,77,3495
1595209449,14,17
1595209501,127,0
1595210420,40,0
1595211369,22,14
1595213318,137,0
1595214490,30,0
1595215207,11,13
1595216702,130,0
1595217127,17,13
1595219085,15,19
1595220302,299,0
1595220970,9,16
1595222163,14,28
1595222887,12,6
1595223902,147,0
1595224850,8,11
1595227686,155,0
1595229605,18,13
1595231102,138,0
1595231556,12,10
1595233451,11,0
1595235647,17,6
1595237564,14,8
1595238302,328,0
1595239447,11,0
1595241404,10,0
1595243293,12,7
1595245237,9,27
1595245501,717,0
1595247168,9,0
1595249054,12,10
1595250966,9,0
1595252918,13,15
1595254805,295,0
1595256761,15,4
1595258648,1,13
1595260567,252,3
1595262515,10,6
1595264411,10,0
1595268276,126,13
1595270165,10,11
1595270702,202,0
1595272337,5,9
1595274247,9,9
1595276170,9,30
1595278085,10,0
1595281926,126,30
1595282648,1765,816
1595285764,19,65
1595287687,62,36
1595289648,102,32
1595291529,24,46
1595293202,221,3681
1595295604,20,49
1595296802,137,0
1595297554,14,15
1595299206,66,95
1595299449,17,27
1595300402,130,0
1595303312,15,23
1595304002,115,0
1595306884,20,0
1595307124,26,32
1595307602,108,0
1595309075,7,9
1595310964,10,12
1595311202,563,0
1595312883,13,6
1595314802,124,0
1595316728,7,23
1595318403,133,0
1595320811,13,19
1595324646,12,22
1595325602,285,1
1595326566,6,13
1595328512,14,9
1595329202,109,0
1595330407,7,8
1595332326,17,6
1595334272,12,7
1595336167,12,9
1595336402,276,0
1595338083,11,12
1595340036,19,15
1595341931,128,11
1595343852,15,14
1595345795,2,2
1595347702,131,11
1595349604,124,7
1595351556,10,8
1595353469,7,0
1595354403,248,0
1595355369,10,18
1595359208,12,17
1595361156,33,9
1595362502,234,0
1595363076,17,11
1595364972,23,14
1595366102,112,0
1595366883,8,0
1595368813,19,22
1595369703,97,0
1595370752,33,0
1595372648,20,19
1595373302,96,0
1595373854,875,896
1595374564,34,20
1595376248,38,72
1595376513,29,15
1595378410,14,23
1595380327,10,0
1595380502,903,4315
1595382273,17,26
1595383932,38,0
1595385009,124,17
1595387766,25,64
1595389026,13,13
1595391440,17,15
1595391848,369,20
1595393316,13,0
1595395205,14,25
1595397125,18,11
1595399088,329,11
1595400966,19,13
1595402884,22,0
1595404838,22,3
1595405702,291,0
1595408648,21,14
1595410598,17,0
1595412487,22,11
1595412903,259,0
1595414408,14,8
1595416359,5,14
1595418248,11,8
1595420170,15,20
1595422116,141,8
1595423556,1,0
1595424005,13,12
1595425924,280,6
1595427874,2,17
1595429765,5,7
1595431731,140,12
1595433639,21,1
1595434502,243,0
1595435524,15,2
1595438408,15,12
1595440332,5,7
1595442251,125,8
1595444198,18,0
1595446083,135,10
1595448016,25,28
1595449924,28,16
1595452093,208,21
1595454008,30,7
1595455962,19,14
1595457002,187,0
1595457848,5,38
1595459774,11,17
1595461208,38,0
1595461717,21,30
1595463607,14,28
1595464201,186,3439
1595465526,22,17
1595467476,8,13
1595469365,20,20
1595471286,27,0
1595471402,180,0
1595472730,69,76
1595473265,15,13
1595475124,13,0
1595477291,25,10
1595479212,214,13
1595480421,21,51
1595481163,891,881
1595483048,18,17
1595484980,21,16
1595485802,1132,0
1595486917,16,16
1595488811,15,12
1595490726,13,19
1595492679,8,17
1595494578,168,0
1595496488,18,23
1595496602,222,2
1595498435,22,17
