DateTime,AddedIPs,RemovedIPs
1595091361,16,22
1595091721,4,0
1595092921,2,0
1595094121,2,0
1595094722,2,0
1595095205,16,22
1595095321,2,0
1595095921,4,1
1595096521,2,0
1595097122,20,17
1595097181,0,1
1595097722,4,0
1595098322,2,0
1595098921,1,0
1595100121,1,0
1595100962,13,17
1595101321,0,1
1595101921,2,0
1595102522,5,0
1595103721,6,1
1595104802,17,21
1595104922,5,0
1595105521,0,1
1595106121,1,1
1595106722,2,0
1595107322,3,0
1595107921,5,0
1595108642,21,23
1595109121,1,2
1595110921,1,0
1595111521,3,0
1595111582,1,0
1595112121,3,0
1595113322,5,0
1595113921,2,0
1595114401,20,18
1595115721,3,0
1595116322,0,2
1595116921,1,1
1595118242,41,16
1595119322,1,0
1595120162,21,23
1595120521,3,2
1595121722,2,0
1595122922,4,0
1595124004,36,25
1595124122,1,0
1595124721,1,0
1595125922,9,2259
1595128082,2244,0
1595128921,2,0
1595129521,4,0
1595130002,62,67
1595130121,5,0
1595131321,2,2
1595132521,3,0
1595133844,32,33
1595136216,5,0
1595136781,2,0
1595137684,29,28
1595137921,1,0
1595139121,3,0
1595139772,1,1
1595141521,24,17
1595142121,3,0
1595143322,1,0
1595144521,3,0
1595145361,25,15
1595145721,2,0
1595146921,6,0
1595148121,6,0
1595148721,1,0
1595149204,20,19
1595149322,2,0
1595150521,1,0
1595151122,3,1822
1595151721,1,0
1595153042,1,540
1595153521,1,0
1595153925,1,0
1595154121,6,0
1595154721,6,0
1595154962,2353,4
1595155921,2,0
1595156521,2,0
1595157721,4,0
1595158322,2,0
1595158802,21,15
1595160121,2,0
1595160721,16,23
1595161321,4,0
1595161921,3,0
1595162521,2,0
1595163721,2,0
1595164921,8,0
1595166121,2,0
1595166482,16,21
1595166721,2,0
1595167921,3,0
1595168522,1,0
1595169121,2,0
1595170321,19,19
1595170922,2,1
1595171522,3,0
1595173921,1,0
1595174404,21,22
1595174522,5,0
1595175721,4,2
1595176322,21,18
1595176921,1,0
1595178121,2,3
1595178721,1,0
1595179322,1,0
1595180163,23,19
1595180521,1,0
1595181121,5,0
1595182921,0,1
1595183521,1,0
1595184002,19,23
1595184721,2,0
1595185321,1,0
1595185922,44,40
1595186521,1,0
1595187846,23,10
1595188922,4,0
1595190121,1,0
1595191322,5,0
1595191682,19,15
1595191921,0,1
1595193722,5,0
1595194321,1,0
1595194381,0,1
1595194922,1,0
1595195521,13,26
1595196121,1,0
1595197322,3,1
1595198522,2,0
1595199362,25,29
1595199722,2,0
1595200999,1,1
1595201522,17,1451
1595202122,3,0
1595203683,1460,0
1595204522,3,0
1595205601,19,15
1595206321,3,0
1595208121,1,1
1595209441,40,29
1595210521,3,0
1595211363,38,49
1595211721,3,0
1595212921,2,1
1595214121,2,1
1595215321,1,0
1595216522,5,0
1595217122,58,66
1595217721,1,0
1595218921,2,0
1595220121,2,0
1595220722,1,0
1595221321,1,0
1595222521,2,0
1595222882,86,61
1595223722,0,1
1595223826,1,0
1595224921,4,1
1595226121,1,0
1595226724,24,20
1595227321,2,1
1595227921,1,0
1595229121,2,0
1595229721,3,0
1595230562,21,24
1595232122,2,0
1595232482,25,21
1595233322,3,0
1595233921,1,0
1595234521,1,0
1595235121,1,0
1595235721,0,1
1595237521,1,0
1595239322,1,0
1595239921,1,0
1595240162,19,22
1595240521,4,1
1595241232,1,0
1595242082,16,13
1595242921,3,0
1595244122,1,0
1595245321,2,0
1595245922,23,25
1595247721,1,0
1595248321,2,0
1595248921,2,0
1595249521,1,0
1595249761,19,20
1595250121,2,1
1595250721,1,0
1595251321,0,1
1595251682,17,17
1595251982,1,0
1595254921,1,0
1595255522,5,2381
1595256121,1,2
1595257444,2371,0
1595257922,0,1
1595258521,2,0
1595259362,20,17
1595259721,3,0
1595260921,1,0
1595262122,2,0
1595263201,26,24
1595263322,1,0
1595264521,0,1
1595265121,4,0
1595265587,1,0
1595265721,2,0
1595266921,1,0
1595267522,3,0
1595268961,27,20
1595270882,23,25
1595271121,2,0
1595271722,1,0
1595272322,1,0
1595272921,2,0
1595274722,16,17
1595276521,4,0
1595278562,19,16
1595278922,1,0
