DateTime,AddedIPs,RemovedIPs
1595216135,72,45
1595216855,59,40
1595217127,12,17
1595217576,47,49
1595218296,56,37
1595219085,61,43
1595219735,45,42
1595220246,11,1
1595220456,45,51
1595220970,7,0
1595221175,45,41
1595221691,5,0
1595221894,48,33
1595222616,49,44
1595222887,5,15
1595223335,56,30
1595224055,39,37
1595224850,50,55
1595225495,44,37
1595226215,52,54
1595227175,87,116
1595227686,6,7
1595227895,75,80
1595228616,63,33
1595229335,77,57
1595229605,14,0
1595230055,66,46
1595230775,51,63
1595231556,59,61
1595232215,47,51
1595232935,559,227
1595233451,5,11
1595233655,41,39
1595234376,40,49
1595234886,12,0
1595235096,44,59
1595235647,8,14
1595236056,42,103
1595236776,39,62
1595237564,51,57
1595238216,50,44
1595238936,45,43
1595239447,8,7
1595239896,45,56
1595240615,38,44
1595241404,48,48
1595242055,54,35
1595242775,58,57
1595243293,9,12
1595243496,111,62
1595244215,38,55
1595244935,41,40
1595245237,3,16
1595245655,36,43
1595246375,38,45
1595247168,38,63
1595247815,37,53
1595248536,60,39
1595249054,7,0
1595249255,66,35
1595249529,13,3
1595249976,55,42
1595250695,44,49
1595250966,6,0
1595251415,36,42
1595252135,41,41
1595252918,55,63
1595253576,41,55
1595254295,42,57
1595254805,11,0
1595255016,35,45
1595255975,51,60
1595256761,51,40
1595257416,46,41
1595258136,54,50
1595258648,1,13
1595258855,43,48
1595259575,38,42
1595260296,42,51
1595260567,14,13
1595261015,39,33
1595261735,38,37
1595262515,51,45
1595263176,40,32
1595263895,26,40
1595264166,8,0
1595264411,6,10
1595264615,41,163
1595265394,116,31
1595266056,32,47
1595266776,42,38
1595267495,33,35
1595268276,67,57
1595268935,43,41
1595269656,42,33
1595270165,10,22
1595270376,41,41
1595271096,34,61
1595271816,30,32
1595272337,3,12
1595272536,35,32
1595273255,33,34
1595273974,34,34
1595274247,4,7
1595274696,34,32
1595275655,39,55
1595276170,10,17
1595276376,38,36
1595277096,47,37
1595277815,36,31
1595278085,9,12
1595278535,41,45
1595278812,14,2
1595279256,45,43
1595279975,46,29
1595280696,43,36
1595281415,32,51
1595281926,13,11
1595282136,34,40
1595283095,52,40
1595283816,41,52
1595284535,29,35
1595285255,44,34
1595285764,14,22
1595285976,38,47
1595286695,31,35
1595287416,37,48
1595287687,15,4
1595288135,53,41
1595288855,48,39
1595289648,56,59
1595290296,40,39
1595291015,40,32
1595291529,19,0
1595291738,46,28
1595292455,35,50
1595293175,48,46
1595293689,7,0
1595293895,37,47
1595294614,32,47
1595295335,41,57
1595295604,13,23
1595296056,45,53
1595296776,53,45
1595297554,39,53
1595298215,58,58
1595298935,61,42
1595299449,11,9
1595299654,33,42
1595300376,48,44
1595301096,45,59
1595301815,35,52
1595302536,56,68
1595303312,59,71
1595303975,51,43
1595304695,59,54
1595305415,36,42
1595306135,38,44
1595306855,34,38
1595307124,14,18
1595307575,51,40
1595308356,45,48
1595309077,49,64
1595309735,41,47
1595310456,44,45
1595310964,11,14
1595311175,45,42
1595311895,50,48
1595312615,65,46
1595312883,10,5
1595313336,59,62
1595314055,33,64
1595314776,56,66
1595315495,36,59
1595316215,70,61
1595316728,7,39
1595316935,68,50
1595317656,57,47
1595318375,55,41
1595319096,229,80
1595319816,49,42
1595320536,51,36
1595320811,9,14
1595321256,48,49
1595321975,37,44
1595322695,47,40
1595323210,20,0
1595323415,47,34
1595324136,32,50
1595324646,10,15
1595324856,30,60
1595325576,39,49
1595326295,42,38
1595326566,7,8
1595327016,42,38
1595327735,47,37
1595328512,62,66
1595329176,37,51
1595329895,49,118
1595330407,8,15
1595330615,50,39
1595331335,42,46
1595332055,43,40
1595332326,14,17
1595332775,45,41
1595333496,37,33
1595334272,39,58
1595334936,38,55
1595335656,46,60
1595336167,12,9
1595336375,43,53
1595337095,38,50
1595337876,67,33
1595338083,8,15
1595338536,42,44
1595339256,46,42
1595340036,65,52
1595340696,56,44
1595341416,77,37
1595341931,8,17
1595342135,63,37
1595342856,59,44
1595343577,44,41
1595343852,8,15
1595344296,72,49
1595345014,51,45
1595345795,50,42
1595346455,37,38
1595347175,24,50
1595347702,1,14
1595347896,36,39
1595348615,45,43
1595349336,45,43
1595349604,6,16
1595350055,50,31
1595350775,41,45
1595351556,44,50
1595352216,35,103
1595352484,20,1
1595352732,7,0
1595352936,57,32
1595353469,3,24
1595353655,37,34
1595354436,34,40
1595355095,50,34
1595355369,8,0
1595355815,49,43
1595356536,48,38
1595357254,33,32
1595357976,38,41
1595358695,35,34
1595359208,11,15
1595359416,30,34
1595360135,39,32
1595360855,22,37
1595361156,23,13
1595361576,39,31
1595362295,44,41
1595363076,45,50
1595363735,31,34
1595364456,34,33
1595364972,16,7
1595365595,43,70
1595366375,40,49
1595366883,2,9
1595367151,51,43
1595367816,28,35
1595368535,32,38
1595368813,13,11
1595369256,31,34
1595369975,33,36
1595370752,54,40
1595371415,47,35
1595372135,40,27
1595372648,15,12
1595372855,41,25
1595373576,48,27
1595374295,37,34
1595374564,27,0
1595375016,43,47
1595375735,32,49
1595376513,55,55
1595377176,50,31
1595377896,39,39
1595378410,14,14
1595378615,38,48
1595379336,47,48
1595380056,46,39
1595380327,12,12
1595380775,45,38
1595381495,46,34
1595381769,24,1
1595382273,50,46
1595382936,50,43
1595383925,114,53
1595385009,10,19
1595385335,115,90
1595386054,47,43
1595386775,46,39
1595387495,36,46
1595388215,50,35
1595389026,9,12
1595389176,94,58
1595389896,71,42
1595390615,55,46
1595391440,9,13
1595391815,101,62
1595392535,70,39
1595393316,65,43
1595393975,38,55
1595394695,57,33
1595395205,11,15
1595395415,44,40
1595396136,47,42
1595396411,19,0
1595396856,39,36
1595397125,17,8
1595397575,41,36
1595398296,550,51
1595399088,56,53
1595399735,51,55
1595400456,43,42
1595400966,12,11
1595401176,51,44
1595401896,57,44
1595402615,42,64
1595402884,15,5
1595403336,37,67
1595404056,118,53
1595404838,64,48
1595405495,85,4282
1595406216,58,44
1595406936,50,36
1595407656,39,52
1595408376,39,35
1595408648,16,6
1595409097,57,45
1595409815,46,46
1595410598,62,48
1595411050,12,1
1595411257,47,35
1595411976,43,36
1595412487,14,12
1595412696,44,46
1595413416,50,31
1595414136,37,38
1595414408,14,12
1595414855,75,48
1595415576,78,36
1595416359,148,43
1595417016,51,55
1595417735,33,37
1595418248,9,12
1595418456,50,45
1595419176,52,42
1595419895,46,39
1595420170,12,4
1595420615,40,31
1595421337,53,34
1595422116,57,66
1595422775,44,40
1595423496,45,40
1595424005,7,15
1595424216,46,51
1595424935,36,42
1595425715,45,42
1595425924,19,9
1595426376,52,53
1595427096,42,50
1595427604,1,0
1595427874,37,99
1595428535,44,54
1595429256,38,49
1595429765,6,19
1595429976,45,50
1595430935,46,66
1595431731,58,53
1595432377,35,50
1595433096,28,39
1595433639,17,24
1595433816,31,31
1595434535,36,43
1595435255,28,48
1595435524,16,19
1595435976,42,41
1595436696,35,37
1595437415,26,46
1595438135,28,33
1595438408,13,0
1595439216,58,71
1595439815,29,32
1595440090,3,0
1595440332,19,19
1595440536,46,34
