DateTime,AddedIPs,RemovedIPs
1595001721,1,0
1595002921,2,0
1595004121,1,0
1595005321,3,0
1595006521,2,10
1595007121,1,0
1595007721,1,0
1595008321,3,0
1595008921,2,1
1595010121,5,0
1595010721,2,0
1595011321,1,0
1595012521,7,0
1595013722,3,0
1595014321,2,0
1595014922,1,0
1595016121,3,0
1595016721,6,0
1595017981,2,0
1595018522,2,0
1595019121,0,1
1595019721,1,0
1595022121,1,0
1595023921,3,0
1595024521,1,0
1595025122,2,0
1595025721,2,0
1595026921,5,0
1595028122,1,0
1595030522,1,0
1595031121,3,0
1595033522,3,0
1595034121,4,0
1595034721,1,0
1595035321,2,0
1595036521,5,0
1595037721,2,0
1595038921,5,0
1595039522,3,0
1595040121,5,0
1595040721,2,1
1595041321,6,0
1595042521,2,0
1595043722,6,0
1595044922,2,0
1595046121,4,0
1595047322,5,0
1595048521,1,0
1595049721,7,0
1595050922,7,1
1595052121,3,0
1595053321,2,0
1595054521,4,0
1595055721,4,0
1595056322,18,0
1595056921,3,0
1595057521,2,0
1595058122,4,0
1595059321,7,0
1595060521,3,0
1595061721,3,2
1595062321,3,0
1595062921,2,0
1595063521,6,0
1595064782,4,0
1595065321,2,0
1595065921,1,0
1595066521,10,0
1595067721,2,0
1595068321,10,0
1595068922,5,0
1595070121,4,0
1595070721,2,0
1595071321,3,0
1595072522,3,0
1595073121,2,0
1595073721,1,0
1595074921,1,0
1595075581,3,0
1595076121,0,1
1595076721,3,0
1595077321,2,0
1595077921,1,0
1595079722,2,1
1595080921,2,0
1595082781,2,0
1595083322,1,0
1595084521,1,0
1595085122,3,0
1595086381,0,1
1595086921,1,0
1595087521,1,0
1595089321,1,0
1595089921,1,0
1595090521,2,0
1595091721,4,0
1595092921,2,0
1595094121,2,0
1595094722,2,0
1595095321,2,0
1595095921,4,1
1595096521,2,0
1595097122,2,0
1595097181,0,1
1595097722,4,0
1595098322,1,0
1595098921,1,0
1595100121,1,0
1595101321,0,1
1595101921,2,0
1595102522,5,0
1595103721,6,1
1595104922,5,0
1595105521,0,1
1595106121,1,1
1595106722,2,0
1595107322,3,0
1595107921,5,0
1595108521,2,0
1595109121,1,2
1595110921,1,0
1595111521,3,0
1595111582,1,0
1595112121,3,0
1595113322,5,0
1595113921,2,0
1595115721,3,0
1595116921,1,1
1595118121,1,0
1595119322,1,0
1595119921,3,1
1595120521,0,1
1595121722,2,0
1595122922,4,0
1595124122,1,0
1595124721,1,0
1595127721,2,0
1595128921,2,0
1595129521,4,0
1595130121,5,0
1595131321,2,2
1595132521,3,0
1595133722,1,1
1595136121,5,0
1595136781,2,0
1595137921,1,0
1595139121,3,0
1595139722,1,1
1595142121,3,0
1595143322,1,0
1595144521,3,0
1595145721,2,0
1595146921,6,0
1595148121,6,0
1595148721,1,0
1595149322,2,0
1595151721,1,0
1595152922,1,1
1595153521,1,0
1595154121,6,0
1595154721,6,0
1595154781,3,1
1595155921,2,0
1595156521,2,0
1595157721,4,0
1595158322,2,0
1595160121,2,0
1595161321,4,0
1595161921,3,0
1595162521,2,0
1595163721,2,0
1595164921,8,0
1595166121,2,0
1595166721,2,0
1595167921,3,0
1595168522,1,0
1595169121,2,0
1595170321,4,0
1595170922,2,1
1595171522,3,0
1595173921,1,0
1595174522,5,0
1595175721,4,2
1595176321,1,0
1595176921,1,0
1595178121,2,3
1595178721,1,0
1595179322,1,0
1595180521,1,0
1595181121,5,0
1595182921,0,1
1595183521,1,0
1595184721,2,0
1595185321,1,0
1595185921,2,0
1595186521,1,0
1595187721,1,0
1595188922,4,0
1595190121,1,0
1595191322,5,0
1595191921,0,1
1595193722,5,0
1595194321,1,0
1595194381,0,1
1595194922,1,0
1595196121,1,0
1595197322,3,1
1595198522,2,0
1595199121,1,0
1595199722,1,0
1595200921,1,1
1595201522,2,0
1595202122,3,0
1595203321,1,0
1595204522,3,0
1595206321,3,0
1595208121,1,1
1595209322,2,0
1595210521,3,0
1595211721,3,0
1595212921,2,1
1595214121,1,1
1595215321,1,0
1595216522,5,0
1595217721,1,0
1595218921,2,0
1595220121,2,0
1595220722,1,0
1595222521,2,0
1595223722,0,1
1595224921,4,1
1595226121,1,0
1595226722,4,0
1595227321,2,1
1595227921,1,0
1595229121,2,0
1595229721,3,0
1595232122,2,0
1595233322,3,0
1595233921,1,0
1595234521,1,0
1595235121,1,0
1595235721,0,1
1595237521,1,0
1595239322,1,0
1595239921,1,0
1595240521,4,1
1595242921,3,0
1595244122,1,0
1595245321,2,0
1595247721,1,0
1595248321,3,0
1595248921,2,0
1595249521,1,0
1595250121,2,1
1595250721,1,0
1595251321,0,1
1595251982,1,0
1595254921,1,0
1595255521,1,0
1595256121,1,2
1595257922,0,1
1595258521,2,0
1595259721,3,0
1595260921,1,0
1595262122,2,0
1595263322,1,0
1595264521,0,1
1595265121,4,0
1595265721,2,0
1595266921,1,0
1595267522,3,0
1595268722,4,0
1595271121,2,0
1595271722,1,0
1595272322,1,0
1595272921,2,0
1595276521,4,0
1595278922,1,0
1595280122,1,0
1595281321,3,0
1595283121,2,0
1595283722,1,0
1595284921,1,0
1595285522,2,0
1595288522,3,0
1595289721,16,0
1595290922,4,1
1595292121,3,0
1595293322,2,0
1595294521,2,0
1595296322,2,0
1595296921,2,2
1595298121,5,0
1595299322,2,0
1595300521,3,0
1595301721,2,0
1595302922,4,0
1595303521,1,0
1595304121,3,0
1595305321,4,0
1595306521,2,0
1595307721,1,0
1595308921,1,0
1595310121,1,0
1595311321,1,0
1595313721,3,1
1595314922,2,0
1595316122,1,0
1595317322,1,0
1595317922,2,0
1595318521,1,0
1595319721,2,0
1595320381,1,0
1595321521,1,0
1595322121,1,0
1595322721,3,0
1595323321,1,0
1595324521,9,0
1595325722,1,0
1595327521,2,0
1595327581,1,0
1595328121,7,0
1595328721,1,0
1595330521,2,0
1595331182,2,0
1595333521,1,0
1595334121,1,0
1595335321,2,0
1595337721,2,0
1595338322,1,0
1595338381,1,0
1595340122,1,0
1595341321,1,0
1595343121,1,0
1595344921,4,0
1595345521,1,0
1595347321,7,1
1595347921,1,0
1595348521,1,0
1595349182,1,0
1595349722,3,0
1595350921,1,0
1595352121,3,0
1595352722,3,0
1595353322,3,0
1595354521,3,0
1595355121,1,0
1595355721,2,0
1595356921,2,0
1595357521,2,0
1595358121,1,0
1595359321,4,0
1595360521,1,0
1595361722,5,0
1595362921,4,0
1595364721,2,0
1595366522,4,0
1595367722,3,0
1595368321,7,0
1595368921,5,0
1595370121,3,0
1595371321,7,0
1595371921,1,0
1595372521,3,0
1595373121,2,0
1595373721,6,0
1595374921,5,0
1595376122,7,0
1595377321,3,0
1595379121,1,0
1595379721,2,0
1595380321,2,0
1595382121,6,1
1595383921,3,0
1595385181,3,0
1595386321,5,0
1595386921,5,0
1595388121,2,0
1595389321,2,2
1595390521,9,0
1595391721,9,1
1595392382,3,0
1595394122,4,0
1595395321,1,0
1595396521,5,0
1595397121,3,1
1595397721,4,0
1595398921,7,0
1595400121,1,0
1595400721,2,0
1595401321,3,1
1595402521,3,0
1595404321,6,2
1595404921,2,0
1595405521,5,0
1595406782,2,0
1595407321,2,0
1595408521,6,2
1595409121,16,0
1595409721,4,0
1595411521,2,0
1595412122,4,0
1595412721,1,0
1595413981,7,2
1595416321,11,0
1595416921,13,0
1595417582,1,0
1595418121,7,0
1595418722,1,0
1595419321,5,0
1595420521,4,0
1595421721,10,0
1595422321,5,0
1595424122,1,0
1595424721,3,0
1595425921,4,0
1595426521,4,0
1595427721,3,0
1595428921,4,0
1595429521,2,0
1595430121,2,0
1595430722,4,0
1595431981,4,0
1595432522,6,0
1595433121,2,0
1595433721,6,0
1595434321,1,0
1595434922,4,0
1595435582,2,0
1595436121,2,0
1595437321,3,1
1595437921,3,2
1595438522,2,0
1595439122,1,0
1595439721,2,1
1595440321,2,0
1595441522,8,0
1595442121,2,0
1595443322,6,0
1595443921,7,0
1595444522,3,0
1595446922,6,0
1595447521,2,1
1595448121,1,0
1595448722,1,0
1595449321,3,0
1595450522,1,0
1595451122,1,0
1595451722,4,0
1595452921,6,0
1595453521,1,0
1595454121,2,0
1595454721,1,0
1595455322,1,0
1595455922,5,0
1595457181,3,0
1595457721,4,0
1595458921,3,0
1595460121,3,0
1595462522,4,1
1595463721,2,0
1595464921,5,0
1595466121,7,0
1595467321,0,1
1595468521,4,0
1595469722,3,0
1595470922,2,0
1595472121,3,0
1595472721,1,0
1595473321,2,0
1595474521,7,0
1595475721,2,0
1595476321,7,0
1595478121,8,0
1595479322,1,0
1595479922,10,0
1595480521,6,0
1595481721,5,0
1595482922,3,0
1595483521,1,0
1595484121,3,0
1595485321,2,0
1595486521,3,0
1595487122,1,0
1595487721,3,0
1595488321,2,0
1595488922,5,0
1595490122,1,0
1595491321,5,0
1595492522,2,0
1595493122,3,0
1595493721,2,0
1595494921,2,0
1595495521,4,0
1595496121,6,0
1595496721,1,0
1595497321,2,0
1595498521,3,0
1595499721,4,0
