DateTime,AddedIPs,RemovedIPs
1594530495,47,78
1594532435,44,72
1594534331,37,68
1594536247,61,66
1594538440,73,78
1594540327,44,63
1594542249,51,51
1594544192,54,56
1594546085,38,75
1594548008,48,3033
1594549955,49,53
1594551853,1314,0
1594553768,97,69
1594555718,83,60
1594557607,99,63
1594559529,67,71
1594561476,25,58
1594563367,57,50
1594565535,74,73
1594567475,24,36
1594569369,42,55
1594571292,127,65
1594573253,125,68
1594575128,49,54
1594577055,20,40
1594579054,55,48
1594580972,38,45
1594582805,153,34
1594584756,137,69
1594586645,67,64
1594588569,66,71
1594590510,45,50
1594592408,92,54
1594594324,113,84
1594596278,1205,1
1594598167,83,56
1594600118,56,55
1594602007,55,59
1594603953,67,55
1594605848,80,35
1594607769,50,54
1594609714,38,44
1594611610,81,40
1594613528,53,45
1594615477,77,53
1594617365,69,62
1594619291,56,45
1594621317,60,38
1594623129,65,33
1594625076,40,40
1594626967,118,46
1594628883,60,59
1594630845,68,82
1594632724,40,51
1594634650,49,2890
1594636592,78,52
1594638502,1200,0
1594640406,73,77
1594642359,94,48
1594644246,82,61
1594646176,88,73
1594648109,77,72
1594650006,65,48
1594651923,48,54
1594653851,48,51
1594655762,106,43
1594657711,74,37
1594659605,70,39
1594661557,63,45
1594663445,87,42
1594665367,80,51
1594667312,91,52
1594669214,81,62
1594671130,81,61
1594673049,65,49
1594674991,81,36
1594676886,69,47
1594678804,57,42
1594680758,82,56
1594682646,1044,0
1594684569,70,54
1594686509,55,29
1594688414,80,73
1594690351,36,46
1594692251,39,59
1594694192,51,38
1594696704,63,56
1594698756,47,35
1594700648,53,37
1594702592,58,38
1594704487,52,37
1594706411,52,44
1594708487,49,29
1594710518,77,70
1594712556,78,57
1594714357,93,58
1594716250,52,45
1594718165,75,34
1594720115,40,44
1594722008,56,3158
1594723929,83,70
1594725847,1464,0
1594727764,82,87
1594729681,88,60
1594731875,82,62
1594734015,90,96
1594735957,57,58
1594737845,48,39
1594739766,66,50
1594741716,54,74
1594743611,79,54
1594745526,56,84
1594747474,57,48
1594749364,73,61
1594751285,49,49
1594753231,77,70
1594755123,55,55
1594757046,61,98
1594758990,96,70
1594760890,72,58
1594762838,75,44
1594764731,74,46
1594766648,53,79
1594768594,1281,0
1594770496,53,66
