DateTime,Entries,UniqueIPs
1594530495,6152,6152
1594532435,6124,6124
1594534331,6093,6093
1594536247,6088,6088
1594538440,6083,6083
1594540327,6064,6064
1594542249,6064,6064
1594544192,6062,6062
1594546085,6025,6025
1594548008,3040,3040
1594549955,3036,3036
1594551853,4350,4350
1594553768,4378,4378
1594555718,4401,4401
1594557607,4437,4437
1594559529,4433,4433
1594561476,4400,4400
1594563367,4407,4407
1594565535,4408,4408
1594567475,4396,4396
1594569369,4383,4383
1594571292,4445,4445
1594573253,4502,4502
1594575128,4497,4497
1594577055,4477,4477
1594579054,4484,4484
1594580972,4477,4477
1594582805,4596,4596
1594584756,4664,4664
1594586645,4667,4667
1594588569,4662,4662
1594590510,4657,4657
1594592408,4695,4695
1594594324,4724,4724
1594596278,5928,5928
1594598167,5955,5955
1594600118,5956,5956
1594602007,5952,5952
1594603953,5964,5964
1594605848,6009,6009
1594607769,6005,6005
1594609714,5999,5999
1594611610,6040,6040
1594613528,6048,6048
1594615477,6072,6072
1594617365,6079,6079
1594619291,6090,6090
1594621317,6112,6112
1594623129,6144,6144
1594625076,6144,6144
1594626967,6216,6216
1594628883,6217,6217
1594630845,6203,6203
1594632724,6192,6192
1594634650,3351,3351
1594636592,3377,3377
1594638502,4577,4577
1594640406,4573,4573
1594642359,4619,4619
1594644246,4640,4640
1594646176,4655,4655
1594648109,4660,4660
1594650006,4677,4677
1594651923,4671,4671
1594653851,4668,4668
1594655762,4731,4731
1594657711,4768,4768
1594659605,4799,4799
1594661557,4817,4817
1594663445,4862,4862
1594665367,4891,4891
1594667312,4930,4930
1594669214,4949,4949
1594671130,4969,4969
1594673049,4985,4985
1594674991,5030,5030
1594676886,5052,5052
1594678804,5067,5067
1594680758,5093,5093
1594682646,6137,6137
1594684569,6153,6153
1594686509,6179,6179
1594688414,6186,6186
1594690351,6176,6176
1594692251,6156,6156
1594694192,6169,6169
1594696704,6176,6176
1594698756,6188,6188
1594700648,6204,6204
1594702592,6224,6224
1594704487,6239,6239
1594706411,6247,6247
1594708487,6267,6267
1594710518,6274,6274
1594712556,6295,6295
1594714357,6330,6330
1594716250,6337,6337
1594718165,6378,6378
1594720115,6374,6374
1594722008,3272,3272
1594723929,3285,3285
1594725847,4749,4749
1594727764,4744,4744
1594729681,4772,4772
1594731875,4792,4792
1594734015,4786,4786
1594735957,4785,4785
1594737845,4794,4794
1594739766,4810,4810
1594741716,4790,4790
1594743611,4815,4815
1594745526,4787,4787
1594747474,4796,4796
1594749364,4808,4808
1594751285,4808,4808
1594753231,4815,4815
1594755123,4815,4815
1594757046,4778,4778
1594758990,4804,4804
1594760890,4818,4818
1594762838,4849,4849
1594764731,4877,4877
1594766648,4851,4851
1594768594,6132,6132
1594770496,6119,6119
1594772678,6132,6132
1594774564,6141,6141
1594776481,6150,6150
1594778448,6120,6120
1594780324,6126,6126
1594782247,6136,6136
1594784195,6120,6120
1594786090,6125,6125
1594788013,6117,6117
1594789957,6118,6118
1594791846,6124,6124
1594794118,6127,6127
1594795962,6136,6136
1594797850,6145,6145
1594799801,6105,6105
1594801693,6101,6101
1594803643,6079,6079
1594805530,6081,6081
1594807448,3045,3045
1594809405,3038,3038
1594811300,4382,4382
1594813210,4429,4429
1594815159,4448,4448
1594817049,4459,4459
1594818972,4490,4490
1594820924,4540,4540
1594822811,4581,4581
1594824768,4597,4597
1594826651,4600,4600
1594828633,4625,4625
1594830483,4660,4660
1594832443,4724,4724
1594834328,4767,4767
1594836498,4778,4778
1594838408,4808,4808
1594840360,4811,4811
1594842247,4882,4882
1594844169,4880,4880
1594846114,4913,4913
1594848009,4945,4945
1594849923,4970,4970
1594851882,5012,5012
1594853766,5025,5025
1594855691,6177,6177
1594857637,6194,6194
1594859534,6185,6185
1594861480,6188,6188
1594863373,6212,6212
1594865321,6232,6232
1594867215,6256,6256
1594869130,6267,6267
1594871080,6312,6312
1594872966,6329,6329
1594874890,6368,6368
1594876833,6388,6388
1594878732,6402,6402
1594880650,6430,6430
1594882595,6465,6465
1594884484,6453,6453
1594886439,6439,6439
1594888324,6428,6428
1594890499,6417,6417
1594892406,6443,6443
1594894360,3622,3622
1594896252,3632,3632
1594898171,4926,4926
1594900116,4936,4936
1594902257,4947,4947
1594904165,4970,4970
1594906092,4999,4999
1594908550,5047,5047
1594910676,5069,5069
1594912842,5076,5076
1594914760,5097,5097
1594916890,5093,5093
1594918809,5102,5102
1594920751,5100,5100
1594922645,5100,5100
1594924569,5091,5091
1594926514,5134,5134
1594928435,5173,5173
1594930602,5164,5164
1594932485,5184,5184
1594934677,5200,5200
1594936562,5219,5219
1594938482,5217,5217
1594940453,6350,6350
1594942352,6356,6356
1594944246,6381,6381
1594946167,6392,6392
1594948121,6389,6389
1594950005,6400,6400
1594952173,6435,6435
1594954330,6454,6454
1594956261,6473,6473
1594958198,6501,6501
1594960090,6503,6503
1594962020,6490,6490
1594963956,6499,6499
1594965850,6504,6504
1594967771,6497,6497
1594969718,6498,6498
1594971611,6533,6533
1594973772,6539,6539
1594975689,6556,6556
1594977781,6592,6592
1594979791,6590,6590
1594981850,3209,3209
1594984097,4687,4687
1594986008,4694,4694
1594987958,4731,4731
1594989849,4752,4752
1594991771,4795,4795
1594993715,4825,4825
1594995607,4825,4825
1594997527,4840,4840
1594999478,4858,4858
1595001365,4824,4824
1595003526,4835,4835
1595005696,4842,4842
1595007606,4849,4849
1595009554,4861,4861
1595011447,4838,4838
1595013395,4887,4887
1595015286,4927,4927
1595017206,4938,4938
1595019157,4974,4974
1595021445,4980,4980
1595023249,4989,4989
1595025130,5016,5016
1595027053,6265,6265
1595028995,6277,6277
1595030893,6290,6290
1595032811,6300,6300
1595034763,6308,6308
1595036648,6313,6313
1595038565,6311,6311
1595040485,6306,6306
1595042433,6328,6328
1595044327,6295,6295
1595046253,6317,6317
1595048190,6308,6308
1595050093,6321,6321
1595052042,6323,6323
1595053927,6309,6309
1595055849,6309,6309
1595057792,6317,6317
1595059704,6330,6330
1595061605,6337,6337
1595063557,6355,6355
1595065448,6321,6321
1595067375,3351,3351
1595069311,3325,3325
1595071208,4775,4775
1595073126,4798,4798
1595075071,4821,4821
1595076964,4813,4813
1595078883,4837,4837
1595080831,4855,4855
1595082723,4881,4881
1595084646,4880,4880
1595086590,4868,4868
1595088487,4873,4873
1595090404,4885,4885
1595092354,4913,4913
1595094245,4931,4931
1595096197,4937,4937
1595098115,4961,4961
1595100007,4948,4948
1595101952,4965,4965
1595103848,4952,4952
1595105762,4958,4958
1595107721,4957,4957
1595109610,4976,4976
1595111528,4933,4933
1595113472,6225,6225
1595115377,6261,6261
1595117286,6251,6251
1595119233,6291,6291
1595121128,6422,6422
1595123046,6416,6416
1595124963,6404,6404
1595126886,6394,6394
1595128829,6373,6373
1595130725,6413,6413
1595132650,6424,6424
1595134587,6453,6453
1595136485,6440,6440
1595138439,6444,6444
1595140388,6447,6447
1595142253,6478,6478
1595144193,6461,6461
1595146089,6426,6426
1595148005,6410,6410
1595149951,6383,6383
1595151844,6386,6386
1595153762,3261,3261
1595155712,3286,3286
1595157602,4644,4644
1595159523,4668,4668
1595161473,4692,4692
1595163363,4715,4715
1595165283,4702,4702
1595167241,4694,4694
1595169129,4674,4674
1595171156,4804,4804
1595172968,4838,4838
1595174917,4825,4825
1595176809,4770,4770
1595178762,4736,4736
1595180645,4768,4768
1595182563,4906,4906
1595184512,4930,4930
1595186409,4942,4942
1595188326,4932,4932
1595190275,4913,4913
1595192161,4991,4991
1595194081,5077,5077
1595196034,5136,5136
1595197928,5150,5150
1595199847,6295,6295
1595201794,6295,6295
1595203697,6357,6357
1595205615,6410,6410
1595207558,6412,6412
1595209449,6407,6407
1595211369,6399,6399
1595213317,6441,6441
1595215207,6502,6502
1595217127,6530,6530
1595219085,6515,6515
1595220969,6509,6509
1595222886,6535,6535
1595224849,6607,6607
1595226818,6631,6631
1595228679,6626,6626
1595230567,6623,6623
1595232491,6619,6619
1595234436,6614,6614
1595236328,6640,6640
1595238277,6661,6661
1595240166,3592,3592
1595242114,3578,3578
1595244010,4964,4964
1595245927,5007,5007
1595247879,5085,5085
1595249764,5058,5058
1595251691,5072,5072
1595253642,5080,5080
1595255533,5113,5113
1595257484,5174,5174
1595259367,5179,5179
1595261291,5160,5160
1595263239,5170,5170
1595265137,5185,5185
1595267050,5200,5200
1595268994,5275,5275
1595270886,5269,5269
1595272810,5284,5284
1595274753,5306,5306
1595276652,5339,5339
1595278592,5375,5375
1595280484,5430,5430
1595282415,5422,5422
1595284323,5411,5411
1595286496,6593,6593
1595288411,6593,6593
1595290361,6641,6641
1595292248,6620,6620
1595294411,6601,6601
1595296329,6608,6608
1595298277,6611,6611
1595300166,6633,6633
1595302086,6644,6644
1595304044,6631,6631
1595305928,6624,6624
1595307858,6625,6625
1595309795,6620,6620
1595311696,6644,6644
1595313608,6658,6658
1595315556,6657,6657
1595317447,6669,6669
1595319367,6692,6692
1595321313,6674,6674
1595323212,6706,6706
1595326096,3284,3284
1595328006,3295,3295
1595329956,4877,4877
1595331844,4877,4877
1595333766,4857,4857
1595335707,4861,4861
1595337605,4894,4894
1595339524,4943,4943
1595341475,4988,4988
1595343363,4934,4934
1595345533,4886,4886
1595347445,4916,4916
1595349399,4949,4949
1595351289,4964,4964
1595353210,4937,4937
1595355152,4887,4887
1595357045,4892,4892
1595358964,4905,4905
1595360912,4970,4970
1595362802,5012,5012
1595364725,5004,5004
1595366647,4984,4984
1595368593,5001,5001
1595370480,5001,5001
1595372418,6412,6412
1595374351,6427,6427
1595376250,6391,6391
1595378165,6365,6365
1595380119,6376,6376
1595382006,6408,6408
1595383962,6445,6445
1595385854,6440,6440
1595387782,6361,6361
1595389697,6368,6368
1595392179,6398,6398
1595394047,6437,6437
1595395925,6430,6430
1595398090,6407,6407
1595400009,6415,6415
1595401953,6425,6425
1595403843,6464,6464
1595405768,6510,6510
1595407713,6515,6515
1595409605,6478,6478
1595411525,6492,6492
1595413475,3392,3392
1595415364,3422,3422
1595417286,4791,4791
1595419232,4757,4757
1595421123,4763,4763
1595423369,4789,4789
1595425207,4828,4828
1595427156,4890,4890
1595429048,4897,4897
1595431011,4899,4899
1595432886,4897,4897
1595434803,4921,4921
1595436751,4969,4969
1595438645,4998,4998
1595440588,5046,5046
1595442484,5014,5014
1595444402,5041,5041
1595446351,5056,5056
1595448245,5074,5074
1595450193,5103,5103
1595452091,5122,5122
1595454005,5131,5131
1595455960,5148,5148
1595457848,5160,5160
1595459774,6335,6335
1595461717,6341,6341
1595463607,6322,6322
1595465526,6342,6342
1595467476,6376,6376
1595469365,6389,6389
1595471285,6400,6400
1595473264,6399,6399
1595475124,6392,6392
1595477291,6402,6402
1595479212,6429,6429
1595481157,6446,6446
1595483047,6457,6457
1595484979,6450,6450
1595486917,6444,6444
1595488810,6442,6442
1595490725,6435,6435
1595492678,6453,6453
1595494577,6490,6490
1595496487,6475,6475
1595498434,3286,3286
