DateTime,Entries,UniqueIPs
1594596601,7650,7650
1594598401,7633,7633
1594600202,7677,7677
1594602001,8587,8587
1594603801,8457,8457
1594605601,8269,8269
1594607401,8110,8110
1594609201,8313,8313
1594611001,8563,8563
1594612802,8234,8234
1594614602,8020,8020
1594616402,7918,7918
1594618201,8272,8272
1594620001,8032,8032
1594621801,8041,8041
1594623601,8348,8348
1594625401,9094,9094
1594627202,9666,9666
1594629002,10730,10730
1594630802,11155,11155
1594632601,11390,11390
1594634401,11928,11928
1594636203,12314,12314
1594638002,12733,12733
1594639802,13270,13270
1594641602,13891,13891
1594643401,13949,13949
1594645202,13340,13340
1594647002,12995,12995
1594648801,13054,13054
1594650603,13151,13151
1594652402,12957,12957
1594654202,12225,12225
1594656002,12322,12322
1594657802,12379,12379
1594659602,12448,12448
1594661401,11788,11788
1594663202,11634,11634
1594665001,11739,11739
1594666801,11785,11785
1594668601,11195,11195
1594670401,10878,10878
1594672201,9943,9943
1594674002,9186,9186
1594675801,8873,8873
1594677602,8437,8437
1594679401,7924,7924
1594681201,7529,7529
1594683001,7069,7069
1594684801,6338,6338
1594686601,5729,5729
1594688402,5577,5577
1594690201,5422,5422
1594692001,5332,5332
1594693801,5152,5152
1594695601,5078,5078
1594697401,5035,5035
1594699201,5144,5144
1594701002,5073,5073
1594702801,5023,5023
1594704601,5009,5009
1594706401,5032,5032
1594708201,5045,5045
1594710001,5094,5094
1594711801,5045,5045
1594713602,5051,5051
1594715401,5116,5116
1594717201,5239,5239
1594719001,5365,5365
1594720802,5524,5524
1594722602,5478,5478
1594724401,5558,5558
1594726201,5627,5627
1594728001,5747,5747
1594729802,12073,12073
1594731602,14434,14434
1594733402,15450,15450
1594735202,16331,16331
1594737003,17767,17767
1594738802,18359,18359
1594740603,18526,18526
1594742403,18395,18395
1594744202,18401,18401
1594746003,18706,18706
1594747803,19214,19214
1594749603,19717,19717
1594751404,21778,21778
1594753204,19354,19354
1594755004,16114,16114
1594756804,12872,12872
1594758604,11667,11667
1594760404,11224,11224
1594762205,9882,9882
1594764005,10003,10003
1594765804,10146,10146
1594767605,10308,10308
1594769405,9982,9982
1594771206,8469,8469
1594773006,5999,5999
1594774805,4939,4939
1594776605,4850,4850
1594778407,4252,4252
1594780207,4001,4001
1594782006,3968,3968
1594783806,3790,3790
1594785606,3408,3408
1594787406,3335,3335
1594789206,3270,3270
1594791007,3128,3128
1594792807,2858,2858
1594794607,2876,2876
1594796408,2905,2905
1594798208,3088,3088
1594800006,3374,3374
1594801807,3379,3379
1594803606,3263,3263
1594805405,3294,3294
