DateTime,AddedIPs,RemovedIPs
1595054521,32,67
1595055721,29,0
1595056921,30,42
1595057521,13,0
1595058122,4,0
1595059321,22,37
1595060521,27,31
1595061721,15,24
1595062321,24,0
1595062921,19,25
1595063521,10,33
1595064721,42,21
1595065321,9,6
1595065921,15,0
1595066521,29,31
1595067721,18,64
1595068321,18,0
1595068922,24,18
1595069521,20,0
1595070121,15,11
1595070721,20,18
1595071321,21,0
1595072522,17,56
1595073121,18,17
1595073721,24,13
1595074921,35,26
1595076121,29,16
1595076721,14,0
1595077321,17,0
1595078522,14,45
1595079722,23,31
1595080921,20,24
1595081521,16,18
1595082721,26,26
1595083322,7,0
1595084521,7,25
1595085122,13,16
1595086321,21,43
1595086921,23,0
1595088121,25,66
1595088721,8,0
1595089321,23,44
1595089921,9,0
1595090521,13,0
1595091721,6,17
1595092921,21,19
1595094121,17,48
1595094722,24,20
1595095321,16,29
1595095921,25,16
1595096521,22,0
1595097122,19,25
1595097722,29,13
1595098322,11,0
1595098921,2,12
1595100121,9,0
1595101321,22,76
1595101921,20,0
1595102522,19,0
1595103721,17,67
1595104922,22,12
1595106121,9,11
1595106722,19,64
1595107322,23,0
1595107921,17,0
1595108521,20,0
1595109721,28,21
1595110921,15,26
1595111521,26,0
1595112121,7,15
1595113322,10,25
1595113921,20,38
1595114521,14,0
1595115721,27,4
1595116321,9,12
1595116921,14,0
1595118121,16,65
1595119322,15,30
1595120521,19,33
1595121121,20,12
1595122321,21,18
1595122922,15,0
1595124122,19,32
1595125321,11,36
1595125922,22,0
1595127121,10,34
1595127721,13,34
1595128921,20,17
1595129521,21,0
1595130121,18,0
1595131321,20,12
1595132521,11,24
1595133121,16,29
1595134321,9,23
1595134922,13,32
1595136121,17,12
1595136721,11,0
1595137322,20,13
1595138522,14,36
1595139121,35,0
1595139722,12,21
1595140321,9,0
1595140921,12,27
1595142121,10,23
1595142722,13,0
1595143922,21,20
1595144521,27,12
1595145121,11,0
1595145721,23,37
1595146921,16,0
1595148121,19,22
1595148721,20,41
1595149322,7,39
1595150521,16,17
1595151721,28,3
1595152321,8,25
1595152922,14,0
1595153521,20,20
1595154121,46,0
1595154721,21,18
1595155321,7,38
1595155921,9,26
1595156521,2,39
1595157721,14,22
1595158322,20,41
1595158921,27,0
1595160121,44,31
1595161321,43,13
1595161921,23,0
1595162521,16,51
1595163122,15,39
1595164321,23,0
1595164921,17,0
1595166121,27,15
1595166721,22,22
1595167921,27,20
1595168522,38,0
1595169121,17,16
1595170321,16,21
1595170922,11,13
1595171522,6,32
1595172722,31,25
1595173921,20,37
1595174522,24,19
1595175121,31,0
1595175721,33,18
1595176321,17,15
1595176921,15,30
1595177521,9,0
1595178121,9,0
1595178721,9,38
1595179322,12,0
1595180521,14,40
1595181121,25,0
1595181721,17,7
1595182921,13,32
1595183521,20,21
1595184121,10,9
1595184721,19,11
1595185321,19,3
1595185921,14,10
1595186521,16,0
1595187721,16,39
1595188922,24,44
1595190121,16,0
1595191322,20,27
1595191921,6,25
1595193722,19,68
1595194321,29,0
1595194922,26,37
1595195521,18,0
1595196121,21,0
1595197322,17,33
1595197921,14,0
1595198522,4,22
1595199722,16,0
1595200921,16,63
1595201522,25,0
1595202122,22,0
1595203321,26,42
1595204522,20,0
1595205721,14,18
1595206921,15,18
1595208121,23,0
1595209322,17,36
1595210521,29,42
1595211721,18,0
1595212921,15,28
1595214121,16,18
1595215321,23,0
1595216522,15,38
1595217721,18,0
1595218921,13,26
1595220121,20,0
1595220722,21,13
1595221321,16,5
1595222521,25,8
1595223722,21,28
1595224321,24,20
1595226121,20,53
1595226722,19,14
1595227321,20,0
1595228521,8,31
1595229121,25,7
1595229721,20,29
1595230921,18,16
1595232122,27,24
1595233322,19,34
1595233921,16,0
1595234521,21,14
1595235121,31,0
1595235721,16,34
1595236922,34,0
1595237521,27,18
1595238122,17,16
1595239322,18,47
1595239921,5,35
1595240521,14,0
1595241122,15,44
1595242322,27,2
1595242921,16,0
1595244122,21,54
1595245321,25,22
1595245921,21,25
1595246522,14,24
1595247121,18,0
1595248321,23,39
1595248921,26,19
1595249521,13,0
1595250121,11,19
1595250721,5,0
1595251321,15,12
1595252521,28,56
1595253121,20,0
1595253721,17,12
1595254321,29,0
1595254921,11,56
1595255521,26,0
1595256121,12,8
1595256721,13,0
1595257922,14,14
1595258521,35,14
1595259721,21,22
1595260921,15,22
1595262122,17,88
1595263322,20,21
1595264521,23,14
1595265121,17,20
1595265721,31,0
1595266921,19,41
1595267522,30,14
1595268722,17,23
1595269922,20,35
1595271121,13,31
1595271722,6,0
1595272322,18,14
1595272921,20,49
1595274121,22,0
1595275321,38,17
1595276521,23,39
1595277721,16,0
1595278922,17,8
1595280122,22,27
1595281321,25,36
1595282521,7,48
1595283121,10,27
1595283722,7,0
1595284921,14,41
1595285522,14,7
1595287322,27,0
1595288522,25,74
1595289121,17,0
1595290922,24,39
1595292121,23,50
1595293322,21,0
1595294521,29,18
1595295121,22,41
1595296322,25,0
1595296921,19,0
1595298121,12,61
1595299322,17,0
1595300521,30,7
1595301721,35,40
1595302321,29,17
1595303521,26,0
1595304121,17,0
1595305321,19,26
1595306521,17,9
1595307721,30,79
1595308921,22,11
1595310121,18,30
1595311321,23,0
1595311921,11,17
1595313121,29,14
1595313721,19,0
1595314922,15,41
1595316122,28,54
1595316721,17,37
1595317922,28,0
1595318521,8,27
1595319721,18,0
1595320921,25,16
1595321521,22,51
1595322121,29,0
1595322721,44,24
1595323321,10,0
1595324521,24,64
1595325722,15,37
1595326321,10,0
1595326921,20,18
1595327521,28,0
1595328121,23,0
1595329321,26,35
1595330521,21,39
1595331121,20,0
1595331722,16,13
1595332321,21,0
1595332921,30,21
1595333521,13,14
1595334121,24,0
1595335321,26,26
1595336521,15,17
1595337721,17,71
1595338322,16,0
1595339521,5,40
1595340122,19,20
1595341321,25,52
1595341922,10,14
1595342522,7,6
1595343721,17,31
1595344321,12,0
1595344921,20,34
1595345521,24,24
1595346122,14,0
1595347321,11,43
1595347921,30,0
1595348521,19,0
1595349722,18,9
1595350321,10,9
1595350921,16,13
1595352121,14,56
1595352722,28,0
1595353922,21,35
1595354521,29,0
1595355121,22,0
1595355721,14,22
1595357521,12,0
1595358121,10,44
1595359321,25,42
1595360521,28,0
1595361722,26,65
1595362921,32,0
1595363521,14,12
1595364721,18,16
1595365322,20,21
1595366522,34,0
1595367722,23,16
1595368321,39,11
1595368921,22,8
1595370121,24,6
1595371321,13,10
1595371921,10,14
1595372521,15,0
1595373721,28,36
1595374921,25,0
1595376122,19,19
1595377321,28,33
1595378521,6,0
1595379721,24,28
1595380321,8,38
1595380921,23,0
1595382121,36,0
1595383921,33,40
