DateTime,AddedIPs,RemovedIPs
1594932121,3,0
1594933322,0,3
1594933921,3,0
1594934521,4,2
1594935721,4,2
1594936921,5,3
1594937521,2,2
1594938721,8,4
1594939321,1,0
1594940521,1,3
1594941721,3,6
1594942922,1,0
1594943522,1,3
1594944121,1,0
1594944722,1,0
1594945321,0,4
1594946521,1,5
1594947721,0,4
1594948921,3,0
1594950722,3,2
1594951921,2,4
1594952521,1,0
1594953121,0,1
1594953721,0,4
1594954921,2,0
1594955521,0,2
1594956721,1,0
1594957321,0,2
1594959121,2,0
1594960322,0,2
1594960921,0,1
1594962122,2,0
1594962721,0,2
1594964521,2,1
1594965721,2,1
1594966921,0,1
1594967521,1,3
1594968721,0,4
1594971722,0,1
1594972321,1,5
1594973521,3,4
1594974122,1,0
1594974721,1,5
1594975322,1,1
1594975922,3,0
1594977122,1,5
1594977721,1,2
1594978921,2,1
1594980121,1,0
1594981321,1,6
1594982522,1,17
1594983121,3,0
1594986122,1,1
1594988521,1,1
1594989721,1,1
1594990921,1,0
1594992121,0,3
1594993321,1,0
1594995122,6,3
1594996921,3,0
1594997522,0,4
1594998121,6,0
1594998721,1,3
1594999321,8,2
1595001121,0,6
1595001721,1,0
1595002321,2,2
1595004121,3,0
1595005321,0,1
1595006521,2,0
1595007121,1,0
1595007721,0,2
1595008321,1,0
1595008921,1,6
1595010121,0,2
1595010721,1,0
1595011321,1,1
1595012521,0,1
1595013721,0,2
1595014321,1,2
1595014922,2,0
1595016121,2,7
1595017322,1,0
1595017921,1,0
1595018522,0,1
1595019121,3,0
1595024521,4,8
1595025122,2,2
1595025721,5,0
1595026921,2,1
1595027521,0,2
1595028122,3,3
1595029321,2,2
1595029921,1,0
1595030522,1,3
1595032321,2,3
1595033522,3,1
1595034121,4,0
1595034721,1,3
1595035321,2,1
1595036521,6,4
1595037721,2,0
1595038921,2,5
1595039522,4,3
1595040721,4,2
1595041321,3,2
1595042521,3,0
1595043722,5,2
1595044922,1,2
1595046121,3,3
1595047322,5,0
1595048521,0,2
1595049721,9,0
1595050922,7,1
1595052121,5,1
1595053321,1,0
1595054521,1,10
1595055721,3,0
1595056322,59,1
1595058122,3,2
1595059321,2,3
1595060521,3,3
1595061721,3,0
1595062321,1,4
1595062921,2,0
1595063521,6,1
1595064721,1,3
1595065921,7,3
1595066521,4,0
1595067122,2,4
1595068321,9,2
1595068922,3,0
1595070121,2,1
1595070721,0,3
1595071321,1,0
1595072522,3,9
1595073121,0,1
1595074322,0,8
1595074921,1,0
1595076721,2,0
1595077921,1,9
1595078522,0,5
1595079122,2,4
1595079722,0,2
1595080921,0,4
1595082721,2,2
1595083921,0,3
1595084521,2,0
1595085121,2,2
1595087521,1,4
1595088121,0,10
1595089321,2,3
1595089921,3,0
1595091721,7,1
1595092321,0,1
1595093521,4,3
1595095321,0,1
1595095921,1,2
1595097122,0,4
1595098921,1,1
1595100121,0,4
1595101321,2,0
1595101921,2,1
1595103721,3,3
1595104922,2,2
1595105521,0,2
1595106121,2,3
1595106722,2,0
1595107322,3,0
1595107921,1,3
1595109121,1,0
1595110921,2,5
1595111521,1,0
1595112721,0,2
1595113321,4,0
1595113921,0,3
1595114521,0,2
1595115721,3,0
1595116921,2,2
1595118121,2,4
1595118722,3,4
1595119921,3,0
1595120521,0,1
1595121722,1,0
