DateTime,AddedIPs,RemovedIPs
1590905194,1,0
1590909194,3,0
1590912917,1,0
1590949275,2,0
1590963247,2,0
1590970756,1,0
1590988170,1,0
1591001213,2,0
1591020046,1,0
1591023812,2,0
1591031582,2,0
1591039115,1,0
1591062023,2,0
1591074332,2,0
1591084248,2,0
1591104328,44,0
1591108230,2,0
1591130547,2,0
1591160484,1,0
1591168075,3,0
1591187691,1,0
1591191827,2,0
1591197746,3,0
1591205292,1,0
1591219249,3,0
1591229369,2,0
1591237092,2,0
1591244818,2,0
1591267988,1,0
1591280065,1,0
1591284111,2,0
1591292293,2,0
1591300024,1,0
1591317971,1,0
1591356990,1,0
1591364961,1,0
1591380485,1,0
1591388214,4,0
1591403784,2,0
1591429980,3,0
1591437968,1,0
1591453634,1,0
1591477174,7,0
1591481065,2,0
1591484974,1,0
1591493034,5,0
1591500902,2,0
1591520730,2,0
1591524647,1,0
1591542997,2,0
1591561140,1,0
1591568932,2,0
1591576955,1,0
1591735168,9,121
1591735468,0,467
1591743861,3,0
1591747751,1,0
1591754057,1,0
1591761852,2,0
1591765904,1,0
1591769798,3,0
1591773684,1,0
1591789219,1,0
1591797249,1,0
1591812766,2,0
1591828290,1,0
1591832157,1,0
1591839992,1,0
1591855614,3,0
1591873166,1,0
1591880781,1,0
1591888184,1,0
1591911440,1,0
1591921520,1,0
1591929214,1,0
1591936885,1,0
1591944820,1,0
1591952633,2,0
1591960394,3,0
1591970535,1,0
1591990160,3,0
1591996390,3,0
1592003662,1,0
1592009905,1,0
1592017528,1,0
1592025203,1,0
1592046887,1,0
1592057900,1,0
1592065626,4,0
1592091673,3,0
1592099393,1,0
1592107236,42,0
1592123098,2,0
1592127089,3,0
1592144805,1,0
1592164867,1,0
1592173089,2,0
1592181052,1,0
1592189315,1,0
1592197307,2,0
1592209561,1,0
1592217264,1,0
1592229141,1,0
1592237002,2,0
1592245116,1,0
1592260831,1,0
1592284401,1,0
1592288280,1,0
1592304683,2,0
1592320048,1,0
1592325989,1,84
1592331953,2,0
1592339706,2,0
1592363168,1,0
1592370869,1,0
1592378570,1,0
1592394159,2,0
1592405386,1,0
1592413190,2,0
1592417010,1,0
1592420856,2,0
1592428621,1,0
1592435810,2,0
1592445990,3,0
1592456089,2,0
1592463930,1,0
1592471614,1,0
1592490494,2,0
1592501752,2,0
1592509576,1,0
1592521102,2,0
1592528947,1,0
1592536728,4,0
1592544852,2,0
1592556414,1,0
1592564250,7,0
1592574469,1,0
1592582391,1,0
1592586291,1,0
1592598373,1,0
1592606247,6,0
1592614069,1,0
1592630161,27,0
1592634134,1,0
1592640504,1,0
1592652430,1,0
1592668645,1,0
1592676633,2,0
1592680603,1,0
1592684609,1,0
1592692560,1,0
1592696515,1,0
1592700484,1,0
1592716473,2,0
1592729163,1,0
1592737059,2,0
1592745079,1,0
1592749006,1,0
1592753033,2,0
1592760926,1,0
1592776955,2,0
1592784825,1,0
1592803286,1,0
1592811172,2,0
1592814867,1,0
1592822791,1,0
1592845722,1,0
1592852447,2,0
1592862039,2,0
1592875733,4,0
1592882506,4,0
1592889380,1,0
1592896155,2,0
1592905315,1,0
1592918847,1,0
1592931893,1,0
1592938437,1,0
1592941781,1,0
1592945458,1,0
1592959118,1,0
1592962650,1,0
1592966167,1,0
1592973075,1,0
1592979787,1,0
1592989736,2,0
1592996203,2,0
1593002855,1,0
1593011924,1,0
1593018522,3,0
1593035166,1,0
1593041775,5,0
1593048466,5,0
1593051777,1,0
1593057679,1,0
1593061125,2,0
1593066828,2,0
1593075967,2,0
1593082799,1,0
1593089462,1,0
1593096346,1,0
1593118977,2,0
1593128035,1,0
1593143966,1,0
1593153246,1,0
1593159905,3,0
1593175547,1,0
1593188776,2,0
1593204735,2,0
1593220379,3,0
1593229408,1,0
1593236042,2,0
1593246152,1,0
1593256151,2,0
1593266235,2,0
1593279574,3,0
1593282898,1,0
1593286225,2,0
1593292871,1,0
1593296491,1,0
1593308623,1,0
1593321787,2,0
1593328488,1,0
1593331807,1,0
1593340506,1,0
1593347120,2,0
1593356124,1,0
1593363006,1,0
1593369606,3,0
1593376381,1,0
1593396294,2,0
1593404799,4,0
1593411738,2,0
1593425382,2,0
1593434441,2,0
1593441139,1,0
1593447858,2,0
1593454538,2,0
1593463782,1,0
1593470464,2,0
1593477124,2,0
1593483838,1,0
1593492787,2,0
1593505873,1,0
1593527825,2,0
1593540207,1,0
1593545538,1,0
1593552012,1,0
1593558500,3,0
1593565207,3,0
1593578205,1,0
1593604219,2,0
1593610721,4,0
1593617241,3,0
1593630481,2,0
1593633725,1,0
1593646397,1,0
1593652862,1,0
1593659566,2,0
1593666255,2,0
1593673023,1,0
1593679692,1,0
1593686232,1,0
1593701613,1,0
1593708122,1,0
1593730727,1,0
1593733963,2,0
1593737190,1,0
1593753482,2,0
1593756978,1,0
1593763457,1,0
1593773297,1,0
1593776734,1,0
1593783238,1,0
1593789876,1,0
1593806333,2,0
1593809758,1,0
1593816215,2,0
1593835582,1,0
1593842061,2,0
1593845550,1,0
1593851998,1,0
1593855305,1,0
1593858574,1,0
1593871467,1,0
1593874726,1,0
1593881217,2,0
1593887844,1,0
1593894327,2,0
1593907133,15,0
1593916819,5,0
1593930082,3,0
1593936726,1,0
1593943406,2,0
1593953438,1,0
1593963461,1,0
1593973494,1,0
1593976842,1,0
1593980198,3,0
1593990375,2,0
1594010697,3,0
1594014089,1,0
1594017456,1,0
1594020824,1,0
1594037690,2,0
1594044712,1,0
1594054954,2,0
1594068815,2,0
1594079006,1,0
1594085923,2,0
1594092660,1,0
1594099411,1,0
1594113060,2,0
1594119829,1,0
1594126594,1,0
1594135746,1,0
1594139294,1,0
1594142720,1,0
1594156418,2,0
1594165855,3,0
1594172958,1,0
1594179773,3,0
1594188960,2,0
1594192354,1,0
1594195717,1,0
1594205924,1,0
1594222136,1,0
1594231324,2,0
1594243429,1,0
1594253368,1,0
1594256826,15,0
1594262713,17,0
1594266196,1,0
1594269767,10,0
1594276950,1,0
1594284188,1,0
1594291245,1,0
1594314943,2,0
1594318464,1,0
1594322002,2,0
1594331431,2,0
1594338736,2,0
1594342372,1,0
1594345925,4,0
1594352965,1,0
1594356552,1,0
1594360108,2,0
1594367347,1,0
1594374546,4,0
1594381700,1,0
1594403339,4,0
1594410678,1,0
1594417764,3,0
1594424907,1,0
1594428446,1,0
1594439195,1,0
1594446291,1,0
1594453581,1,0
1594460706,1,0
1594464246,2,0
1594467804,2,0
1594474865,3,0
1594481941,1,0
1594485472,1,0
1594489018,1,0
1594496098,1,0
1594506586,1,0
1594513348,1,0
1594521884,4,0
1594528116,1,0
1594531251,2,0
1594548722,1,0
1594555113,1,0
1594558571,1,0
1594572365,1,0
1594582534,1,0
1594586072,3,0
1594592953,2,0
1594596374,1,0
1594599789,1,0
1594606589,2,0
1594609982,1,0
1594660773,1,176
1594664114,1,492
1594671011,2,0
1594674702,2,0
1594680172,1,0
1594689352,1,0
1594698542,4,0
1594701919,1,0
1594705345,1,0
1594708736,1,0
1594728500,4,0
1594738643,1,0
1594742173,2,0
1594748908,2,0
1594755670,3,0
1594762453,1,0
1594776076,3,0
1594782839,1,0
1594789850,2,0
1594793240,1,0
1594796635,1,0
1594810285,5,0
1594813675,1,0
1594817298,4,0
1594826530,1,0
1594836741,2,0
1594843565,1,0
1594850500,1,0
1594857530,1,0
1594860962,1,0
1594864596,1,0
1594876280,4,0
1594883192,1,0
1594889801,1,0
1594896988,1,0
1594904060,1,0
1594910893,2,0
1594924590,1,0
1594941751,1,0
1594947591,4,0
1594954412,1,0
1594964958,1,0
1594971805,1,0
1594978613,2,0
1594985447,3,0
1594992275,1,0
1595029021,3,0
1595032642,6,0
1595036205,2,0
1595042985,2,0
1595046467,1,0
1595050002,4,0
1595063655,2,0
1595070546,1,0
1595073924,1,0
1595077492,1,0
1595084353,2,0
1595087827,1,0
1595091258,7,0
1595098139,1,0
1595105194,3,0
1595118968,2,0
1595132766,2,0
1595139772,1,0
1595150384,1,0
1595153925,1,0
1595163277,2,0
1595177027,2,0
1595190725,1,0
1595206885,2,0
1595213776,3,0
1595217202,1,0
1595220630,3,0
1595223826,1,0
1595227340,1,0
1595234280,6,0
1595241232,2,0
1595248401,1,0
1595255246,3,0
1595258710,1,0
1595262156,1,0
1595265587,1,0
1595269015,1,0
1595275828,4,0
1595279303,1,0
1595288798,1,0
1595292339,1,0
1595295769,1,0
1595302649,1,0
1595306076,1,0
1595309513,2,0
1595322371,1,0
1595325805,2,0
1595334490,1,0
1595337587,1,0
1595340717,3,0
1595349305,2,0
1595361754,1,0
1595364998,1,0
1595368125,1,0
1595374536,1,0
1595377609,3,0
1595380975,1,0
1595392409,2,0
1595398515,1,0
1595401574,1,0
1595407049,2,0
1595410214,1,0
1595418735,1,0
1595429055,2,0
1595435183,1,0
1595441395,1,0
1595444493,1,0
1595457552,1,0
1595466312,1,0
1595472595,1,0
1595481231,3,0
1595490039,1,0
1595493128,1,0
