DateTime,AddedIPs,RemovedIPs
1593037981,1,1
1593041582,1,1
1593045181,1,1
1593048782,1,0
1593052382,3,1
1593055981,0,3
1593059581,2,0
1593063181,1,0
1593066782,2,0
1593070382,3,3
1593073981,4,0
1593077581,2,1
1593081181,1,1
1593084781,0,1
1593091982,2,1
1593095581,1,1
1593099181,3,3
1593102782,1,2
1593106382,2,3
1593109981,7,2
1593113582,5,1
1593117182,2,0
1593120781,4,0
1593124381,4,1
1593127981,4,0
1593131581,1,4
1593135181,1,0
1593138782,3,6
1593142381,4,0
1593145981,3,4
1593149581,2,0
1593153182,1,2
1593160382,1,1
1593167581,0,3
1593174782,0,3
1593181981,0,2
1593189182,0,1
1593192781,1,2
1593196382,2,1
1593199981,2,0
1593203581,1,1
1593207181,0,1
1593210782,0,2
1593214381,1,0
1593225182,1,1
1593228781,1,1
1593243182,1,0
1593246782,1,1
1593250381,0,1
1593253981,1,0
1593261181,1,2
1593268381,0,5
1593275581,0,2
1593282781,0,2
1593286382,2,0
1593289981,1,1
1593300781,0,1
1593304381,0,1
1593311581,1,1
1593315181,0,1
1593322382,1,3
1593325982,0,3
1593329581,2,0
1593333182,0,2
1593340381,0,1
1593343981,1,5
1593347582,0,2
1593351182,3,0
1593354781,0,1
1593358382,0,3
1593365582,0,2
1593369182,1,0
1593376381,1,1
1593394381,1,1
1593408782,0,4
1593412382,0,3
1593415982,1,0
1593419581,1,4
1593423181,1,0
1593426781,2,4
1593430381,2,2
1593433982,1,0
1593437582,1,0
1593441181,1,1
1593444782,2,0
1593448381,2,1
1593451981,1,0
1593459181,1,0
1593462781,4,0
1593466382,1,0
1593477181,0,1
1593484381,0,1
1593491581,4,0
1593495182,0,2
1593502385,1,0
1593505982,1,3
1593513181,0,2
1593516781,1,1
1593520382,2,3
1593523982,5,0
1593527582,0,4
1593531181,1,5
1593534781,3,4
1593538381,1,0
1593541981,2,3
1593552782,1,1
1593556381,1,1
1593563581,0,1
1593570782,1,0
1593574381,1,0
1593577981,0,2
1593581581,0,1
1593585182,0,2
1593588782,0,2
1593592381,0,2
1593599581,2,4
1593603182,3,0
1593606782,2,1
1593613981,3,2
1593617582,1,5
1593621181,2,1
1593624781,2,2
1593631982,1,0
1593635581,3,1
1593646382,1,1
1593649981,1,0
1593653581,1,0
1593657181,0,1
1593667981,1,0
1593678782,1,2
1593682381,0,2
1593685981,1,2
1593689582,1,0
1593693182,1,1
1593696781,1,0
1593700382,0,4
1593703981,1,0
1593707581,2,5
1593711182,1,0
1593718381,0,2
1593721981,1,7
1593725581,0,3
1593732782,0,3
1593736382,0,6
1593739981,0,4
1593743581,2,0
1593747182,0,6
1593750781,3,0
1593754381,1,5
1593757981,2,2
1593761582,0,2
1593768781,1,0
1593775981,2,0
1593779581,1,0
1593783181,1,0
1593786782,5,0
1593790382,3,0
1593793982,2,0
1593797581,1,0
1593801181,1,0
1593804781,1,0
1593808382,1,1
1593811981,2,0
1593819182,2,1
1593822781,2,2
1593826381,1,0
1593829982,2,2
1593833581,3,0
1593847982,1,1
1593851581,1,0
1593855181,2,0
1593862381,2,2
1593865982,1,4
1593869582,0,1
1593873181,1,0
1593876782,1,0
1593880381,1,1
1593883982,1,2
1593887581,1,0
1593891181,1,2
1593894781,1,0
1593901982,0,2
1593905582,1,0
1593909182,1,0
1593912781,0,3
1593919981,1,0
1593930781,2,0
1593937981,1,0
1593941581,0,1
1593952381,1,2
1593955982,1,1
1593959582,1,0
1593963182,1,0
1593966781,3,0
1593970382,1,0
1593973981,1,1
1593981182,0,2
1593984781,0,1
1593988381,0,1
1593995581,2,2
1594002782,1,0
1594009981,1,0
1594017181,1,0
1594020782,1,3
1594024382,2,0
1594027981,1,2
1594031581,0,1
1594035181,0,4
1594038782,0,3
1594049582,1,5
1594053181,4,2
1594060381,1,2
1594063982,1,1
1594067582,2,0
1594071181,0,2
1594081982,0,4
1594085582,1,0
1594089181,2,0
1594092782,0,1
1594096381,1,0
1594099981,1,3
1594103582,2,1
1594107182,3,0
1594114381,0,1
1594121581,0,2
1594125181,1,0
1594128781,3,6
1594132382,0,1
1594135981,1,0
1594139582,0,2
1594143181,1,1
1594153981,2,0
1594157582,0,1
1594161181,0,1
1594171982,1,0
1594179182,4,1
1594182781,2,1
1594186382,1,0
1594189982,2,0
1594193582,0,1
1594197182,1,1
1594211581,1,0
1594215182,0,1
1594218781,2,0
1594222381,0,4
1594225982,1,2
1594233182,1,2
1594236782,0,2
1594243982,1,2
1594247581,1,1
1594254781,0,1
1594258382,0,1
1594269182,1,0
1594276381,0,1
1594294381,2,1
1594297981,0,3
1594301581,4,1
1594305181,1,2
1594308782,0,1
1594312381,1,0
1594319582,1,2
1594323181,1,0
1594326781,2,1
1594337582,1,0
1594344782,0,3
1594351981,1,0
1594355581,0,2
1594359182,0,1
1594362781,0,2
1594366381,1,1
1594369981,1,0
1594373582,0,1
1594377181,0,3
1594384382,0,4
1594391581,1,6
1594395181,1,0
1594398781,4,2
1594402381,0,1
1594405982,0,2
1594416782,0,3
1594423982,1,1
1594431182,1,0
1594434781,0,4
1594438381,1,4
1594441981,3,0
1594445581,1,0
1594449181,1,0
1594452782,0,1
1594456382,1,0
1594459981,2,0
1594463581,0,1
1594467181,1,1
1594470782,2,0
1594474382,2,1
1594477981,2,0
1594481581,1,4
1594488781,4,2
1594492382,0,8
1594499581,1,0
1594510381,1,0
1594513981,1,1
1594517581,1,4
1594521181,2,0
1594524781,2,0
1594528381,0,2
1594535581,2,0
1594539182,0,3
1594542781,1,0
1594546382,2,1
1594549982,4,1
1594553581,1,2
1594557181,1,0
1594560781,0,1
1594564381,0,1
1594571581,1,1
1594575182,3,1
1594578781,1,0
1594582381,0,5
1594585982,0,1
1594593181,1,0
1594600381,1,2
1594611182,0,1
1594621981,0,1
1594625582,1,0
1594632781,3,0
1594636381,0,1
1594639981,1,0
1594643581,1,1
1594647182,0,1
1594650781,1,0
1594654381,3,0
1594657981,2,1
1594661581,0,4
1594665181,1,0
1594668781,0,2
1594675982,1,0
1594686781,1,0
1594690381,0,1
1594693981,0,2
1594697581,1,0
1594704781,2,0
1594708381,1,3
1594712430,2,3
1594716030,0,2
1594722782,1,0
1594733581,0,3
1594737181,2,1
1594740781,5,3
1594751581,1,1
1594755181,1,2
1594758781,0,1
1594762381,1,2
1594776782,0,2
1594783981,0,3
1594787581,1,0
1594791181,0,1
1594798381,0,2
1594801982,0,2
1594809181,0,1
1594823582,0,2
1594827182,3,1
1594830782,3,0
1594834382,1,2
1594837981,0,4
1594841581,1,1
1594845182,2,0
1594848781,1,1
1594855981,1,1
1594870382,2,1
1594877581,0,3
1594881182,1,1
1594884781,1,0
1594891982,2,0
1594895582,1,1
1594899182,2,0
1594902781,0,1
1594906382,4,1
1594909982,3,2
1594913581,2,1
1594917181,1,0
1594920782,1,0
1594924382,1,1
1594927982,0,1
1594931582,0,1
1594935182,1,0
1594938781,2,1
1594945981,1,0
1594949582,2,0
1594953181,2,0
1594956781,1,2
1594960382,1,2
1594963982,0,2
1594971181,2,0
1594974781,1,1
1594978381,3,0
1594981981,1,1
1594996381,1,0
1595003582,1,1
1595007181,1,0
1595010781,2,1
1595021581,1,0
1595032381,1,0
1595035981,1,1
1595039581,0,1
1595043181,1,0
1595046781,1,0
1595050381,0,1
1595053982,1,1
1595061182,2,3
1595064782,2,0
1595068381,2,1
1595075581,2,0
1595079181,2,0
1595082781,2,4
1595086381,1,0
1595089981,0,2
1595093582,0,1
1595097181,1,5
1595100782,2,0
1595104381,0,2
1595107981,1,1
1595111582,1,0
1595115181,0,1
1595125982,0,3
1595129581,1,1
1595133181,0,1
1595140381,0,1
1595151182,1,0
1595154781,2,2
1595161982,1,2
1595169182,0,3
1595172781,2,2
1595179982,1,1
1595183582,3,0
1595187181,3,2
1595194381,1,1
1595197982,1,0
1595201582,1,0
1595208781,1,1
1595215981,1,0
1595219581,1,0
1595226781,0,1
1595230381,0,1
1595233982,1,0
1595237581,2,2
1595241181,2,0
1595244782,1,2
1595248381,1,0
1595251982,1,1
1595255582,1,0
1595259181,2,0
1595262781,2,2
1595266381,4,0
1595273581,0,2
1595277181,0,2
1595287981,0,3
1595291581,0,1
1595295181,0,1
1595298781,1,0
1595302381,0,1
1595305981,0,1
1595309581,0,2
1595316781,1,0
1595320381,6,2
1595323982,3,0
1595331182,6,1
1595334782,2,2
1595338381,1,0
1595341982,0,2
1595345581,0,3
1595349182,1,0
1595352781,2,0
1595356382,1,0
1595359981,1,0
1595363581,2,1
1595367181,1,0
1595374382,0,1
1595388781,0,1
1595392382,2,1
1595395981,1,0
1595399581,2,1
1595403182,1,1
1595410381,0,1
1595413981,1,0
1595417582,1,0
1595424782,2,0
1595428382,2,0
1595431981,1,2
1595435582,2,0
1595439181,2,7
1595442782,1,0
1595449981,1,1
1595453582,0,1
1595457181,0,2
1595471581,1,1
1595478781,1,2
1595482381,1,2
1595485983,2,0
1595489581,2,1
1595496781,0,1
